"y","x","cluster_id"
8,295,178
8,296,178
9,290,178
9,291,178
9,299,178
9,304,178
10,268,178
11,224,178
12,224,178
12,225,178
13,222,178
13,223,178
13,226,178
14,221,178
14,222,178
14,225,178
14,226,178
14,227,178
14,305,178
15,227,178
15,228,178
15,232,178
15,304,178
16,228,178
16,229,178
16,230,178
16,231,178
16,232,178
16,234,178
16,237,178
16,238,178
16,248,178
16,301,178
17,215,178
17,218,178
17,223,178
17,224,178
17,236,178
17,240,178
17,242,178
17,244,178
17,301,178
17,302,178
18,216,178
18,217,178
18,224,178
18,227,178
18,246,178
18,301,178
18,302,178
19,243,178
19,244,178
19,246,178
19,247,178
21,296,178
21,297,178
22,294,178
22,296,178
23,293,178
23,294,178
23,295,178
23,297,178
24,293,178
24,296,178
25,294,178
25,296,178
26,78,1385
26,295,178
27,74,1385
27,294,178
28,294,178
29,292,178
29,293,178
29,294,178
30,293,178
30,294,178
31,294,178
32,281,178
32,282,178
32,288,178
32,291,178
32,292,178
32,293,178
33,292,178
34,209,178
34,292,178
35,208,178
35,209,178
35,284,178
35,286,178
35,294,178
36,208,178
36,209,178
36,211,178
36,286,178
37,208,178
38,217,178
38,287,178
38,291,178
38,293,178
39,216,178
39,292,178
39,296,178
40,289,178
40,290,178
40,291,178
40,292,178
40,293,178
40,294,178
41,227,178
41,229,178
41,289,178
41,290,178
41,292,178
41,293,178
41,294,178
42,227,178
42,228,178
42,288,178
42,289,178
42,290,178
42,293,178
42,294,178
43,288,178
43,289,178
43,290,178
43,291,178
43,293,178
43,294,178
43,296,178
44,247,178
44,248,178
44,287,178
44,288,178
44,289,178
44,290,178
44,292,178
44,293,178
44,294,178
44,296,178
44,297,178
45,246,178
45,247,178
45,248,178
45,249,178
45,286,178
45,287,178
45,288,178
45,289,178
45,297,178
46,286,178
46,287,178
46,288,178
46,289,178
47,246,178
47,247,178
47,248,178
47,249,178
47,286,178
47,287,178
47,288,178
47,289,178
48,249,178
48,286,178
48,287,178
48,288,178
48,289,178
49,248,178
49,249,178
49,286,178
49,287,178
49,288,178
49,289,178
50,286,178
50,287,178
51,268,178
51,269,178
51,270,178
51,271,178
51,272,178
51,273,178
51,274,178
51,275,178
51,276,178
51,277,178
51,278,178
51,279,178
51,280,178
51,282,178
51,283,178
51,284,178
51,285,178
51,286,178
52,267,178
52,271,178
52,272,178
52,273,178
52,274,178
52,275,178
52,276,178
52,277,178
52,278,178
52,279,178
52,280,178
52,281,178
52,282,178
52,283,178
52,284,178
52,285,178
53,271,178
53,272,178
53,273,178
53,274,178
53,275,178
53,276,178
53,277,178
53,278,178
53,279,178
53,280,178
53,281,178
53,282,178
53,283,178
53,284,178
53,285,178
54,271,178
54,272,178
54,273,178
54,274,178
54,275,178
54,276,178
54,277,178
54,278,178
54,279,178
54,280,178
54,281,178
54,282,178
54,283,178
54,284,178
54,285,178
54,286,178
55,271,178
55,272,178
55,273,178
55,274,178
55,275,178
55,276,178
55,277,178
55,278,178
55,279,178
55,280,178
55,281,178
55,282,178
55,283,178
55,284,178
55,285,178
56,271,178
56,272,178
56,273,178
56,274,178
56,275,178
56,276,178
56,277,178
56,278,178
56,279,178
56,280,178
56,285,178
57,271,178
57,272,178
57,274,178
57,275,178
57,276,178
57,277,178
57,278,178
57,279,178
58,275,178
58,276,178
58,277,178
58,278,178
58,279,178
59,205,178
59,277,178
59,279,178
60,259,178
61,257,178
61,258,178
61,264,178
62,256,178
64,255,178
65,251,178
65,252,178
65,265,178
65,331,178
66,251,178
66,331,178
66,338,178
67,318,178
67,331,178
67,338,178
68,317,178
68,318,178
70,324,178
71,247,178
71,249,178
71,326,178
71,336,178
72,248,178
72,324,178
72,337,178
73,248,178
73,249,178
74,245,178
74,248,178
74,249,178
74,323,178
75,245,178
75,249,178
76,246,178
76,248,178
76,249,178
77,245,178
77,329,178
78,245,178
78,246,178
78,248,178
79,245,178
79,324,178
80,245,178
80,324,178
81,247,178
81,248,178
82,247,178
82,248,178
82,251,178
83,250,178
84,248,178
84,249,178
84,259,178
85,248,178
85,249,178
85,253,178
86,247,178
86,249,178
87,181,972
87,259,178
88,247,178
88,248,178
89,208,972
89,247,178
90,248,178
91,249,178
91,254,178
92,246,178
92,247,178
93,246,178
93,252,178
95,253,178
95,254,178
96,246,178
96,247,178
96,252,178
98,246,178
99,246,178
99,247,178
99,253,178
99,255,178
99,258,178
100,192,972
101,239,972
102,190,972
102,191,972
102,192,972
102,193,972
102,195,972
102,196,972
102,199,972
102,238,972
102,239,972
103,190,972
103,191,972
103,192,972
103,193,972
103,196,972
103,197,972
103,198,972
103,199,972
104,190,972
104,191,972
104,192,972
104,195,972
104,196,972
104,197,972
104,198,972
104,200,972
105,188,972
105,189,972
105,190,972
105,191,972
105,193,972
105,194,972
105,195,972
105,197,972
105,198,972
105,199,972
105,202,972
105,203,972
105,239,972
106,187,972
106,188,972
106,189,972
106,190,972
106,191,972
106,192,972
106,193,972
106,194,972
106,195,972
106,196,972
106,199,972
106,202,972
106,237,972
106,239,972
107,127,1385
107,187,972
107,189,972
