"y","x","cluster_id"
9,357,215
27,32,104
28,32,104
28,33,104
30,31,104
31,32,104
32,32,104
33,32,104
33,33,104
34,32,104
34,33,104
34,34,104
34,35,104
35,32,104
35,33,104
35,34,104
35,44,104
35,46,104
38,34,104
38,35,104
39,35,104
39,44,104
40,36,104
41,36,104
43,47,104
44,46,104
44,47,104
45,46,104
50,38,104
50,51,104
51,20,104
51,21,104
51,47,104
51,52,104
51,386,215
51,482,215
52,38,104
52,47,104
52,48,104
53,48,104
53,49,104
54,49,104
54,50,104
54,481,215
55,47,104
55,50,104
56,20,104
56,48,104
56,49,104
56,50,104
57,48,104
57,480,215
57,481,215
58,38,104
58,47,104
58,48,104
58,480,215
58,493,215
59,47,104
59,48,104
59,480,215
60,48,104
61,55,104
61,481,215
61,482,215
62,49,104
62,57,104
62,483,215
62,494,215
63,50,104
63,54,104
63,56,104
64,49,104
64,50,104
64,59,104
64,60,104
65,49,104
65,50,104
65,56,104
65,60,104
65,483,215
65,484,215
66,49,104
66,58,104
66,483,215
66,484,215
67,42,104
67,44,104
67,48,104
67,54,104
67,58,104
68,43,104
68,57,104
68,58,104
68,59,104
68,62,104
68,484,215
69,56,104
69,60,104
69,491,215
69,494,215
70,26,104
70,494,215
71,45,104
72,29,104
72,45,104
72,58,104
72,59,104
72,60,104
72,65,104
72,484,215
73,27,104
73,66,104
73,484,215
74,28,104
74,67,104
75,65,104
75,498,215
76,29,104
76,52,104
76,53,104
76,65,104
77,51,104
77,69,104
77,466,215
78,28,104
78,29,104
78,39,104
78,52,104
78,466,215
78,485,215
79,22,104
79,28,104
79,29,104
79,485,215
80,23,104
80,28,104
80,29,104
80,30,104
80,270,215
80,484,215
80,495,215
80,496,215
81,24,104
81,29,104
81,30,104
81,59,104
81,468,215
81,495,215
81,496,215
81,497,215
82,24,104
82,29,104
82,30,104
82,34,104
82,497,215
83,24,104
83,31,104
83,39,104
83,494,215
83,495,215
83,496,215
84,24,104
84,25,104
84,30,104
84,475,215
84,495,215
85,25,104
85,31,104
85,32,104
85,495,215
86,67,104
86,498,215
87,53,104
87,65,104
88,33,104
88,62,104
88,501,215
88,502,215
89,33,104
89,36,104
89,488,215
89,504,215
90,33,104
90,61,104
90,500,215
90,502,215
91,33,104
91,63,104
91,506,215
92,34,104
92,62,104
92,496,215
92,499,215
92,507,215
93,36,104
93,298,215
93,299,215
93,495,215
93,499,215
93,508,215
94,474,215
94,489,215
94,495,215
95,41,104
95,49,104
95,76,104
95,482,215
95,505,215
96,40,104
96,41,104
96,491,215
97,62,104
99,47,104
99,484,215
99,504,215
99,505,215
99,507,215
99,511,215
99,512,215
100,53,104
100,474,215
101,36,104
101,50,104
101,53,104
101,475,215
102,37,104
102,53,104
102,511,215
103,40,104
103,46,104
103,476,215
103,498,215
103,511,215
103,512,215
