"y","x","cluster_id"
6,436,334
6,438,334
6,439,334
6,449,334
6,457,334
7,438,334
7,440,334
7,441,334
7,454,334
7,476,334
7,478,334
8,430,334
8,432,334
8,437,334
8,439,334
8,460,334
9,429,334
9,430,334
9,431,334
9,458,334
9,460,334
9,472,334
9,473,334
10,430,334
10,479,334
11,426,334
11,428,334
11,429,334
12,427,334
12,441,334
12,447,334
12,462,334
13,463,334
13,479,334
14,425,334
14,437,334
14,440,334
14,463,334
15,412,334
15,414,334
15,424,334
15,437,334
15,472,334
16,422,334
16,423,334
16,424,334
16,425,334
16,436,334
16,437,334
17,412,334
17,414,334
17,457,334
18,394,445
18,397,445
18,401,445
18,403,445
18,416,334
18,420,334
18,455,334
18,462,334
18,463,334
19,397,445
19,401,445
19,402,445
19,414,334
19,460,334
19,464,334
19,472,334
20,392,445
20,397,445
20,399,445
20,403,445
20,404,445
20,416,334
20,418,334
20,419,334
20,425,334
20,435,334
20,456,334
20,464,334
20,470,334
21,397,445
21,398,445
21,399,445
21,418,334
21,434,334
21,462,334
22,389,445
22,400,445
22,404,445
22,413,334
22,433,334
22,449,334
22,478,334
23,383,445
23,386,445
23,387,445
23,390,445
23,400,445
23,403,445
23,431,334
23,432,334
24,383,445
24,394,445
24,402,445
24,415,334
24,417,334
24,476,334
24,478,334
25,379,445
25,381,445
25,382,445
25,383,445
25,399,445
25,402,445
25,413,334
25,417,334
25,472,334
25,474,334
26,368,445
26,375,445
26,377,445
26,378,445
26,380,445
26,382,445
26,384,445
26,386,445
26,426,334
26,431,334
27,368,445
27,369,445
27,370,445
27,374,445
27,377,445
27,383,445
27,417,334
28,360,445
28,361,445
28,362,445
28,364,445
28,368,445
28,369,445
28,374,445
28,376,445
28,390,445
28,425,334
29,352,445
29,354,445
29,355,445
29,356,445
29,361,445
29,362,445
29,367,445
29,370,445
29,375,445
29,384,445
29,401,445
29,415,334
29,447,334
29,453,334
30,346,445
30,352,445
30,356,445
30,358,445
30,362,445
30,363,445
30,364,445
30,367,445
30,368,445
30,377,445
30,378,445
30,380,445
30,386,445
30,393,445
30,399,445
30,401,445
30,402,445
30,403,445
30,405,445
30,406,445
30,442,334
30,447,334
30,453,334
30,466,334
31,339,445
31,351,445
31,362,445
31,363,445
31,364,445
31,370,445
31,393,445
31,401,445
31,402,445
31,407,445
31,424,334
31,451,334
31,476,334
32,349,445
32,350,445
32,351,445
32,356,445
32,357,445
32,361,445
32,362,445
32,363,445
32,364,445
32,369,445
32,371,445
32,378,445
32,382,445
32,404,445
32,407,445
32,438,334
32,451,334
32,470,334
33,334,738
33,347,445
33,348,445
33,349,445
33,350,445
33,351,445
33,355,445
33,357,445
33,358,445
33,361,445
33,364,445
33,368,445
33,369,445
33,370,445
33,381,445
33,413,334
33,437,334
33,451,334
33,461,334
33,462,334
33,464,334
33,475,334
33,476,334
34,332,738
34,334,738
34,340,445
34,343,445
34,345,445
34,347,445
34,348,445
34,349,445
34,356,445
34,358,445
34,359,445
34,361,445
34,363,445
34,365,445
34,370,445
34,371,445
34,374,445
34,388,445
34,452,334
35,340,445
35,341,445
35,359,445
35,361,445
35,362,445
35,363,445
35,364,445
35,368,445
35,369,445
35,371,445
35,372,445
35,422,334
35,456,334
36,316,738
36,326,738
36,333,738
36,337,738
36,338,738
36,340,445
36,346,445
36,357,445
36,360,445
36,365,445
36,367,445
36,368,445
36,371,445
36,372,445
36,383,445
36,385,445
36,386,445
36,407,445
36,422,334
36,438,334
37,314,738
37,315,738
37,317,738
37,319,738
37,323,738
37,325,738
37,326,738
37,336,738
37,337,738
37,340,445
37,359,445
37,365,445
37,370,445
37,382,445
37,384,445
37,385,445
37,394,445
37,397,445
37,398,445
37,407,445
37,408,445
37,452,334
37,467,334
37,472,334
37,474,334
38,312,738
38,313,738
38,314,738
38,315,738
38,321,738
38,322,738
38,333,738
38,336,738
38,362,445
38,363,445
38,364,445
38,366,445
38,367,445
38,372,445
38,384,445
38,385,445
38,396,445
38,403,445
38,441,334
38,474,334
39,310,738
39,313,738
39,314,738
39,330,738
39,331,738
39,332,738
39,333,738
39,335,738
39,363,445
39,364,445
39,368,445
39,371,445
39,397,445
39,399,445
39,400,445
39,401,445
39,405,445
39,406,445
39,462,334
39,466,334
40,311,738
40,312,738
40,313,738
40,327,738
40,331,738
40,332,738
40,335,738
40,338,738
40,362,445
40,364,445
40,371,445
40,400,445
40,423,334
40,465,334
40,466,334
41,312,738
41,313,738
41,321,738
41,331,738
41,341,445
41,364,445
41,366,445
41,373,445
41,378,445
41,380,445
41,393,445
41,398,445
41,399,445
41,417,334
41,428,334
42,311,738
42,312,738
42,314,738
42,320,738
42,330,738
42,332,738
42,335,738
42,341,445
42,362,445
42,367,445
42,368,445
42,369,445
42,380,445
42,388,445
42,414,334
42,416,334
42,417,334
42,428,334
42,453,334
42,466,334
43,294,738
43,295,738
43,302,738
43,309,738
43,310,738
43,313,738
43,318,738
43,319,738
43,320,738
43,335,738
43,369,445
43,370,445
43,374,445
43,377,445
43,380,445
43,381,445
43,383,445
43,388,445
43,393,445
43,399,445
43,432,334
44,284,738
44,291,738
44,292,738
44,295,738
44,304,738
44,308,738
44,309,738
44,314,738
44,317,738
44,318,738
44,319,738
44,327,738
44,330,738
44,332,738
44,366,445
44,368,445
44,370,445
44,371,445
44,376,445
44,380,445
44,382,445
44,383,445
44,399,445
44,413,334
44,415,334
44,428,334
44,463,334
44,473,334
45,286,738
45,291,738
45,292,738
45,301,738
45,307,738
45,314,738
45,315,738
45,316,738
45,317,738
45,319,738
45,327,738
45,330,738
45,336,738
45,359,445
45,367,445
45,369,445
45,371,445
45,384,445
45,385,445
45,387,445
45,411,334
45,415,334
46,275,738
46,280,738
46,289,738
46,304,738
46,305,738
46,313,738
46,318,738
46,319,738
46,329,738
46,340,738
46,361,445
46,362,445
46,369,445
46,370,445
46,372,445
46,380,445
46,384,445
46,389,445
46,390,445
46,399,445
46,411,334
46,413,334
46,415,334
46,451,334
46,455,334
46,472,334
47,274,738
47,276,738
47,283,738
47,291,738
47,305,738
47,306,738
47,316,738
47,319,738
47,335,738
47,372,445
47,373,445
47,375,445
47,376,445
47,377,445
47,378,445
47,379,445
47,383,445
47,389,445
47,458,334
48,274,738
48,275,738
48,288,738
48,295,738
48,301,738
48,302,738
48,307,738
48,314,738
48,329,738
48,339,738
48,361,445
48,363,445
48,372,445
48,373,445
48,374,445
48,375,445
48,376,445
48,377,445
48,379,445
48,380,445
48,397,445
48,409,445
48,413,334
49,276,738
49,279,738
49,280,738
49,295,738
49,301,738
49,321,738
49,332,738
49,334,738
49,335,738
49,372,445
49,375,445
49,397,445
49,408,445
49,433,334
49,465,334
50,276,738
50,277,738
50,278,738
50,319,738
50,320,738
50,321,738
50,328,738
50,341,738
50,377,445
50,380,445
50,382,445
50,385,445
50,395,445
50,397,445
50,412,334
50,420,334
51,277,738
51,289,738
51,298,738
51,317,738
51,319,738
51,320,738
51,321,738
51,327,738
51,334,738
51,335,738
51,364,445
51,365,445
51,366,445
51,367,445
51,406,445
51,411,334
51,455,334
51,466,334
52,300,738
52,301,738
52,319,738
52,320,738
52,324,738
52,364,445
52,365,445
52,368,445
52,369,445
52,393,445
52,394,445
52,396,445
52,411,334
52,420,334
52,466,334
53,303,738
53,316,738
53,317,738
