"y","x","cluster_id"
33,95,15
34,94,15
35,93,15
35,94,15
41,95,15
42,95,15
43,82,15
45,84,15
47,83,15
47,87,15
48,85,15
49,96,15
53,71,15
53,73,15
56,88,15
60,77,15
61,78,15
61,80,15
61,85,15
61,86,15
62,76,15
62,86,15
62,87,15
63,77,15
67,59,235
67,60,235
67,61,235
68,59,235
68,60,235
68,65,235
69,57,235
69,58,235
69,59,235
69,92,15
70,54,235
70,55,235
70,56,235
70,57,235
70,58,235
70,59,235
70,63,235
70,64,235
70,72,15
71,50,235
71,51,235
71,53,235
71,54,235
71,55,235
71,56,235
71,57,235
71,58,235
71,59,235
71,64,235
72,48,235
72,49,235
72,51,235
72,53,235
72,54,235
72,55,235
72,56,235
72,57,235
72,58,235
72,60,235
72,61,235
72,65,235
72,75,15
73,49,235
73,50,235
73,51,235
73,53,235
73,55,235
73,56,235
73,57,235
73,58,235
74,48,235
74,49,235
74,51,235
74,54,235
74,55,235
74,56,235
74,57,235
74,59,235
74,63,235
74,97,15
75,47,235
75,48,235
75,49,235
75,50,235
75,52,235
75,53,235
75,55,235
75,56,235
75,57,235
75,58,235
75,59,235
75,60,235
75,61,235
76,43,235
76,46,235
76,47,235
76,48,235
76,49,235
76,50,235
76,51,235
76,52,235
76,53,235
76,55,235
76,56,235
76,57,235
76,58,235
76,59,235
76,60,235
76,61,235
76,62,235
76,73,450
77,42,235
77,45,235
77,46,235
77,47,235
77,48,235
77,49,235
77,50,235
77,51,235
77,52,235
77,53,235
77,55,235
77,56,235
77,57,235
77,58,235
77,59,235
78,41,235
78,42,235
78,43,235
78,46,235
78,47,235
78,48,235
78,49,235
78,50,235
78,51,235
78,52,235
78,53,235
78,55,235
78,56,235
78,57,235
78,58,235
79,40,235
79,41,235
79,42,235
79,43,235
79,44,235
79,45,235
79,46,235
79,47,235
79,48,235
79,49,235
79,50,235
79,51,235
79,52,235
79,56,235
79,57,235
79,58,235
79,60,235
80,39,235
80,40,235
80,41,235
80,42,235
80,43,235
80,44,235
80,45,235
80,46,235
80,47,235
80,48,235
80,49,235
80,50,235
80,51,235
80,53,235
80,56,235
80,57,235
80,58,235
80,60,235
80,61,235
80,62,235
80,97,450
81,39,235
81,40,235
81,41,235
81,42,235
81,43,235
81,44,235
81,45,235
81,46,235
81,47,235
81,48,235
81,49,235
81,50,235
81,51,235
81,52,235
81,53,235
81,54,235
81,57,235
82,38,235
82,39,235
82,40,235
82,41,235
82,42,235
82,43,235
82,44,235
82,45,235
82,46,235
82,47,235
82,48,235
82,49,235
82,50,235
82,51,235
82,52,235
82,53,235
82,54,235
82,56,235
82,57,235
82,58,235
82,92,450
83,37,235
83,38,235
83,39,235
83,40,235
83,41,235
83,42,235
83,43,235
83,44,235
83,45,235
83,46,235
83,47,235
83,48,235
83,49,235
83,50,235
83,51,235
83,52,235
83,53,235
83,57,235
83,58,235
83,61,235
83,64,235
84,36,235
84,37,235
84,38,235
84,39,235
84,40,235
84,41,235
84,42,235
84,43,235
84,44,235
84,45,235
84,46,235
84,47,235
84,48,235
84,49,235
84,50,235
84,51,235
84,52,235
84,53,235
84,58,235
84,62,235
84,63,235
84,95,450
85,35,235
85,36,235
85,37,235
85,38,235
85,39,235
85,40,235
85,41,235
85,42,235
85,43,235
85,44,235
85,45,235
85,46,235
85,47,235
85,48,235
85,49,235
85,51,235
85,52,235
85,53,235
85,54,235
85,57,235
85,58,235
85,63,235
85,64,235
85,66,235
86,36,235
86,37,235
86,38,235
86,39,235
86,40,235
86,41,235
86,42,235
86,43,235
86,44,235
86,45,235
86,46,235
86,47,235
86,48,235
86,49,235
86,50,235
86,51,235
86,52,235
86,53,235
86,58,235
86,61,235
86,62,235
86,63,235
86,65,235
86,67,450
86,95,450
87,38,235
87,39,235
87,42,235
87,43,235
87,44,235
87,45,235
87,46,235
87,47,235
87,48,235
87,49,235
87,50,235
87,51,235
87,52,235
87,53,235
87,54,235
87,62,235
87,63,235
87,64,235
87,65,235
87,66,235
87,81,450
87,82,450
87,84,450
87,96,450
87,99,450
88,42,235
88,43,235
88,44,235
88,45,235
88,46,235
88,47,235
88,48,235
88,49,235
88,50,235
88,51,235
88,52,235
88,53,235
88,63,235
88,64,235
88,65,235
88,99,450
89,33,235
89,47,235
89,48,235
89,49,235
89,50,235
89,51,235
89,53,235
89,55,235
89,59,235
89,69,450
89,70,450
89,71,450
89,91,450
90,47,235
90,48,235
90,49,235
90,50,235
90,51,235
90,52,235
90,58,235
90,63,235
90,64,235
90,70,450
90,72,450
90,74,450
90,96,450
91,47,235
91,48,235
91,49,235
91,51,235
91,52,235
91,53,235
91,54,235
91,59,235
91,63,235
91,67,450
91,69,450
91,70,450
91,79,450
91,82,450
92,45,235
92,46,235
92,47,235
92,48,235
92,51,235
92,54,235
92,57,235
92,59,235
92,66,450
92,67,450
92,68,450
92,98,450
92,99,450
93,45,235
93,46,235
93,47,235
93,57,235
93,58,235
93,59,235
93,62,235
93,69,450
93,73,450
93,83,450
93,94,450
94,55,235
94,56,235
94,59,235
94,69,450
94,85,450
94,89,450
95,54,235
95,55,235
95,56,235
95,58,235
95,62,235
95,93,450
96,27,235
96,39,235
96,53,235
96,54,235
96,55,235
96,73,450
96,74,450
96,80,450
96,89,450
96,98,450
96,99,450
97,28,235
97,52,235
97,53,235
97,55,235
97,59,235
97,67,450
97,72,450
97,74,450
97,80,450
97,89,450
97,90,450
97,99,450
98,52,235
98,55,235
98,60,235
98,66,450
98,70,450
98,73,450
98,89,450
99,29,235
99,60,235
99,85,450
100,29,235
100,30,235
100,61,450
100,64,450
100,65,450
100,86,450
100,97,450
101,28,235
101,29,235
101,30,235
101,31,235
101,63,450
101,64,450
101,66,450
101,67,450
101,86,450
101,96,450
102,28,235
102,44,235
102,63,450
102,64,450
102,66,450
102,67,450
102,69,450
102,70,450
102,71,450
102,72,450
102,86,450
103,28,235
103,43,235
103,58,235
103,59,450
103,60,450
103,62,450
103,63,450
103,66,450
103,67,450
103,69,450
103,70,450
103,71,450
103,72,450
103,86,450
103,97,450
104,27,235
104,58,235
104,59,450
104,60,450
105,58,450
105,77,450
105,78,450
106,58,450
106,75,450
106,78,450
108,84,450
110,35,235
111,50,235
111,99,450
112,49,235
112,86,450
113,49,235
113,102,450
114,102,450
116,102,450
118,103,450
119,76,450
119,77,450
123,77,450
124,77,450
125,77,450
125,78,450
125,83,450
125,84,450
126,75,450
129,97,570
131,46,570
131,95,570
133,79,570
134,81,570
135,97,570
137,60,570
138,60,570
138,109,570
142,51,570
143,105,570
145,81,570
145,103,570
146,44,570
146,84,570
147,41,570
147,75,570
147,80,570
147,85,570
149,41,570
149,42,570
149,63,570
149,79,570
149,85,570
150,42,570
150,79,570
151,77,570
152,40,570
152,102,570
153,103,570
154,101,570
155,62,570
156,43,570
156,77,570
156,78,570
157,48,570
158,90,570
159,50,570
159,87,570
159,89,570
159,90,570
160,54,570
160,55,570
160,56,570
161,80,570
161,86,570
162,98,570
165,57,570
165,58,570
165,91,570
166,43,625
166,44,625
167,44,625
167,70,570
167,71,570
168,44,625
168,45,625
168,56,570
169,45,625
169,69,570
170,47,625
170,69,570
171,70,570
171,81,570
171,82,570
171,83,570
173,35,625
173,69,570
173,83,570
173,92,570
174,83,570
174,95,570
175,47,625
179,55,625
179,60,625
179,70,570
182,47,625
183,45,625
189,52,625
191,49,625
191,50,625
191,64,625
192,38,625
193,38,625
193,39,625
195,39,625
196,40,625
197,40,625
199,50,625
200,47,625
201,47,625
202,47,625
202,52,625
202,53,625
203,42,625
203,47,625
206,54,625
207,46,625
207,55,625
208,47,625
209,56,625
211,49,625
214,42,625
218,46,625
219,46,625
219,47,625
