"y","x","cluster_id"
8,173,114
9,165,114
9,168,114
9,171,114
9,172,114
9,176,114
10,171,114
10,172,114
10,176,114
10,179,114
10,180,114
10,189,114
10,190,114
11,165,114
11,187,114
11,190,114
11,198,114
12,186,114
12,187,114
12,188,114
12,189,114
12,190,114
12,191,114
12,192,114
12,193,114
12,196,114
12,197,114
12,198,114
12,199,114
12,200,114
12,205,114
12,206,114
13,165,114
13,176,114
13,177,114
13,186,114
13,188,114
13,189,114
13,191,114
13,192,114
13,193,114
13,194,114
13,195,114
13,196,114
13,197,114
13,198,114
13,199,114
13,200,114
13,206,114
13,207,114
14,176,114
14,184,114
14,186,114
14,193,114
14,194,114
14,195,114
14,217,114
15,172,114
15,194,114
15,237,208
16,138,114
16,140,114
16,141,114
16,142,114
16,161,114
16,169,114
16,170,114
16,171,114
16,185,114
16,237,208
17,140,114
17,141,114
17,159,114
17,160,114
17,169,114
17,170,114
17,171,114
17,172,114
17,173,114
17,180,114
17,192,114
17,238,208
17,239,208
18,133,114
18,170,114
18,171,114
18,172,114
18,175,114
18,213,114
18,214,114
18,215,114
18,239,208
18,249,208
18,250,208
19,171,114
19,174,114
19,213,114
19,215,114
19,216,114
19,238,208
19,239,208
19,244,208
20,156,114
20,174,114
20,213,114
20,218,114
20,236,208
20,238,208
20,239,208
20,240,208
20,241,208
20,244,208
21,166,114
21,185,114
21,199,114
21,200,114
21,215,114
21,229,208
21,240,208
21,243,208
22,119,341
22,170,114
22,219,208
22,242,208
22,248,208
22,249,208
22,251,208
23,119,341
23,171,114
23,199,114
23,200,114
23,249,208
23,261,208
24,121,341
24,139,114
24,198,114
24,220,208
24,221,208
24,224,208
25,178,114
25,197,114
25,198,114
25,218,208
25,220,208
25,221,208
25,222,208
26,219,208
26,220,208
26,227,208
26,257,208
27,108,341
27,124,341
27,144,114
27,171,114
27,228,208
27,252,208
28,104,341
28,177,114
28,240,208
28,251,208
29,150,114
29,157,114
29,234,208
29,236,208
29,239,208
29,245,208
29,252,208
30,189,114
30,243,208
30,245,208
31,248,208
32,256,208
32,257,208
33,112,341
33,144,114
33,251,208
33,254,208
33,255,208
33,258,208
33,259,208
34,112,341
34,259,208
34,260,208
34,262,208
35,149,114
35,180,114
35,260,208
35,261,208
36,125,341
36,215,208
37,215,208
37,221,208
38,127,341
38,128,341
38,133,341
38,229,208
38,258,208
38,259,208
38,261,208
38,262,208
39,134,341
39,252,208
39,258,208
39,259,208
39,260,208
39,262,208
40,134,341
40,246,208
40,255,208
40,260,208
41,90,341
41,180,114
41,224,208
41,247,208
42,88,341
42,89,341
42,96,341
42,212,208
42,247,208
42,248,208
42,249,208
42,263,208
43,96,341
43,104,341
43,247,208
43,248,208
43,250,208
44,99,341
44,138,341
44,150,114
44,234,208
44,235,208
44,236,208
44,246,208
44,253,208
44,261,208
44,262,208
45,119,341
45,234,208
45,249,208
45,259,208
45,262,208
45,263,208
46,119,341
46,202,114
48,74,341
48,233,208
48,234,208
49,233,208
49,234,208
49,242,208
49,249,208
50,72,341
50,233,208
50,244,208
50,245,208
51,233,208
51,245,208
52,86,341
52,100,341
52,242,208
53,85,341
53,86,341
53,225,208
54,82,341
54,83,341
54,86,341
55,81,341
55,97,341
55,257,208
56,92,341
56,96,341
56,144,341
56,191,114
56,231,208
56,232,208
57,79,341
57,86,341
57,87,341
57,96,341
57,103,341
57,104,341
57,128,341
57,191,114
57,197,114
57,200,114
58,73,341
58,76,341
58,80,341
58,85,341
58,86,341
58,191,114
58,193,114
58,194,114
59,74,341
59,76,341
59,83,341
59,139,341
59,192,114
59,229,208
59,256,208
60,74,341
60,78,341
60,138,341
60,256,208
61,78,341
61,79,341
62,103,341
62,104,341
62,138,341
62,191,114
62,192,114
63,131,341
63,168,114
63,172,114
63,191,114
64,74,341
64,81,341
64,131,341
64,172,114
64,173,114
64,181,114
64,258,208
64,263,208
64,264,208
65,77,341
65,79,341
65,80,341
65,81,341
65,131,341
65,173,114
65,191,114
65,263,208
66,67,341
66,70,341
66,79,341
66,104,341
66,229,208
66,264,208
67,77,341
67,107,341
67,156,766
67,187,114
67,259,208
67,260,208
68,50,686
68,51,686
68,52,686
68,108,341
68,134,341
68,259,208
69,49,686
69,54,686
69,80,341
69,249,208
69,250,208
69,259,208
70,78,341
70,108,341
70,136,341
70,249,208
70,250,208
71,108,341
71,109,341
71,216,208
71,230,208
71,249,208
71,250,208
71,262,208
71,264,208
72,68,341
72,77,341
72,99,341
72,108,341
72,109,341
72,134,341
72,136,341
72,249,208
73,47,686
73,82,341
73,99,341
73,105,341
73,109,341
73,110,341
73,136,341
73,137,341
73,139,341
73,236,208
74,99,341
74,100,341
74,109,341
74,137,341
74,138,341
74,139,341
74,262,208
75,90,341
75,94,341
75,100,341
75,165,766
75,237,208
76,94,341
76,99,341
76,100,341
76,113,341
76,114,341
76,132,341
76,138,341
77,83,341
77,131,341
77,132,341
77,139,341
78,139,341
78,213,796
78,233,796
78,234,208
79,31,686
79,91,341
79,100,341
79,118,341
79,139,341
79,144,766
79,220,796
80,118,341
80,178,766
80,225,796
81,32,686
81,44,686
81,49,686
81,183,766
81,224,796
81,225,796
81,240,796
81,241,796
82,28,686
82,29,686
82,100,341
82,155,766
82,224,796
82,240,796
82,243,796
83,118,341
83,168,766
83,185,766
83,223,796
84,31,686
84,104,341
84,130,341
84,206,796
84,222,796
84,223,796
85,122,341
86,61,686
86,108,341
86,128,341
86,129,341
86,149,766
86,206,796
86,238,796
87,109,341
87,117,341
87,119,341
87,120,341
87,129,341
87,130,341
87,173,766
87,184,766
87,186,766
87,238,796
88,25,686
88,98,341
88,99,341
88,104,341
88,118,341
88,132,341
88,143,766
88,174,766
88,187,766
88,237,796
89,21,686
89,98,341
89,109,341
89,110,341
89,118,341
89,162,766
89,212,796
90,21,686
90,110,341
90,111,341
90,116,341
90,125,341
90,169,766
90,170,766
90,184,766
91,19,686
91,111,341
91,112,341
91,116,341
91,117,341
91,213,796
91,235,796
92,111,341
92,115,341
92,151,766
92,164,766
92,213,796
93,19,686
93,115,341
93,158,766
93,193,796
94,19,686
94,136,766
94,174,766
94,185,766
94,194,796
95,137,766
95,161,766
95,167,766
95,207,796
95,250,796
96,26,686
96,85,341
96,137,766
96,161,766
96,167,766
96,184,766
96,213,796
96,221,796
96,231,796
96,232,796
96,250,796
96,256,796
97,24,686
97,25,686
97,86,341
97,140,766
97,166,766
97,167,766
97,168,766
97,194,796
97,213,796
97,223,796
97,225,796
97,226,796
97,231,796
97,232,796
98,25,686
98,129,766
98,160,766
98,165,766
98,166,766
98,167,766
98,168,766
98,193,796
98,194,796
98,200,796
98,226,796
98,229,796
98,230,796
99,24,686
99,29,686
99,144,766
99,156,766
99,165,766
99,166,766
99,167,766
99,168,766
99,169,766
99,170,766
99,226,796
99,227,796
99,228,796
99,229,796
99,230,796
100,60,686
100,96,341
100,120,341
100,166,766
100,167,766
100,168,766
100,169,766
100,226,796
100,227,796
100,228,796
100,230,796
101,29,686
101,62,686
101,96,341
101,137,766
101,139,766
101,143,766
101,166,766
101,167,766
101,168,766
101,169,766
101,185,766
101,226,796
101,227,796
101,228,796
101,229,796
102,62,686
102,115,341
102,124,766
102,157,766
102,165,766
102,166,766
102,167,766
102,169,766
102,184,766
102,226,796
102,227,796
103,73,686
103,119,341
103,144,766
103,146,766
103,147,766
103,182,766
103,183,766
104,73,686
104,120,766
104,147,766
104,162,766
104,163,766
104,179,766
104,181,766
104,182,766
104,183,766
104,209,796
104,239,796
105,137,766
105,147,766
105,148,766
105,162,766
105,163,766
105,175,766
105,177,766
105,179,766
105,183,766
105,239,796
106,54,686
106,110,341
106,139,766
106,140,766
106,162,766
106,163,766
106,175,766
106,177,766
106,178,766
106,179,766
106,195,796
107,120,766
107,145,766
107,166,766
107,175,766
107,176,766
107,177,766
107,178,766
107,195,796
107,202,796
107,208,796
108,119,766
108,120,766
108,147,766
108,176,766
108,177,766
108,178,766
108,179,766
108,197,796
108,198,796
108,199,796
108,202,796
108,225,796
109,149,766
109,152,766
109,153,766
109,169,766
109,171,766
109,177,766
109,178,766
109,179,766
109,194,796
109,198,796
109,199,796
109,238,796
109,239,796
109,240,796
110,44,686
110,102,341
110,146,766
110,149,766
110,150,766
110,151,766
110,152,766
110,153,766
110,175,766
110,176,766
110,198,796
110,199,796
110,238,796
110,239,796
110,241,796
111,126,766
111,141,766
111,149,766
111,150,766
111,151,766
111,168,766
111,169,766
111,173,766
111,174,766
111,175,766
111,176,766
111,177,766
111,178,766
111,200,796
111,222,796
111,238,796
111,240,796
112,109,341
112,149,766
112,150,766
112,151,766
112,152,766
112,153,766
112,155,766
112,168,766
112,178,766
112,197,796
112,198,796
112,200,796
112,201,796
112,206,796
112,210,796
112,218,796
112,237,796
112,239,796
112,240,796
112,241,796
113,14,686
113,32,686
113,34,686
113,61,686
113,123,766
113,125,766
113,129,766
113,150,766
113,152,766
113,167,766
113,176,766
113,177,766
113,178,766
113,200,796
113,217,796
113,237,796
113,238,796
113,239,796
113,240,796
113,241,796
113,242,796
114,15,686
114,33,686
114,34,686
114,61,686
114,129,766
114,150,766
114,155,766
114,157,766
114,223,796
114,239,796
114,243,796
115,15,686
115,115,766
115,118,766
115,119,766
115,120,766
115,148,766
115,175,766
115,188,766
115,215,796
115,223,796
115,242,796
115,243,796
115,244,796
115,245,796
116,14,686
116,119,766
116,120,766
116,136,766
116,147,766
116,148,766
116,149,766
116,191,796
116,197,796
116,198,796
116,199,796
116,200,796
116,222,796
116,223,796
116,225,796
116,235,796
117,120,766
117,149,766
117,174,766
117,198,796
117,199,796
117,202,796
117,212,796
117,223,796
117,227,796
117,232,796
117,236,796
118,116,766
118,129,766
118,146,766
118,198,796
118,199,796
118,200,796
118,205,796
118,226,796
118,231,796
118,232,796
118,242,796
119,130,766
119,144,766
119,149,766
119,180,766
119,197,796
119,198,796
119,230,796
119,232,796
119,235,796
119,246,796
120,58,686
120,126,766
120,127,766
120,143,766
120,144,766
120,150,766
120,155,766
120,196,796
120,197,796
120,231,796
120,232,796
121,90,1252
121,147,766
121,148,766
121,149,766
121,150,766
121,154,766
121,155,766
121,156,766
121,157,766
121,167,766
121,178,766
121,182,766
121,188,766
121,195,796
121,196,796
121,204,796
121,205,796
121,230,796
121,231,796
121,232,796
121,244,796
122,137,766
122,148,766
122,149,766
122,155,766
122,156,766
122,157,766
122,158,766
122,181,766
122,182,766
122,183,766
122,186,766
122,187,766
122,203,796
122,204,796
122,205,796
122,229,796
122,230,796
122,231,796
122,232,796
123,149,766
123,150,766
123,151,766
123,155,766
123,156,766
123,157,766
123,172,766
123,183,766
123,194,796
123,195,796
123,196,796
123,202,796
123,203,796
123,205,796
123,212,796
123,229,796
123,230,796
123,231,796
123,232,796
124,22,686
124,90,1252
124,140,766
124,146,766
124,149,766
124,152,766
124,155,766
124,156,766
124,157,766
124,191,796
124,193,796
124,201,796
124,208,796
124,230,796
124,231,796
125,19,686
125,21,686
125,91,1252
125,144,766
125,146,766
125,147,766
125,150,766
125,152,766
125,153,766
125,154,766
125,165,766
125,181,766
125,192,796
125,205,796
125,206,796
125,208,796
125,211,796
125,212,796
125,228,796
125,230,796
125,231,796
126,31,686
126,78,1252
126,134,766
126,144,766
126,145,766
126,146,766
126,147,766
126,153,766
126,154,766
126,164,766
126,205,796
126,206,796
126,207,796
126,208,796
126,218,796
126,228,796
126,230,796
126,231,796
126,234,796
126,235,796
126,242,796
126,243,796
127,68,686
127,69,686
127,146,766
127,147,766
127,148,766
127,153,766
127,154,766
127,160,766
127,174,766
127,188,766
127,204,796
127,207,796
127,208,796
127,209,796
127,210,796
127,230,796
127,234,796
127,243,796
128,25,686
128,69,686
128,148,766
128,156,766
128,160,766
128,174,766
128,182,766
128,200,796
128,207,796
128,209,796
128,210,796
128,217,796
128,218,796
129,56,686
129,105,1444
129,106,1444
129,107,1444
129,121,766
129,166,766
129,167,766
129,205,796
129,208,796
129,209,796
129,210,796
129,217,796
129,218,796
129,243,796
130,58,686
130,104,1444
130,105,1444
130,106,1444
130,107,1444
130,109,1444
130,120,766
130,176,766
130,185,766
130,208,796
130,209,796
130,211,796
130,231,796
131,49,686
131,60,686
131,103,1444
131,104,1444
131,105,1444
131,177,766
131,208,796
131,211,796
132,52,686
132,103,1444
132,104,1444
132,211,796
132,212,796
133,64,1252
133,103,1444
133,104,1444
133,152,766
133,212,796
133,228,796
134,72,1252
134,76,1252
134,142,766
134,173,766
134,211,796
134,212,796
134,222,796
135,60,1252
135,74,1252
135,97,1252
135,104,1444
135,233,796
137,98,1444
137,203,796
137,230,796
138,100,1444
138,147,766
138,148,766
138,219,796
138,235,796
139,79,1252
139,80,1252
139,96,1252
139,97,1444
139,98,1444
139,111,1444
139,219,796
139,220,796
139,233,796
139,235,796
140,79,1252
140,80,1252
140,81,1252
140,98,1444
140,99,1444
140,100,1444
140,141,766
140,147,766
140,172,766
140,235,796
140,236,796
141,50,1252
141,81,1252
141,82,1252
141,84,1252
141,85,1252
141,98,1444
141,100,1444
141,104,1444
141,147,766
141,149,766
141,162,766
142,48,1252
142,64,1252
142,73,1252
142,77,1252
142,78,1252
142,79,1252
142,83,1252
142,85,1252
142,86,1252
142,101,1444
142,127,1444
142,130,1444
142,131,1444
142,132,1444
142,134,766
142,141,766
142,148,766
142,149,766
142,162,766
142,163,766
142,182,766
142,183,766
143,60,1252
143,75,1252
143,85,1252
143,86,1252
143,99,1444
143,122,1444
143,139,766
143,140,766
143,141,766
143,147,766
143,149,766
143,150,766
143,236,796
144,49,1252
144,58,1252
144,59,1252
144,60,1252
144,78,1252
144,85,1252
144,87,1252
144,99,1444
144,110,1444
144,147,766
145,85,1252
145,86,1252
145,103,1444
145,113,1444
145,140,766
145,182,766
145,186,1620
145,233,796
145,234,796
146,66,1252
146,83,1252
146,85,1252
146,86,1252
146,87,1252
146,112,1444
146,140,766
146,170,766
146,233,796
146,234,796
147,32,1252
147,33,1252
147,85,1252
147,86,1252
147,87,1252
147,88,1252
147,101,1444
147,137,1444
147,138,1444
147,166,766
147,189,1620
147,234,796
148,65,1252
148,141,766
149,46,1252
149,66,1252
149,82,1252
149,102,1444
149,103,1444
149,137,1444
149,165,766
149,233,796
150,50,1252
150,141,1444
151,116,1444
151,117,1444
151,164,766
152,32,1252
152,44,1252
152,68,1252
152,79,1252
152,92,1252
152,116,1444
153,40,1252
153,75,1252
153,116,1444
153,117,1444
153,118,1444
153,119,1444
154,41,1252
154,59,1252
154,71,1252
154,75,1252
154,93,1444
154,94,1444
154,115,1444
154,116,1444
154,117,1444
154,118,1444
154,119,1444
154,128,1444
154,130,1444
154,140,1444
154,171,1620
154,236,796
155,47,1252
155,48,1252
155,70,1252
155,93,1444
155,94,1444
155,114,1444
155,116,1444
155,118,1444
155,126,1444
155,129,1444
155,141,1444
156,32,1252
156,48,1252
156,66,1252
156,67,1252
156,69,1252
156,70,1252
156,72,1252
156,95,1444
156,107,1444
156,118,1444
156,128,1444
156,129,1444
156,166,1620
156,167,1620
157,48,1252
157,68,1252
157,69,1252
157,75,1252
157,95,1444
157,117,1444
157,131,1444
157,167,1620
158,48,1252
158,49,1252
158,51,1252
158,52,1252
158,61,1252
158,67,1252
158,68,1252
158,69,1252
158,131,1444
159,52,1252
159,53,1252
159,66,1252
159,96,1444
159,133,1444
159,176,1620
