"y","x","cluster_id"
40,154,114
40,296,114
40,325,303
41,216,114
42,217,114
44,216,114
44,218,114
45,213,114
45,217,114
45,218,114
46,217,114
47,213,114
48,213,114
48,216,114
48,217,114
48,357,124
48,372,124
49,216,114
49,370,124
50,250,114
50,280,114
50,322,303
53,390,124
54,276,114
54,314,114
54,354,303
55,249,114
55,250,114
55,354,303
56,249,114
56,354,303
56,370,124
57,282,114
57,370,124
58,249,114
58,260,114
58,261,114
58,262,114
58,263,114
58,300,114
59,259,114
59,262,114
59,263,114
60,255,114
60,260,114
60,263,114
61,259,114
62,203,114
62,206,114
62,251,114
62,258,114
62,270,114
62,307,114
63,262,114
63,389,124
65,374,124
65,378,124
65,391,124
66,253,114
66,254,114
66,305,114
66,378,124
66,379,124
67,253,114
67,257,114
67,269,114
67,284,114
67,382,124
68,303,114
68,371,124
69,243,114
69,256,114
69,368,124
69,398,124
70,199,114
70,243,114
71,360,303
71,385,124
71,460,124
72,242,114
72,310,303
72,361,303
73,250,114
73,252,114
73,361,303
73,378,124
73,459,124
74,250,114
74,380,124
75,284,114
75,389,124
75,461,124
75,468,124
76,197,114
76,198,114
76,242,114
76,253,114
76,263,114
76,454,124
76,465,124
76,467,124
77,282,114
78,262,114
78,282,114
78,411,124
78,457,124
79,259,114
79,351,303
79,453,124
80,236,114
80,259,114
80,386,124
80,387,124
81,242,114
81,249,114
82,241,114
82,251,114
82,261,114
82,434,124
82,456,124
83,238,114
83,247,114
83,251,114
83,430,124
83,454,124
84,253,114
84,323,303
84,457,124
85,247,114
85,248,114
85,252,114
85,256,114
85,295,114
85,335,303
85,355,303
85,448,124
86,229,114
86,256,114
86,322,303
87,253,114
87,256,114
87,259,114
87,294,114
87,323,303
87,435,124
88,238,114
88,239,114
88,436,124
89,258,114
89,375,124
89,391,124
90,239,114
90,244,114
90,249,114
90,266,114
90,392,124
90,447,124
90,460,124
91,244,114
91,394,124
91,460,124
92,396,124
92,468,124
93,241,114
93,341,303
93,463,124
94,464,124
95,285,114
95,339,303
96,283,114
96,364,303
96,365,303
96,444,124
96,445,124
97,249,114
97,260,114
97,339,303
98,184,114
98,215,114
98,338,303
98,340,303
99,178,114
99,337,303
100,126,522
100,162,114
100,178,114
100,218,114
100,317,303
101,126,522
101,191,114
101,219,114
101,449,124
102,210,114
102,221,114
102,222,114
102,268,114
102,318,303
102,335,303
102,453,124
103,220,114
103,221,114
103,364,303
104,223,114
104,296,303
104,326,303
104,378,303
105,224,114
106,223,114
106,371,303
106,416,124
106,443,124
107,209,114
107,415,124
107,446,124
108,414,124
109,199,114
109,203,114
109,265,114
109,281,114
110,179,114
110,209,114
110,265,114
110,316,303
110,406,124
111,191,114
111,199,114
111,280,114
111,312,303
111,329,303
