"y","x","cluster_id"
2,72,555
23,233,67
24,233,67
24,242,67
25,234,67
26,238,67
26,239,67
26,242,67
27,209,67
27,237,67
28,223,67
30,182,67
30,183,67
30,184,67
30,185,67
32,182,67
32,183,67
32,238,67
33,184,67
33,186,67
33,188,67
33,222,67
33,238,67
33,241,67
34,176,67
34,178,67
34,179,67
34,185,67
34,186,67
34,187,67
34,238,67
34,239,67
34,240,67
34,241,67
35,216,67
35,238,67
35,240,67
36,237,67
37,225,67
37,236,67
37,237,67
38,224,67
38,225,67
38,226,67
38,235,67
38,236,67
38,237,67
39,225,67
39,226,67
40,197,67
40,225,67
40,248,67
41,196,67
41,201,67
41,226,67
41,227,67
41,245,67
41,246,67
42,167,281
42,201,67
42,211,67
42,245,67
42,250,67
43,167,281
44,167,281
44,168,281
44,227,67
44,234,67
44,235,67
44,241,67
44,242,67
44,246,67
44,247,67
44,248,67
45,167,281
45,168,281
45,241,67
45,243,67
45,244,67
45,245,67
45,246,67
45,247,67
45,248,67
46,168,281
46,237,67
46,239,67
46,240,67
46,241,67
46,242,67
46,244,67
46,245,67
46,246,67
46,247,67
47,157,281
47,158,281
47,170,281
47,241,67
48,153,281
48,227,67
48,228,67
48,229,67
49,156,281
49,161,281
49,170,281
49,228,67
49,234,67
50,129,281
50,130,281
50,158,281
50,173,281
50,232,67
52,141,281
52,232,67
53,141,281
53,142,281
54,142,281
54,170,281
54,238,67
55,153,281
55,154,281
55,155,281
55,201,67
55,234,67
55,235,67
55,244,67
56,168,281
56,201,67
56,239,67
56,240,67
56,241,67
57,125,281
57,236,67
57,239,67
57,240,67
58,240,67
59,227,67
59,228,67
59,229,67
59,240,67
60,228,67
60,229,67
61,131,281
61,166,281
62,128,281
62,129,281
62,191,67
63,127,281
63,128,281
63,129,281
63,135,281
63,148,281
64,120,281
64,126,281
64,127,281
64,128,281
64,129,281
64,130,281
64,133,281
64,226,67
65,114,281
65,115,281
65,126,281
65,127,281
65,128,281
65,134,281
65,146,281
65,147,281
65,167,281
65,212,67
66,124,281
66,125,281
66,126,281
66,127,281
66,128,281
67,103,555
67,104,555
67,106,555
67,109,281
67,112,281
67,118,281
67,123,281
67,124,281
67,125,281
67,126,281
67,127,281
67,129,281
