"y","x","cluster_id"
31,268,64
35,259,64
37,108,76
37,266,64
38,267,64
40,88,76
43,294,64
46,114,76
46,195,174
47,112,76
49,214,64
49,268,64
50,267,64
51,113,76
51,114,76
51,269,64
52,118,76
53,70,76
53,118,76
55,111,76
55,118,76
55,185,174
56,280,64
57,117,76
57,244,64
58,166,76
60,124,76
60,126,76
65,46,76
66,207,174
67,204,174
68,98,76
73,227,64
74,243,64
77,119,76
77,322,64
77,377,130
78,113,76
80,322,64
81,343,130
82,298,64
82,304,64
83,344,130
84,58,76
84,160,76
84,345,130
85,59,76
85,60,76
85,344,130
85,346,130
85,347,130
85,348,130
86,203,174
89,102,76
89,311,64
90,101,76
90,302,64
90,310,64
90,321,64
91,351,130
92,101,76
93,352,130
94,109,76
94,284,64
94,286,64
95,284,64
95,285,64
95,349,130
95,369,130
96,237,64
96,306,64
96,317,64
96,331,130
96,350,130
96,355,130
97,96,76
98,189,174
98,241,64
98,326,130
99,324,130
99,348,130
99,350,130
100,112,76
100,113,76
100,131,76
100,351,130
101,284,64
101,299,64
101,321,130
102,322,130
103,44,76
104,287,64
105,100,76
105,364,130
106,240,174
106,243,64
106,358,130
106,363,130
106,364,130
107,200,174
107,240,174
107,243,174
107,284,64
107,351,130
107,362,130
107,363,130
107,364,130
108,242,174
108,243,174
109,244,174
111,322,130
111,359,130
112,84,76
112,138,76
112,222,174
114,308,64
115,79,76
115,273,64
116,39,76
116,315,130
117,231,174
118,231,174
118,234,174
118,275,64
118,351,130
119,75,76
119,257,64
120,305,64
120,307,64
120,351,130
120,364,130
121,48,76
121,77,76
121,346,130
122,316,130
123,314,130
125,90,76
125,115,76
125,343,130
125,345,130
126,267,64
127,354,130
128,101,76
128,191,174
128,369,130
130,288,64
131,183,174
132,235,174
132,356,130
132,371,130
133,204,174
133,352,130
133,353,130
133,361,130
134,354,130
135,217,174
135,218,174
135,219,174
135,220,174
136,53,76
136,231,174
137,86,76
137,206,174
137,207,174
137,208,174
137,209,174
137,221,174
137,240,174
138,208,174
138,209,174
138,211,174
138,212,174
138,213,174
138,214,174
138,220,174
139,215,174
139,225,174
139,241,174
139,316,130
140,204,174
140,217,174
140,225,174
140,273,286
140,356,130
140,367,130
141,87,76
141,206,174
141,211,174
141,217,174
141,357,130
141,366,130
142,98,76
142,218,174
142,219,174
142,220,174
142,227,174
142,356,130
143,133,76
143,196,174
143,268,286
144,200,174
144,208,174
144,270,286
145,202,174
145,205,174
145,206,174
145,207,174
145,208,174
145,275,286
145,381,130
146,65,76
146,196,174
146,237,174
146,321,130
147,75,76
147,212,174
147,219,174
147,264,286
148,189,174
148,190,174
148,191,174
148,192,174
149,206,174
149,220,174
150,229,174
150,264,286
150,345,130
151,307,286
151,345,130
152,227,174
152,307,286
152,308,286
152,309,286
152,312,286
154,158,174
154,162,174
154,245,286
154,278,286
155,279,286
156,262,286
156,294,286
156,345,130
157,263,286
157,280,286
160,352,130
161,215,174
161,351,130
161,368,130
161,374,130
162,88,76
162,218,174
162,351,130
163,218,174
163,298,286
164,250,286
164,333,130
165,235,174
165,379,130
167,203,174
167,206,174
169,81,76
169,199,174
169,234,174
170,362,130
171,351,130
171,362,130
172,202,174
172,277,286
173,237,286
173,238,286
173,239,286
173,259,286
173,260,286
173,261,286
173,270,286
173,271,286
173,275,286
173,276,286
173,278,286
173,280,286
174,237,286
174,261,286
174,262,286
174,263,286
174,270,286
174,271,286
174,275,286
174,276,286
174,279,286
175,218,174
175,262,286
175,263,286
175,270,286
175,279,286
176,217,174
176,258,286
176,260,286
176,262,286
177,369,130
178,317,286
182,142,174
182,237,286
184,295,286
184,296,286
186,131,76
186,295,286
187,242,286
187,243,286
187,244,286
187,342,130
188,245,286
189,250,286
189,259,286
190,259,286
190,262,286
191,259,286
191,280,286
191,281,286
192,258,286
193,268,286
194,267,286
194,268,286
196,260,286
196,370,130
201,329,286
201,330,286
202,322,286
202,329,286
203,256,286
207,259,286
