"y","x","cluster_id"
27,161,172
30,156,172
33,161,172
33,167,172
36,152,172
39,158,172
40,158,172
40,165,172
41,149,172
42,149,172
42,150,172
46,169,172
51,158,172
52,149,172
52,174,172
55,145,172
56,171,172
58,142,172
59,175,172
61,147,172
66,166,172
68,151,172
68,155,172
69,144,172
70,151,172
71,144,172
71,146,172
71,153,172
72,146,172
72,153,172
75,225,167
76,148,172
76,155,172
77,214,167
77,221,167
78,213,167
79,215,167
79,217,167
80,215,167
80,217,167
80,239,167
81,220,167
82,216,167
83,146,172
83,213,167
83,244,167
83,248,167
83,251,167
83,252,167
83,253,167
83,259,167
84,212,167
84,214,167
84,247,167
84,248,167
84,251,167
84,252,167
84,253,167
84,259,167
84,260,167
84,266,167
85,140,172
85,205,167
85,208,167
85,213,167
85,214,167
85,232,167
85,241,167
85,242,167
85,249,167
85,254,167
85,255,167
85,256,167
85,257,167
85,258,167
85,259,167
85,260,167
85,261,167
85,263,167
86,207,167
86,211,167
86,212,167
86,224,167
86,225,167
86,226,167
86,245,167
86,261,167
86,262,167
86,264,167
87,130,172
87,214,167
87,220,167
87,262,167
87,263,167
87,264,167
87,269,167
88,261,167
88,262,167
88,263,167
88,269,167
89,127,172
89,177,172
89,224,167
89,232,167
89,262,167
89,263,167
89,268,167
90,195,167
90,206,167
90,224,167
90,263,167
91,123,172
91,169,172
91,195,167
91,215,167
91,217,167
91,226,167
91,227,167
91,232,167
91,269,167
92,121,172
92,122,172
92,123,172
92,124,172
92,195,167
92,196,167
92,197,167
92,206,167
92,271,167
93,122,172
93,123,172
93,135,172
93,189,172
93,194,172
94,136,172
94,171,172
94,189,172
95,128,172
95,130,172
95,191,172
95,212,167
96,120,172
96,242,167
96,270,167
97,117,172
97,119,172
97,168,172
97,202,167
97,224,167
97,271,167
98,116,172
98,169,172
98,170,172
98,218,167
98,223,167
98,229,167
99,228,167
99,253,167
99,254,167
99,256,167
99,257,167
100,126,172
100,128,172
100,142,172
100,201,167
100,228,167
100,239,167
100,243,167
100,253,167
100,254,167
101,146,172
101,150,172
101,168,172
101,197,167
101,253,167
101,257,167
102,165,172
102,178,172
102,246,167
102,248,167
102,256,167
103,144,172
103,245,167
103,257,167
104,162,172
104,163,172
104,164,172
104,165,172
104,238,167
105,115,172
105,162,172
105,163,172
105,164,172
105,165,172
105,194,172
105,195,167
105,221,167
105,238,167
105,239,167
106,106,172
106,152,172
106,161,172
106,162,172
106,166,172
106,221,167
106,235,167
106,237,167
106,238,167
106,239,167
107,233,167
107,237,167
107,238,167
108,153,172
108,167,172
108,259,167
109,147,172
109,153,172
109,155,172
109,234,167
109,256,167
109,273,167
110,106,172
110,118,172
110,147,172
110,148,172
110,156,172
110,222,167
110,255,167
110,256,167
110,272,167
110,273,167
111,110,172
111,139,172
111,145,172
111,215,167
111,217,167
111,256,167
111,274,167
111,275,167
111,277,167
112,115,172
112,144,172
112,214,167
112,215,167
112,216,167
112,218,167
113,116,172
113,145,172
113,196,417
113,215,167
113,217,167
113,265,167
114,144,172
114,145,172
114,155,172
114,157,172
114,239,167
115,140,172
115,144,172
115,150,172
115,155,172
115,267,167
116,150,172
116,152,172
116,165,172
116,227,167
116,260,167
116,262,167
116,267,167
116,268,167
117,211,167
117,260,167
117,262,167
117,269,167
118,116,172
118,153,172
118,178,172
118,212,167
118,213,167
118,228,167
118,260,167
118,266,167
118,268,167
119,178,172
119,211,167
119,214,167
