"y","x","cluster_id"
16,118,245
16,121,245
18,123,245
18,125,245
19,107,245
19,108,245
19,120,245
19,124,245
19,125,245
20,105,245
20,106,245
20,107,245
22,253,250
23,247,250
24,121,245
25,121,245
25,122,245
25,253,250
25,269,250
26,273,250
26,276,250
27,262,250
27,273,250
27,274,250
27,275,250
27,276,250
28,124,245
28,155,245
28,157,245
28,158,245
28,230,250
28,262,250
28,273,250
28,274,250
28,275,250
28,278,250
29,107,245
29,122,245
29,123,245
29,124,245
29,135,245
29,136,245
29,137,245
29,227,250
29,246,250
29,262,250
29,272,250
30,121,245
30,122,245
30,135,245
30,136,245
30,137,245
30,157,245
30,225,250
30,244,250
30,245,250
30,261,250
30,262,250
30,270,250
30,271,250
31,135,245
31,136,245
31,211,250
31,256,250
31,257,250
31,260,250
31,261,250
31,262,250
31,270,250
32,121,245
32,135,245
32,136,245
32,151,245
32,152,245
32,207,250
32,208,250
32,224,250
32,245,250
32,255,250
32,256,250
32,257,250
32,261,250
32,263,250
32,267,250
32,275,250
33,122,245
33,123,245
33,127,245
33,135,245
33,150,245
33,151,245
33,152,245
33,153,245
33,157,245
33,207,250
33,208,250
33,243,250
33,267,250
34,122,245
34,123,245
34,135,245
34,136,245
34,148,245
34,149,245
34,151,245
34,157,245
34,207,250
34,242,250
34,243,250
34,253,250
34,266,250
35,123,245
35,124,245
35,125,245
35,126,245
35,154,245
35,156,245
35,168,245
35,207,250
35,223,250
35,229,250
35,243,250
35,251,250
35,264,250
36,138,245
36,139,245
36,251,250
36,263,250
36,271,250
37,138,245
37,139,245
37,140,245
37,154,245
37,155,245
37,158,245
37,162,245
37,205,250
37,206,250
37,209,250
37,210,250
37,250,250
37,258,250
37,263,250
37,287,250
38,156,245
38,178,245
38,205,250
38,208,250
38,209,250
38,288,250
39,110,245
39,204,250
39,207,250
39,262,250
39,271,250
40,110,245
40,123,245
40,134,245
40,136,245
40,143,245
40,165,245
40,203,250
40,204,250
40,220,250
40,272,250
41,117,245
41,123,245
41,133,245
41,134,245
41,135,245
41,143,245
41,144,245
41,151,245
41,166,245
41,181,245
41,204,250
42,112,245
42,143,245
42,144,245
42,166,245
43,143,245
43,159,245
43,172,245
44,179,245
44,273,250
45,137,245
45,138,245
45,156,245
45,158,245
45,177,245
45,178,245
45,179,245
46,138,245
46,139,245
46,170,245
46,176,245
46,177,245
46,178,245
47,139,245
47,140,245
47,171,245
47,174,245
47,175,245
47,253,250
47,272,250
48,119,245
48,120,245
48,140,245
48,171,245
48,172,245
48,241,250
48,253,250
49,162,245
49,172,245
49,214,250
49,243,250
49,245,250
49,252,250
50,111,245
50,171,245
50,236,250
50,243,250
50,244,250
51,113,245
51,171,245
51,181,245
51,241,250
51,242,250
51,243,250
51,244,250
51,248,250
51,249,250
51,250,250
51,252,250
51,253,250
52,240,250
52,241,250
52,242,250
52,243,250
52,244,250
52,248,250
52,249,250
52,291,250
53,105,245
53,144,245
53,163,245
53,171,245
53,182,245
53,242,250
53,243,250
53,244,250
53,248,250
54,163,245
54,171,245
54,172,245
54,216,250
54,235,250
54,239,250
54,244,250
54,245,250
54,246,250
54,247,250
55,179,245
55,220,250
55,233,250
55,238,250
55,239,250
55,240,250
55,241,250
55,244,250
55,245,250
55,246,250
55,247,250
56,158,245
56,179,245
56,182,245
56,200,250
56,219,250
56,220,250
56,240,250
56,246,250
56,253,250
56,282,250
57,147,245
57,181,245
57,183,245
57,199,250
57,219,250
57,233,250
57,242,250
57,245,250
58,123,245
58,124,245
58,147,245
58,181,245
58,214,250
58,215,250
58,219,250
58,243,250
58,244,250
58,245,250
58,291,629
59,214,250
59,219,250
59,243,250
59,244,250
59,283,250
59,291,629
60,207,250
60,214,250
60,234,250
60,241,250
60,290,629
61,150,245
61,210,250
61,233,250
61,234,250
61,238,250
61,243,250
61,244,250
62,219,250
62,266,250
63,236,250
63,262,250
63,264,250
64,179,245
64,209,250
64,226,250
64,236,250
64,242,250
65,209,250
65,237,250
66,165,245
66,224,250
66,227,250
66,232,250
66,237,250
66,238,250
66,267,250
66,276,250
66,283,250
66,299,629
66,300,629
67,174,245
67,223,250
67,234,250
67,235,250
67,237,250
67,238,250
67,239,250
67,299,629
68,181,245
68,198,250
68,207,250
68,212,250
68,235,250
68,267,250
68,268,250
69,181,245
69,182,245
69,211,250
69,235,250
70,211,250
70,236,250
70,319,629
71,243,250
71,278,250
71,313,629
71,314,629
72,210,250
72,232,250
72,283,629
72,284,629
72,308,629
72,309,629
72,310,629
73,199,250
73,283,629
73,284,629
73,291,629
73,313,629
73,314,629
73,323,629
74,257,250
74,313,629
74,315,629
75,178,245
75,255,250
75,261,250
75,289,629
75,290,629
76,120,245
76,177,245
76,178,245
76,254,250
76,267,250
76,271,250
76,288,629
76,289,629
76,290,629
76,302,629
76,303,629
77,147,245
77,246,250
77,288,629
77,289,629
77,292,629
77,293,629
77,301,629
77,302,629
77,303,629
78,210,250
78,279,629
78,288,629
78,291,629
78,292,629
78,294,629
78,300,629
78,301,629
78,302,629
78,303,629
78,310,629
78,320,629
79,124,245
79,286,629
79,290,629
79,293,629
79,300,629
79,301,629
79,302,629
79,310,629
80,280,629
80,302,629
81,99,245
81,222,250
81,224,250
81,254,250
81,301,629
82,172,245
82,180,245
82,222,250
82,281,629
83,239,250
83,242,250
83,311,629
83,316,629
83,317,629
83,323,629
84,123,245
84,179,245
84,180,245
84,291,629
84,323,629
85,156,245
85,158,245
85,179,245
86,216,250
86,255,250
86,309,629
87,130,245
87,131,245
87,276,629
87,282,629
87,306,629
87,308,629
87,309,629
87,310,629
87,321,629
87,322,629
87,333,629
87,374,1107
87,375,1107
88,114,245
88,131,245
88,141,245
88,152,245
88,321,629
88,326,629
88,333,629
88,334,629
88,347,629
89,115,245
89,154,245
89,280,629
89,281,629
89,302,629
89,327,629
89,333,629
89,346,629
89,347,629
90,100,245
90,132,245
90,281,629
90,328,629
90,329,629
90,334,629
90,335,629
90,345,629
90,346,629
91,100,245
91,154,245
91,289,629
91,313,629
91,328,629
91,344,629
91,346,629
92,102,245
92,103,245
92,104,245
92,138,245
92,176,979
92,208,979
92,233,250
92,264,250
93,106,245
93,176,979
93,208,979
93,214,979
93,239,250
93,240,250
93,252,250
93,262,250
93,263,250
93,301,629
93,307,629
93,341,629
94,104,245
94,110,245
94,176,979
94,203,979
94,252,250
94,253,250
94,261,250
94,262,250
94,308,629
94,311,629
94,314,629
94,316,629
94,318,629
94,319,629
94,320,629
94,327,629
94,328,629
94,329,629
94,330,629
94,334,629
95,110,245
95,208,979
95,231,250
95,261,250
95,262,250
95,264,629
95,269,629
95,304,629
95,305,629
95,309,629
95,310,629
95,316,629
95,317,629
95,318,629
95,319,629
