"y","x","cluster_id"
22,537,258
32,65,601
40,297,514
40,306,514
42,532,258
43,82,601
45,310,514
52,512,258
61,538,258
62,91,601
62,552,258
65,60,601
65,61,601
65,287,514
65,517,258
66,61,601
66,513,258
67,62,601
67,291,514
68,93,601
68,512,258
68,514,258
68,517,258
69,307,514
69,553,258
71,512,258
71,513,258
71,553,258
71,556,258
72,529,258
72,530,258
72,551,258
72,554,258
72,555,258
73,537,258
75,525,258
76,494,258
76,517,258
76,560,258
77,492,258
77,526,258
77,560,258
78,515,258
78,547,258
78,560,258
79,525,258
79,550,258
80,518,258
80,524,258
80,561,258
81,61,601
81,295,514
81,520,258
81,523,258
81,524,258
81,553,258
82,487,258
82,525,258
82,546,258
83,523,258
83,524,258
83,525,258
83,546,258
83,553,258
84,290,514
85,313,514
85,509,258
85,521,258
85,546,258
86,294,514
86,510,258
86,513,258
86,522,258
86,561,258
86,562,258
86,563,258
87,513,258
87,514,258
87,527,258
87,546,258
87,551,258
87,552,258
88,289,514
88,327,514
88,550,258
88,562,258
89,92,601
89,309,514
89,552,258
89,553,258
90,290,514
90,291,514
90,292,514
90,301,514
90,511,258
90,549,258
90,554,258
90,565,258
91,60,601
91,78,601
91,79,601
91,90,601
91,290,514
91,300,514
91,510,258
91,552,258
91,564,258
92,35,601
92,60,601
92,62,601
92,79,601
92,327,514
92,504,258
92,547,258
92,553,258
92,554,258
92,564,258
92,565,258
93,287,514
93,528,258
94,303,514
94,509,258
94,540,258
94,554,258
94,559,258
95,66,601
95,111,601
95,316,514
95,328,514
95,343,514
95,505,258
95,515,258
95,533,258
95,540,258
95,560,258
95,562,258
96,35,601
96,52,601
96,99,601
96,295,514
96,327,514
96,343,514
96,501,258
96,508,258
96,541,258
96,548,258
96,549,258
96,550,258
97,56,601
97,289,514
97,290,514
97,341,514
97,508,258
97,509,258
97,511,258
97,512,258
97,542,258
97,549,258
97,550,258
98,59,601
98,60,601
98,62,601
98,82,601
98,95,601
98,288,514
98,291,514
98,537,258
98,549,258
98,565,258
99,62,601
99,68,601
99,80,601
99,99,601
99,111,601
99,302,514
99,561,258
100,62,601
100,63,601
100,68,601
100,97,601
100,99,601
100,100,601
100,310,514
100,549,258
100,561,258
101,52,601
101,58,601
101,76,601
101,97,601
101,286,514
101,320,514
101,321,514
101,499,258
101,551,258
102,73,601
102,94,601
102,293,514
102,296,514
102,319,514
102,332,514
102,547,258
103,63,601
103,64,601
103,68,601
103,99,601
103,292,514
103,300,514
103,319,514
103,543,258
103,547,258
103,550,258
103,551,258
104,63,601
104,64,601
104,68,601
104,72,601
104,297,514
104,323,514
104,546,258
104,547,258
104,548,258
104,560,258
105,66,601
105,67,601
105,68,601
105,92,601
105,291,514
105,292,514
105,313,514
105,325,514
105,341,514
105,342,514
105,529,258
105,544,258
105,545,258
105,547,258
105,561,258
106,52,601
106,53,601
106,90,601
106,95,601
106,103,601
106,282,514
106,290,514
106,295,514
106,316,514
106,511,258
106,542,258
106,545,258
106,548,258
107,53,601
107,92,601
107,286,514
107,289,514
107,324,514
107,341,514
107,512,258
107,539,258
107,542,258
107,544,258
107,545,258
107,553,258
108,95,601
108,97,601
108,114,601
108,289,514
108,324,514
108,510,258
108,544,258
108,549,258
108,560,258
109,55,601
109,59,601
109,65,601
109,91,601
109,94,601
109,97,601
109,114,601
109,280,514
109,285,514
109,327,514
109,496,258
109,497,258
109,543,258
110,51,601
110,93,601
110,95,601
110,113,601
110,114,601
110,323,514
110,334,514
110,496,258
110,558,258
111,46,601
111,49,601
111,114,601
111,282,514
111,316,514
111,326,514
111,333,514
111,334,514
111,544,258
111,545,258
111,547,258
111,558,258
111,559,258
111,568,258
112,50,601
112,51,601
112,52,601
112,59,601
112,60,601
112,61,601
112,62,601
112,74,601
112,94,601
112,96,601
112,113,601
112,275,514
112,282,514
112,287,514
112,333,514
112,334,514
112,544,258
112,545,258
112,546,258
112,567,258
113,43,601
113,49,601
113,50,601
113,52,601
113,284,514
113,323,514
113,324,514
113,325,514
113,333,514
113,502,258
113,537,258
113,543,258
113,545,258
113,568,258
114,17,601
114,18,601
114,40,601
114,41,601
114,48,601
114,49,601
114,93,601
114,94,601
114,280,514
114,289,514
114,321,514
114,326,514
114,543,258
114,546,258
115,35,601
115,49,601
115,50,601
115,53,601
115,56,601
115,58,601
115,88,601
115,94,601
115,102,601
115,103,601
115,104,601
115,287,514
115,328,514
115,335,514
115,540,258
116,35,601
116,48,601
116,49,601
116,52,601
116,53,601
116,54,601
116,91,601
116,103,601
116,280,514
116,304,514
116,326,514
116,328,514
116,333,514
116,336,514
116,545,258
116,546,258
116,547,258
116,548,258
116,549,258
117,43,601
117,61,601
117,89,601
117,93,601
117,94,601
117,103,601
117,279,514
117,283,514
117,311,514
117,325,514
117,545,258
117,548,258
117,554,258
118,32,601
118,49,601
118,271,514
118,272,514
118,533,258
118,535,258
118,548,258
118,550,258
119,32,601
119,88,601
119,93,601
119,97,601
119,282,514
119,310,514
119,320,514
119,321,514
119,331,514
119,332,514
119,551,258
119,552,258
120,32,601
120,38,601
120,39,601
120,40,601
120,94,601
120,95,601
120,104,601
120,321,514
120,541,258
120,548,258
120,553,258
121,76,601
121,80,601
121,97,601
121,501,258
121,529,258
121,546,258
121,547,258
121,548,258
122,32,601
122,50,601
122,79,601
122,82,601
122,91,601
122,281,514
122,335,514
122,536,258
122,544,258
122,572,258
123,50,601
123,78,601
123,79,601
123,88,601
123,89,601
123,90,601
123,91,601
123,99,601
123,276,514
123,329,514
123,550,258
124,40,601
124,67,601
124,79,601
124,102,601
124,275,514
124,281,514
124,292,514
124,305,514
124,317,514
124,516,258
124,569,258
124,570,258
125,39,601
125,100,601
125,266,514
125,306,514
125,313,514
125,334,514
126,49,601
126,80,601
126,269,514
126,299,514
126,317,514
126,320,514
126,321,514
126,523,258
127,36,601
127,37,601
127,50,601
127,86,601
127,90,601
127,98,601
127,281,514
127,282,514
127,312,514
127,314,514
127,315,514
127,316,514
127,317,514
127,319,514
127,333,514
127,544,258
128,37,601
128,48,601
128,65,601
128,68,601
128,81,601
128,115,601
128,117,601
128,267,514
128,280,514
128,308,514
128,311,514
128,315,514
128,317,514
129,84,601
129,85,601
129,86,601
129,87,601
129,267,514
129,268,514
129,281,514
129,312,514
129,315,514
129,330,514
129,331,514
129,520,258
129,527,258
130,40,601
130,81,601
130,84,601
130,85,601
130,86,601
130,88,601
130,89,601
130,271,514
130,314,514
130,315,514
130,323,514
130,524,258
131,40,601
131,80,601
131,81,601
131,83,601
131,85,601
131,272,514
131,314,514
131,319,514
131,539,258
132,80,601
132,83,601
132,97,601
132,98,601
132,271,514
132,313,514
132,518,258
133,82,601
133,83,601
133,98,601
133,316,514
133,324,514
133,527,258
134,31,601
134,38,601
134,81,601
134,82,601
134,83,601
134,314,514
134,315,514
134,316,514
134,328,514
134,502,258
135,36,601
135,49,601
135,79,601
135,80,601
135,83,601
135,313,514
135,314,514
135,315,514
135,316,514
135,317,514
135,318,514
135,328,514
135,558,258
136,80,601
136,83,601
136,88,601
136,98,601
136,272,514
136,296,514
136,310,514
136,311,514
136,315,514
137,38,601
137,40,601
137,62,601
137,63,601
137,74,601
137,77,601
137,81,601
137,83,601
137,97,601
137,310,514
137,311,514
137,315,514
137,316,514
137,337,514
137,500,258
138,78,601
138,79,601
138,80,601
138,81,601
138,82,601
138,83,601
138,84,601
138,85,601
138,95,601
138,96,601
138,309,514
138,310,514
138,315,514
138,316,514
138,317,514
138,318,514
138,322,514
138,336,514
138,569,258
139,78,601
139,79,601
139,80,601
139,81,601
139,82,601
139,83,601
139,95,601
139,316,514
139,317,514
139,318,514
139,322,514
139,338,514
139,527,258
140,35,601
140,36,601
140,37,601
140,38,601
140,76,601
140,77,601
140,78,601
140,79,601
140,80,601
140,81,601
140,82,601
140,83,601
140,303,514
140,316,514
140,317,514
140,318,514
140,319,514
140,347,514
140,497,258
141,69,601
141,71,601
141,77,601
141,82,601
141,83,601
141,84,601
141,89,601
141,90,601
141,106,601
141,269,514
141,281,514
141,303,514
141,316,514
141,317,514
141,319,514
141,347,514
141,349,514
142,81,601
142,82,601
142,85,601
142,89,601
142,105,601
142,294,514
142,303,514
142,317,514
142,320,514
142,321,514
142,346,514
142,347,514
142,516,258
143,28,601
143,31,601
143,34,601
143,35,601
143,36,601
143,61,601
143,64,601
143,78,601
143,83,601
143,87,601
143,88,601
143,104,601
143,305,514
143,310,514
143,346,514
144,52,601
144,54,601
144,63,601
144,68,601
144,84,601
144,86,601
144,305,514
144,316,514
144,318,514
144,319,514
144,320,514
144,323,514
144,325,514
144,337,514
144,512,258
145,84,601
145,85,601
145,87,601
145,283,514
145,285,514
145,302,514
145,320,514
145,504,258
146,36,601
146,86,601
146,293,514
146,329,514
147,33,601
147,51,601
147,79,601
147,86,601
147,87,601
147,104,601
147,275,514
147,299,514
147,303,514
147,547,258
148,50,601
148,83,601
148,86,601
148,89,601
148,91,601
148,92,601
