"y","x","cluster_id"
29,373,296
29,374,296
30,372,296
30,373,296
31,353,296
31,357,296
31,372,296
31,373,296
32,207,484
32,210,484
32,353,296
32,372,296
32,373,296
33,209,484
33,210,484
33,354,296
34,210,484
34,316,267
34,317,267
35,205,484
35,317,267
35,326,267
36,206,484
36,218,484
36,315,267
36,327,267
36,346,296
36,347,296
37,313,267
37,315,267
37,333,267
37,334,267
37,335,267
37,347,296
38,204,484
38,211,484
38,312,267
38,313,267
38,314,267
38,321,267
38,329,267
38,331,267
38,332,267
38,347,296
38,381,296
39,313,267
39,323,267
39,324,267
39,332,267
39,380,296
39,381,296
40,240,484
40,316,267
40,322,267
40,323,267
40,332,267
41,198,484
41,310,267
41,318,267
41,325,267
41,326,267
42,310,267
42,317,267
42,383,296
43,268,267
43,271,267
43,272,267
43,273,267
43,309,267
43,314,267
43,315,267
43,316,267
43,317,267
44,258,484
44,265,267
44,303,267
44,314,267
44,315,267
44,316,267
44,317,267
44,318,267
44,387,296
45,249,484
45,253,484
45,265,267
45,301,267
45,302,267
45,314,267
45,315,267
45,316,267
45,317,267
45,323,267
45,329,267
45,382,296
45,384,296
45,386,296
45,387,296
45,388,296
46,252,484
46,255,484
46,256,484
46,263,484
46,265,267
46,301,267
46,316,267
46,317,267
46,385,296
47,232,484
47,252,484
47,263,484
47,268,267
47,269,267
47,310,267
47,312,267
47,325,267
47,335,267
47,382,296
47,388,296
48,232,484
48,301,267
48,311,267
48,312,267
48,313,267
48,314,267
48,315,267
48,316,267
48,328,267
48,331,267
48,378,296
49,253,484
49,303,267
49,304,267
49,306,267
49,311,267
49,312,267
49,313,267
49,314,267
49,315,267
49,316,267
49,337,296
49,387,296
50,235,484
50,236,484
50,242,484
50,251,484
50,262,484
50,302,267
50,312,267
50,313,267
50,315,267
50,316,267
50,335,267
51,236,484
51,249,484
51,260,484
51,262,484
51,263,484
51,289,267
51,290,267
51,292,267
51,301,267
51,302,267
51,308,267
51,310,267
51,313,267
51,316,267
51,332,267
51,338,296
51,357,296
51,384,296
51,385,296
51,387,296
52,230,484
52,249,484
52,255,484
52,261,484
52,263,484
52,289,267
52,292,267
52,297,267
52,300,267
52,305,267
52,310,267
52,311,267
52,341,296
52,342,296
52,386,296
52,389,296
53,291,267
53,298,267
53,299,267
53,307,267
53,324,267
53,341,296
53,375,296
54,238,484
54,263,484
54,293,267
54,305,267
54,319,267
54,341,296
54,344,296
54,374,296
54,375,296
54,394,296
55,238,484
55,253,484
55,293,267
55,322,267
55,341,296
55,342,296
56,233,484
56,253,484
56,254,484
56,259,484
56,293,267
56,294,267
56,295,267
56,296,267
56,342,296
56,343,296
56,381,296
56,394,296
57,146,801
57,177,484
57,236,484
57,238,484
57,331,267
58,181,484
58,293,267
58,326,267
58,328,267
58,329,267
58,358,296
58,377,296
58,387,296
58,393,296
58,397,296
59,232,484
59,248,484
59,299,267
59,300,267
59,303,267
59,304,267
59,326,267
60,182,484
60,239,484
60,295,267
60,298,267
60,300,267
60,328,267
61,196,484
61,239,484
61,244,484
61,262,484
61,299,267
61,301,267
61,304,267
61,305,267
61,325,267
61,360,296
61,401,296
62,265,484
62,324,267
62,376,296
63,230,484
63,303,267
63,316,267
63,336,296
63,337,296
63,361,296
64,245,484
64,248,484
64,286,267
64,287,267
64,335,267
64,336,296
64,337,296
64,363,296
65,231,484
65,287,267
65,288,267
65,289,267
65,290,267
65,291,267
65,292,267
65,293,267
65,294,267
65,295,267
65,296,267
65,299,267
65,300,267
65,337,296
65,360,296
65,362,296
65,368,296
65,381,296
65,382,296
66,147,801
66,284,267
66,285,267
66,286,267
66,288,267
66,289,267
66,290,267
66,294,267
66,295,267
66,296,267
66,297,267
66,299,267
66,300,267
66,301,267
66,302,267
66,310,267
66,347,296
66,348,296
66,358,296
66,361,296
67,235,484
67,239,484
67,247,484
67,287,267
67,295,267
67,296,267
67,297,267
67,298,267
67,299,267
67,300,267
67,302,267
67,303,267
67,346,296
67,359,296
67,360,296
67,376,296
67,393,296
67,394,296
67,395,296
67,397,296
68,233,484
68,236,484
68,250,484
68,254,484
68,295,267
68,296,267
68,297,267
68,298,267
68,300,267
68,301,267
68,302,267
68,303,267
68,306,267
68,378,296
68,393,296
69,231,484
69,233,484
69,235,484
