"y","x","cluster_id"
16,299,46
17,299,46
19,239,46
20,239,46
20,312,46
23,275,46
23,291,46
26,228,46
26,253,46
27,229,46
27,339,125
28,286,46
28,287,46
29,287,46
30,288,46
31,339,125
32,225,46
32,275,46
32,282,46
32,307,46
33,302,46
34,301,46
34,302,46
34,308,46
35,305,46
35,340,125
38,280,46
38,288,46
38,289,46
38,292,46
39,226,46
39,288,46
39,289,46
41,280,46
43,252,46
43,253,46
45,248,46
45,249,46
47,204,46
47,261,46
48,206,46
48,269,46
49,205,46
49,207,46
49,208,46
49,257,46
49,267,46
49,268,46
50,218,46
50,269,46
51,265,46
52,204,46
52,206,46
52,219,46
53,203,46
53,204,46
53,272,46
54,211,46
54,212,46
55,200,46
55,211,46
56,234,46
56,297,46
57,324,125
58,196,46
61,252,46
62,285,46
63,270,46
64,216,46
64,217,46
64,253,46
65,202,46
65,299,46
65,347,125
66,345,125
66,346,125
67,269,46
68,201,46
68,239,46
69,236,46
70,338,125
70,339,125
72,345,125
73,345,125
74,278,46
74,349,125
75,349,125
76,278,46
76,279,46
77,310,125
78,311,125
80,198,46
80,231,46
83,339,125
84,316,125
84,356,125
86,233,46
88,346,125
90,309,125
91,223,46
92,344,125
93,342,125
93,344,125
93,345,125
94,303,125
94,327,125
94,329,125
94,344,125
95,301,125
95,330,125
95,341,125
96,305,125
96,351,125
99,283,125
100,294,125
101,211,282
101,216,282
101,217,282
101,218,282
101,219,282
102,218,282
102,285,125
102,287,125
105,217,282
107,321,125
107,350,125
108,307,125
108,321,125
109,321,125
110,264,282
110,320,125
111,278,125
111,286,125
111,287,125
111,319,125
111,341,125
112,304,125
112,350,125
113,263,282
113,264,282
114,305,125
115,293,125
115,314,125
115,315,125
115,316,125
116,313,125
117,230,282
117,337,125
117,352,125
118,230,282
118,231,282
118,280,125
118,299,125
118,300,125
119,298,125
119,299,125
119,300,125
120,316,125
121,79,295
121,308,125
121,309,125
121,349,125
122,54,295
122,75,295
122,238,282
122,308,125
123,85,295
123,306,125
124,59,295
124,69,295
124,294,125
124,312,125
125,18,295
125,58,295
125,59,295
125,207,282
125,209,282
125,310,125
125,312,125
126,62,295
126,208,282
127,20,295
127,62,295
127,295,125
128,295,125
128,296,125
128,355,125
128,356,125
129,302,125
130,11,295
130,62,295
130,63,295
