"y","x","cluster_id"
19,261,653
20,258,653
20,260,653
20,264,653
20,288,269
21,292,269
21,295,269
21,317,269
22,258,653
22,295,269
23,262,653
23,291,269
23,296,269
23,298,269
23,300,269
23,301,269
23,303,269
23,310,269
23,320,269
24,285,269
24,293,269
24,294,269
24,296,269
24,297,269
24,307,269
24,309,269
24,311,269
24,319,269
25,263,653
25,296,269
25,297,269
25,304,269
25,305,269
25,306,269
25,308,269
25,311,269
25,315,269
25,316,269
25,319,269
25,320,269
26,257,653
26,258,653
26,269,653
26,290,269
26,301,269
26,303,269
26,304,269
26,305,269
26,307,269
26,308,269
26,318,269
26,320,269
26,321,269
26,322,269
27,254,653
27,256,653
27,257,653
27,260,653
27,303,269
27,304,269
27,305,269
27,306,269
27,307,269
27,308,269
27,316,269
27,318,269
27,320,269
27,321,269
27,322,269
27,323,269
27,324,269
28,253,653
28,255,653
28,292,269
28,293,269
28,304,269
28,305,269
28,306,269
28,307,269
28,308,269
28,309,269
28,313,269
28,316,269
28,319,269
28,321,269
28,322,269
28,323,269
29,254,653
29,263,653
29,264,653
29,277,269
29,304,269
29,305,269
29,306,269
29,307,269
29,308,269
29,309,269
29,312,269
29,313,269
29,315,269
29,318,269
29,319,269
29,321,269
29,322,269
29,323,269
29,324,269
29,325,269
29,326,269
29,331,269
30,262,653
30,263,653
30,267,653
30,288,269
30,305,269
30,306,269
30,307,269
30,308,269
30,312,269
30,313,269
30,314,269
30,315,269
30,322,269
30,323,269
30,324,269
30,325,269
30,326,269
30,333,269
30,334,269
31,261,653
31,262,653
31,268,653
31,289,269
31,290,269
31,299,269
31,303,269
31,314,269
31,315,269
31,322,269
31,323,269
31,324,269
32,251,653
32,252,653
32,261,653
32,273,653
32,274,653
32,285,269
32,288,269
32,289,269
32,290,269
32,299,269
32,302,269
32,309,269
32,312,269
32,313,269
32,318,269
32,321,269
32,322,269
32,324,269
32,325,269
33,263,653
33,265,653
33,273,653
33,276,653
33,285,269
33,286,269
33,287,269
33,288,269
33,289,269
33,290,269
33,300,269
33,304,269
33,310,269
33,311,269
33,312,269
33,313,269
33,314,269
33,316,269
33,317,269
33,318,269
33,319,269
33,322,269
33,323,269
34,234,653
34,264,653
34,265,653
34,285,269
34,288,269
34,289,269
34,304,269
34,310,269
34,311,269
34,313,269
34,316,269
34,323,269
34,324,269
35,234,653
35,250,653
35,314,269
35,320,269
35,323,269
35,324,269
35,325,269
36,289,269
36,312,269
36,317,269
36,323,269
36,325,269
36,326,269
36,342,618
36,347,618
37,310,269
37,311,269
37,312,269
37,316,269
37,317,269
37,318,269
37,327,269
37,328,269
37,341,618
37,342,618
38,262,653
38,263,653
38,264,653
38,266,653
38,290,269
38,310,269
38,311,269
38,315,269
38,316,269
38,327,269
38,329,269
38,342,618
38,348,618
39,251,653
39,252,653
39,262,653
39,264,653
39,266,653
39,268,653
39,308,269
39,309,269
39,310,269
39,313,269
39,323,269
39,324,269
39,326,269
39,327,269
39,328,269
39,329,269
39,342,618
39,350,618
40,262,653
40,266,653
40,310,269
40,315,269
40,316,269
40,324,269
40,325,269
40,326,269
40,341,618
40,342,618
40,346,618
40,347,618
40,349,618
40,350,618
41,262,653
41,263,653
41,297,269
41,308,269
41,315,269
41,324,269
41,325,269
41,326,269
41,349,618
42,252,653
42,255,653
42,264,653
42,297,269
42,303,269
42,308,269
42,315,269
42,325,269
42,326,269
42,346,618
42,348,618
42,357,618
43,251,653
43,252,653
43,262,653
43,273,653
43,298,269
43,311,269
43,312,269
43,314,269
43,315,269
43,316,269
43,317,269
43,326,269
43,339,618
43,343,618
43,345,618
43,346,618
43,347,618
43,348,618
43,349,618
43,357,618
43,359,618
43,360,618
43,362,618
44,252,653
44,262,653
44,263,653
44,264,653
44,269,653
44,299,269
44,308,269
44,344,618
44,345,618
44,346,618
44,347,618
44,348,618
44,349,618
44,353,618
44,356,618
44,358,618
44,360,618
45,261,653
45,264,653
45,265,653
45,266,653
45,267,653
45,268,653
45,269,653
45,270,653
45,299,269
45,315,269
45,339,618
45,344,618
45,345,618
45,346,618
45,347,618
45,352,618
45,353,618
45,354,618
45,356,618
45,357,618
45,360,618
45,362,618
45,367,618
46,259,653
46,260,653
46,266,653
46,268,653
46,270,653
46,271,653
46,273,653
46,274,653
46,275,653
46,276,653
46,286,269
46,299,269
46,315,269
46,321,269
46,322,269
46,338,618
46,339,618
46,340,618
46,342,618
46,343,618
46,344,618
46,345,618
46,346,618
46,354,618
46,357,618
47,265,653
47,266,653
47,267,653
47,268,653
47,269,653
47,270,653
47,271,653
47,272,653
47,274,653
47,275,653
47,276,653
47,277,653
47,279,653
47,286,269
47,299,269
47,310,269
47,370,618
48,265,653
48,266,653
48,267,653
48,268,653
48,269,653
48,270,653
48,271,653
48,275,653
48,276,653
48,277,653
48,278,653
48,309,269
48,310,269
48,328,269
48,373,618
48,374,618
49,265,653
49,266,653
49,267,653
49,268,653
49,269,653
49,272,653
49,276,653
49,277,653
49,322,269
49,323,269
49,326,269
49,344,618
49,357,618
49,376,618
50,265,653
50,266,653
50,267,653
50,268,653
50,325,269
50,344,618
50,348,618
50,375,618
50,376,618
50,377,618
50,378,618
50,379,618
50,381,618
50,389,618
51,267,653
51,268,653
51,291,269
51,292,269
51,293,269
51,294,269
51,295,269
51,296,269
51,298,269
51,299,269
51,300,269
51,302,269
51,303,269
51,343,618
51,347,618
51,348,618
51,349,618
51,366,618
51,368,618
51,375,618
51,376,618
51,377,618
51,378,618
51,379,618
51,381,618
51,382,618
51,386,618
51,391,618
52,268,653
52,294,269
52,295,269
52,298,269
52,299,269
52,300,269
52,302,269
52,347,618
52,349,618
52,350,618
52,356,618
52,371,618
52,374,618
52,375,618
52,376,618
52,377,618
52,378,618
52,379,618
52,380,618
52,381,618
52,383,618
52,388,618
52,392,618
52,393,618
52,394,618
53,269,653
53,295,269
53,296,269
53,297,269
53,298,269
53,299,269
53,300,269
53,302,269
53,349,618
53,353,618
53,355,618
53,356,618
53,357,618
53,358,618
53,365,618
53,374,618
53,375,618
53,376,618
53,377,618
53,378,618
53,379,618
53,380,618
53,383,618
53,384,618
53,388,618
53,389,618
54,270,653
54,296,269
54,297,269
54,298,269
54,299,269
54,300,269
54,302,269
54,356,618
54,357,618
54,360,618
54,363,618
54,364,618
54,365,618
54,369,618
54,370,618
54,371,618
54,375,618
54,377,618
54,378,618
54,379,618
54,380,618
54,383,618
54,384,618
54,385,618
54,386,618
55,298,269
55,299,269
55,301,269
55,302,269
55,303,269
55,340,618
55,344,618
55,353,618
55,354,618
55,355,618
55,356,618
55,357,618
55,358,618
55,362,618
55,376,618
55,377,618
55,378,618
55,379,618
55,380,618
55,385,618
55,386,618
55,387,618
55,388,618
56,295,269
56,296,269
56,297,269
56,298,269
56,299,269
56,302,269
56,303,269
56,310,269
56,352,618
56,356,618
56,357,618
56,358,618
56,360,618
56,362,618
56,373,618
56,378,618
56,379,618
56,380,618
56,386,618
56,387,618
56,388,618
56,390,618
56,396,618
56,397,618
57,294,269
57,297,269
57,298,269
57,301,269
57,302,269
57,303,269
57,304,269
57,352,618
57,353,618
57,356,618
57,358,618
57,359,618
57,360,618
57,363,618
57,372,618
57,373,618
57,380,618
57,395,618
57,397,618
58,258,653
58,260,653
58,298,269
58,299,269
58,300,269
58,302,269
58,303,269
58,304,269
58,305,269
58,353,618
58,359,618
58,364,618
58,365,618
58,372,618
58,373,618
58,374,618
58,396,618
59,258,653
59,259,653
59,262,653
59,263,653
59,275,653
59,296,269
59,297,269
59,298,269
59,299,269
59,300,269
59,302,269
59,303,269
59,304,269
59,305,269
59,353,618
59,354,618
59,364,618
59,371,618
59,372,618
59,373,618
59,374,618
59,379,618
59,380,618
59,395,618
59,396,618
60,255,653
60,256,653
60,257,653
60,258,653
60,264,653
60,265,653
60,296,269
60,302,269
60,303,269
60,304,269
60,305,269
60,351,618
60,352,618
60,353,618
60,354,618
60,372,618
60,373,618
60,377,618
60,378,618
60,379,618
60,380,618
60,381,618
60,392,618
60,394,618
61,256,653
61,257,653
61,258,653
61,264,653
61,281,653
61,282,653
61,284,653
61,301,269
61,304,269
61,305,269
61,306,269
61,351,618
61,352,618
61,353,618
61,354,618
61,363,618
61,378,618
61,379,618
61,380,618
62,252,653
62,261,653
62,262,653
62,264,653
62,265,653
62,267,653
62,281,653
62,282,653
62,283,653
62,284,653
62,301,269
62,302,269
62,303,269
62,304,269
62,305,269
62,306,269
62,352,618
62,353,618
62,362,618
62,364,618
62,368,618
62,371,618
62,378,618
62,379,618
62,380,618
62,388,618
62,399,1069
62,400,1069
63,251,653
63,261,653
63,262,653
63,266,653
63,267,653
63,281,653
63,282,653
63,283,653
63,284,653
63,301,269
63,302,269
63,303,269
63,304,269
63,305,269
63,306,269
63,307,269
63,308,269
63,352,618
63,372,618
63,375,618
63,379,618
63,386,618
63,387,618
63,393,618
63,394,618
63,395,618
64,252,653
64,266,653
64,267,653
64,268,653
64,281,653
64,282,653
64,284,653
64,285,653
64,301,269
64,302,269
64,303,269
64,304,269
64,305,269
64,307,269
64,351,618
64,352,618
64,353,618
64,375,618
64,377,618
64,379,618
64,387,618
64,388,618
64,389,618
64,390,618
64,392,618
64,394,618
64,396,618
64,397,1069
64,398,1069
64,399,1069
64,400,1069
65,269,653
65,279,653
65,280,653
65,281,653
65,283,653
65,284,653
65,285,653
65,286,653
65,301,269
65,302,269
65,303,269
65,305,269
65,349,618
65,350,618
65,351,618
65,352,618
65,353,618
65,372,618
65,373,618
65,374,618
65,377,618
65,378,618
65,379,618
65,386,618
65,388,618
65,396,618
65,421,1069
65,424,1069
66,269,653
66,279,653
66,280,653
66,284,653
66,285,653
66,286,653
66,336,618
66,338,618
66,346,618
66,348,618
66,349,618
66,350,618
66,351,618
66,373,618
66,375,618
66,378,618
66,379,618
66,380,618
66,386,618
66,387,618
66,389,618
66,422,1069
66,423,1069
66,426,1069
66,430,1069
67,253,653
67,278,653
67,284,653
67,285,653
67,349,618
67,350,618
67,351,618
67,352,618
67,353,618
67,354,618
67,369,618
67,370,618
67,372,618
67,373,618
67,376,618
67,377,618
67,378,618
67,379,618
67,427,1069
68,253,653
68,254,653
68,279,653
68,348,618
68,351,618
68,352,618
68,353,618
68,354,618
68,369,618
68,371,618
68,373,618
68,374,618
68,376,618
68,428,1069
68,430,1069
69,277,653
69,279,653
69,349,618
69,350,618
69,351,618
69,352,618
69,353,618
69,399,1069
69,421,1069
