"y","x","cluster_id"
34,519,416
34,520,416
35,467,416
35,494,416
36,451,416
36,453,416
36,454,416
36,457,416
36,458,416
36,468,416
37,444,416
37,450,416
37,451,416
37,452,416
37,453,416
37,455,416
37,456,416
37,457,416
37,493,416
37,494,416
38,432,416
38,433,416
38,438,416
38,449,416
38,452,416
38,453,416
38,455,416
38,461,416
38,484,416
38,493,416
38,522,416
39,448,416
39,449,416
39,450,416
39,451,416
39,452,416
39,453,416
39,462,416
39,464,416
39,476,416
39,493,416
40,441,416
40,445,416
40,448,416
40,451,416
40,452,416
40,453,416
40,461,416
40,463,416
40,464,416
40,468,416
40,478,416
40,479,416
40,481,416
40,486,416
40,488,416
40,494,416
40,518,416
40,519,416
41,375,659
41,376,659
41,377,659
41,417,416
41,438,416
41,444,416
41,447,416
41,451,416
41,460,416
41,466,416
41,487,416
41,519,416
42,438,416
42,444,416
42,456,416
42,460,416
42,461,416
42,462,416
42,465,416
42,467,416
42,468,416
43,378,659
43,379,659
43,397,659
43,418,416
43,455,416
43,464,416
43,492,416
43,493,416
43,538,416
43,539,416
43,540,416
43,541,416
44,381,659
44,389,659
44,396,659
44,441,416
44,443,416
44,460,416
44,467,416
44,493,416
44,507,416
44,537,416
44,538,416
44,539,416
45,377,659
45,397,659
45,398,659
45,455,416
45,456,416
45,460,416
45,507,416
46,409,659
46,447,416
46,456,416
46,460,416
46,507,416
47,400,659
47,447,416
47,458,416
47,459,416
47,476,416
47,492,416
47,506,416
48,409,659
48,445,416
48,447,416
48,448,416
48,459,416
48,460,416
48,506,416
48,508,416
49,50,738
49,53,738
49,56,738
49,398,659
49,448,416
49,451,416
49,461,416
49,482,416
49,483,416
49,484,416
50,50,738
50,52,738
50,55,738
50,60,738
50,376,659
50,396,659
50,397,659
50,398,659
50,399,659
50,449,416
50,450,416
50,454,416
50,455,416
50,475,416
50,483,416
51,45,738
51,48,738
51,51,738
51,53,738
51,55,738
51,376,659
51,377,659
51,386,659
51,395,659
51,396,659
51,397,659
51,399,659
51,400,659
51,401,659
51,403,659
51,449,416
51,452,416
51,453,416
51,455,416
51,474,416
52,49,738
52,51,738
52,52,738
52,56,738
52,60,738
52,376,659
52,385,659
52,395,659
52,396,659
52,397,659
52,398,659
52,400,659
52,401,659
52,448,416
52,450,416
52,452,416
52,453,416
52,454,416
52,455,416
52,456,416
52,463,416
52,471,416
52,524,416
53,44,738
53,49,738
53,50,738
53,51,738
53,53,738
53,58,738
53,388,659
53,394,659
53,395,659
53,396,659
53,397,659
53,398,659
53,449,416
53,452,416
53,453,416
53,454,416
53,455,416
53,456,416
53,457,416
53,524,416
54,47,738
54,49,738
54,50,738
54,51,738
54,395,659
54,396,659
54,406,659
54,408,659
54,411,659
54,453,416
54,454,416
54,455,416
54,456,416
54,457,416
54,458,416
55,46,738
55,49,738
55,50,738
55,51,738
55,392,659
55,400,659
55,443,416
55,450,416
55,454,416
55,455,416
55,457,416
55,458,416
55,461,416
56,49,738
56,51,738
56,52,738
56,134,738
56,357,659
56,379,659
56,392,659
56,442,416
56,443,416
56,454,416
56,461,416
57,51,738
57,58,738
57,134,738
57,354,659
57,372,659
57,378,659
57,401,659
57,441,416
57,455,416
57,472,416
57,507,416
58,57,738
58,370,659
58,408,659
58,409,659
58,440,416
58,462,416
58,481,416
59,66,738
59,364,659
59,400,659
59,401,659
59,407,659
59,408,659
59,412,659
59,414,659
59,416,659
59,421,416
59,432,416
59,433,416
59,440,416
59,441,416
59,458,416
59,473,416
60,48,738
60,49,738
60,51,738
60,52,738
60,66,738
60,67,738
60,360,659
60,361,659
60,375,659
60,376,659
60,398,659
60,407,659
60,408,659
60,409,659
60,411,659
60,434,416
60,440,416
60,448,416
60,449,416
60,485,416
60,507,416
61,51,738
61,66,738
61,67,738
61,374,659
61,385,659
61,407,659
61,409,659
61,410,659
61,412,659
61,415,659
61,418,659
61,434,416
61,435,416
61,439,416
61,441,416
61,459,416
61,524,416
62,50,738
62,51,738
62,52,738
62,60,738
62,64,738
62,67,738
62,319,659
62,328,659
62,380,659
62,381,659
62,382,659
62,383,659
62,386,659
62,396,659
62,403,659
62,405,659
62,406,659
62,407,659
62,415,659
62,417,659
62,419,659
62,422,416
62,426,416
62,436,416
62,437,416
62,507,416
63,48,738
63,50,738
63,54,738
63,58,738
63,64,738
63,319,659
63,325,659
63,326,659
63,328,659
63,360,659
63,402,659
63,403,659
63,404,659
63,405,659
63,417,659
63,419,659
63,427,416
63,511,416
63,534,1504
63,537,1504
64,51,738
64,58,738
64,64,738
64,325,659
64,326,659
64,385,659
64,402,659
64,404,659
64,405,659
64,406,659
64,407,659
64,408,659
64,417,659
64,418,659
64,419,659
64,420,659
64,454,416
64,476,416
64,538,1504
65,48,738
65,56,738
65,63,738
65,305,659
65,351,659
65,370,659
65,371,659
65,385,659
65,386,659
65,401,659
65,403,659
65,405,659
65,435,416
65,436,416
65,442,416
65,443,416
65,444,416
65,445,416
65,446,416
65,447,416
65,460,416
65,513,416
66,56,738
66,305,659
66,306,659
66,322,659
66,348,659
66,349,659
66,368,659
66,369,659
66,370,659
66,378,659
66,379,659
66,399,659
66,402,659
66,405,659
66,429,416
66,443,416
66,470,416
66,488,416
66,513,416
66,515,416
66,538,1504
67,348,659
67,365,659
67,368,659
67,369,659
67,388,659
67,402,659
67,440,416
67,443,416
67,444,416
67,445,416
67,450,416
67,451,416
67,463,416
68,68,738
68,267,1767
68,347,659
68,383,659
68,389,659
68,397,659
68,399,659
68,400,659
68,401,659
68,407,659
68,409,659
68,438,416
68,468,416
68,469,416
69,36,738
69,131,738
69,381,659
69,382,659
69,383,659
69,386,659
69,397,659
69,398,659
69,399,659
69,400,659
69,403,659
69,436,416
69,437,416
69,441,416
69,514,416
69,539,1504
70,35,738
70,36,738
70,37,738
70,39,738
70,372,659
70,373,659
70,382,659
70,383,659
70,397,659
70,398,659
70,399,659
70,401,659
70,402,659
70,405,659
70,406,659
70,410,659
70,419,659
70,432,416
70,441,416
70,465,416
70,473,416
71,36,738
71,383,659
71,386,659
71,396,659
71,397,659
71,400,659
71,401,659
71,402,659
71,405,659
71,407,659
71,408,659
71,409,659
71,410,659
71,419,659
71,426,416
71,432,416
71,434,416
71,436,416
71,446,416
71,455,416
71,464,416
72,42,738
72,357,659
72,388,659
72,389,659
72,390,659
72,398,659
72,400,659
72,401,659
72,402,659
72,403,659
72,408,659
72,409,659
72,410,659
72,413,659
72,428,416
72,430,416
72,431,416
72,461,416
72,465,416
73,36,738
73,56,738
73,98,738
73,390,659
73,395,659
73,396,659
73,399,659
73,400,659
73,401,659
73,402,659
73,403,659
73,405,659
73,408,659
73,416,659
73,424,416
73,430,416
73,431,416
73,455,416
73,458,416
73,473,416
74,38,738
74,39,738
74,43,738
74,386,659
74,399,659
74,400,659
74,401,659
