"y","x","cluster_id"
13,156,82
14,152,82
15,146,82
15,160,82
16,160,82
17,137,82
17,156,82
17,173,82
18,143,82
18,148,82
18,155,82
18,172,82
19,143,82
19,147,82
19,159,82
21,165,82
21,176,82
22,163,82
22,164,82
22,165,82
23,143,82
23,151,82
23,156,82
23,164,82
24,159,82
24,163,82
24,178,82
25,102,82
26,70,82
26,100,82
26,160,82
26,161,82
27,99,82
27,103,82
27,159,82
27,184,82
28,99,82
28,103,82
28,104,82
28,132,82
28,153,82
29,88,82
29,98,82
29,101,82
29,161,82
30,88,82
30,101,82
30,102,82
30,144,82
30,145,82
30,146,82
30,147,82
30,148,82
31,100,82
31,101,82
31,136,82
34,63,82
34,100,82
34,134,82
34,182,82
34,183,82
35,64,82
35,134,82
35,142,82
35,180,82
36,66,82
36,101,82
36,131,82
36,177,82
36,180,82
37,94,82
37,110,82
37,131,82
37,177,82
37,183,82
37,184,82
37,185,82
38,185,82
38,186,82
39,92,82
39,97,82
39,130,82
39,176,82
39,178,82
39,179,82
39,180,82
40,89,82
40,98,82
40,139,82
40,141,82
40,177,82
40,179,82
40,180,82
41,87,82
41,88,82
41,179,82
41,180,82
42,84,82
42,91,82
42,140,82
42,141,82
43,87,82
43,89,82
43,98,82
44,99,82
45,109,82
45,175,82
46,60,82
47,61,82
47,66,82
47,67,82
47,73,82
47,175,82
48,68,82
48,69,82
48,70,82
48,179,82
48,180,82
49,51,82
49,176,82
50,52,534
51,50,534
51,51,534
51,141,82
52,79,82
52,113,82
53,78,82
53,113,82
55,143,82
56,165,82
57,126,82
58,126,82
58,166,82
60,86,82
60,169,82
61,64,534
61,65,534
61,77,82
61,84,82
61,91,82
61,162,82
61,284,388
62,63,534
63,63,534
63,166,330
66,58,534
66,168,330
66,170,330
66,289,388
67,58,534
67,167,330
67,169,330
68,264,388
68,265,388
68,282,388
69,264,388
69,266,388
69,269,388
70,55,534
70,100,82
70,253,330
71,101,82
71,132,82
71,168,330
71,258,388
71,262,388
71,273,388
72,101,82
72,164,330
72,167,330
72,168,330
72,254,330
72,267,388
73,163,330
73,166,330
73,168,330
73,169,330
73,170,330
73,279,388
74,166,330
74,168,330
74,169,330
74,171,330
74,264,388
74,265,388
74,279,388
75,131,82
75,173,330
75,261,388
75,267,388
75,280,388
75,282,388
76,133,82
76,134,82
76,280,388
76,298,388
77,134,82
77,281,388
77,295,388
78,134,82
78,175,330
78,273,388
78,282,388
78,283,388
78,290,388
78,299,388
79,101,82
79,130,82
79,131,82
79,132,82
79,133,82
79,282,388
79,283,388
79,293,388
80,61,534
80,130,82
80,131,82
80,132,82
80,178,330
80,285,388
81,130,82
81,178,330
81,190,330
82,101,534
82,227,330
82,281,388
82,283,388
82,314,388
83,45,534
83,102,534
83,277,388
84,44,534
84,135,82
84,136,82
84,271,388
84,300,388
85,93,534
85,101,534
86,63,534
86,126,82
87,48,534
87,70,534
87,71,534
87,97,534
87,226,330
87,235,330
87,285,388
88,41,534
88,61,534
