"y","x","cluster_id"
12,832,1864
12,833,1864
13,830,1864
13,831,1864
13,832,1864
13,833,1864
13,834,1864
14,830,1864
14,831,1864
14,832,1864
14,833,1864
14,834,1864
14,835,1864
14,855,1864
14,856,1864
14,857,1864
15,830,1864
15,831,1864
15,832,1864
15,835,1864
15,856,1864
15,857,1864
15,858,1864
16,833,1864
16,834,1864
16,858,1864
16,859,1864
16,861,1864
16,867,1864
16,874,1864
16,875,1864
16,877,1864
17,832,1864
17,833,1864
17,834,1864
17,835,1864
17,836,1864
17,859,1864
17,871,1864
17,872,1864
17,873,1864
17,874,1864
17,875,1864
17,876,1864
17,878,1864
18,825,1864
18,826,1864
18,828,1864
18,834,1864
18,836,1864
18,837,1864
18,838,1864
18,859,1864
18,863,1864
18,872,1864
18,874,1864
18,876,1864
18,877,1864
18,883,1864
19,126,2311
19,127,2311
19,147,2311
19,808,1864
19,825,1864
19,831,1864
19,832,1864
19,833,1864
19,834,1864
19,835,1864
19,837,1864
19,838,1864
19,839,1864
19,866,1864
19,874,1864
19,875,1864
19,876,1864
19,877,1864
19,882,1864
19,884,1864
20,126,2311
20,127,2311
20,808,1864
20,820,1864
20,821,1864
20,829,1864
20,830,1864
20,831,1864
20,832,1864
20,833,1864
20,835,1864
20,836,1864
20,837,1864
20,838,1864
20,839,1864
20,840,1864
20,861,1864
20,874,1864
20,875,1864
20,876,1864
20,877,1864
20,883,1864
20,885,1864
20,886,1864
21,126,2311
21,127,2311
21,175,2311
21,830,1864
21,831,1864
21,832,1864
21,833,1864
21,838,1864
21,839,1864
21,840,1864
21,874,1864
21,875,1864
21,876,1864
21,878,1864
21,882,1864
21,886,1864
22,125,2311
22,301,2319
22,302,2319
22,303,2319
22,816,1864
22,820,1864
22,822,1864
22,827,1864
22,839,1864
22,840,1864
22,875,1864
22,876,1864
22,877,1864
22,886,1864
22,894,1864
23,92,2311
23,126,2311
23,300,2319
23,301,2319
23,302,2319
23,303,2319
23,816,1864
23,820,1864
23,824,1864
23,826,1864
23,827,1864
23,831,1864
23,839,1864
23,841,1864
23,874,1864
23,875,1864
23,876,1864
23,877,1864
23,878,1864
23,885,1864
23,892,1864
23,893,1864
24,93,2311
24,101,2311
24,104,2311
24,138,2311
24,139,2311
24,201,2311
24,300,2319
24,302,2319
24,304,2319
24,818,1864
24,819,1864
24,820,1864
24,821,1864
24,822,1864
24,823,1864
24,824,1864
24,826,1864
24,831,1864
24,832,1864
24,838,1864
24,839,1864
24,840,1864
24,841,1864
24,874,1864
24,875,1864
24,876,1864
24,877,1864
24,886,1864
24,891,1864
25,11,4451
25,55,4451
25,92,2311
25,93,2311
25,104,2311
25,105,2311
25,138,2311
25,158,2311
25,197,2311
25,198,2311
25,300,2319
25,301,2319
25,302,2319
25,303,2319
25,304,2319
25,824,1864
25,833,1864
25,834,1864
25,835,1864
25,837,1864
25,841,1864
25,867,1864
25,874,1864
25,875,1864
25,876,1864
25,877,1864
25,884,1864
25,886,1864
26,19,4451
26,104,2311
26,157,2311
26,158,2311
26,159,2311
26,197,2311
26,198,2311
26,200,2311
26,275,2319
26,300,2319
26,301,2319
26,303,2319
26,328,2319
26,730,2823
26,812,1864
26,819,1864
26,820,1864
26,822,1864
26,824,1864
26,837,1864
26,841,1864
26,873,1864
26,874,1864
26,875,1864
26,876,1864
26,877,1864
26,892,1864
26,894,1864
27,17,4451
27,18,4451
27,25,4451
27,104,2311
27,157,2311
27,158,2311
27,159,2311
27,160,2311
27,197,2311
27,198,2311
27,199,2311
27,275,2319
27,276,2319
27,294,2319
27,301,2319
27,303,2319
27,304,2319
27,305,2319
27,327,2319
27,328,2319
27,730,2823
27,820,1864
27,836,1864
27,837,1864
27,844,1864
27,850,1864
27,873,1864
27,874,1864
27,875,1864
27,876,1864
27,892,1864
27,893,1864
27,905,1864
28,10,4451
28,17,4451
28,104,2311
28,170,2311
28,276,2319
28,288,2319
28,303,2319
28,304,2319
28,305,2319
28,327,2319
28,328,2319
28,659,2823
28,810,1864
28,816,1864
28,817,1864
28,820,1864
28,822,1864
28,830,1864
28,836,1864
28,872,1864
28,873,1864
28,874,1864
28,875,1864
28,876,1864
28,883,1864
29,17,4451
29,48,4451
29,89,2311
29,96,2311
29,170,2311
29,287,2319
29,301,2319
29,302,2319
29,303,2319
29,304,2319
29,305,2319
29,306,2319
29,307,2319
29,329,2319
29,659,2823
29,809,1864
29,830,1864
29,831,1864
29,834,1864
29,872,1864
29,873,1864
29,874,1864
29,875,1864
29,876,1864
30,27,4451
30,39,4451
30,106,2311
30,283,2319
30,284,2319
30,285,2319
30,300,2319
30,301,2319
30,303,2319
30,304,2319
30,305,2319
30,306,2319
30,307,2319
30,755,4883
30,756,4883
30,808,1864
30,809,1864
30,821,1864
30,828,1864
30,831,1864
30,871,1864
30,872,1864
30,873,1864
30,874,1864
30,875,1864
30,876,1864
30,884,1864
31,38,4451
31,106,2311
31,232,4929
31,285,2319
31,288,2319
31,289,2319
31,290,2319
31,299,2319
31,300,2319
31,301,2319
31,306,2319
31,307,2319
31,308,2319
31,346,2319
31,659,2823
31,690,2823
31,691,2823
