"y","x","cluster_id"
8,277,201
8,278,201
8,279,201
8,280,201
8,281,201
8,282,201
8,284,201
8,285,201
9,271,201
9,272,201
9,273,201
9,275,201
9,276,201
9,280,201
9,281,201
9,282,201
9,283,201
9,284,201
9,285,201
9,286,201
10,269,201
10,270,201
10,271,201
10,272,201
10,273,201
10,274,201
10,284,201
10,285,201
10,301,201
11,268,201
11,269,201
11,272,201
11,299,201
11,311,201
12,267,201
12,298,201
12,299,201
12,301,201
12,303,201
13,298,201
13,299,201
13,300,201
13,301,201
13,302,201
14,297,201
14,298,201
14,303,201
14,304,201
14,305,201
14,307,201
14,308,201
14,309,201
14,310,201
14,311,201
14,312,201
14,318,201
14,319,201
14,320,201
14,321,201
15,296,201
15,297,201
15,298,201
15,299,201
15,300,201
15,301,201
15,302,201
15,303,201
15,304,201
15,305,201
15,306,201
15,307,201
15,310,201
15,311,201
15,312,201
15,316,201
15,319,201
15,321,201
15,325,201
16,296,201
16,297,201
16,298,201
16,300,201
16,301,201
16,302,201
16,303,201
16,305,201
16,307,201
16,310,201
16,315,201
16,319,201
16,324,201
16,326,201
17,270,201
17,300,201
17,301,201
17,304,201
17,306,201
17,307,201
17,308,201
17,312,201
17,317,201
17,318,201
17,319,201
17,321,201
17,323,201
17,327,201
18,275,201
18,276,201
18,279,201
18,293,201
18,294,201
18,300,201
18,301,201
18,304,201
18,307,201
18,311,201
18,314,201
18,324,201
18,327,201
18,330,201
19,284,201
19,307,201
19,313,201
19,322,201
19,325,201
19,329,201
19,331,201
20,277,201
20,278,201
20,294,201
20,310,201
20,330,201
20,331,201
20,332,201
21,329,201
21,333,201
21,334,201
22,274,201
22,284,201
22,285,201
22,289,201
22,328,201
22,329,201
22,334,201
22,335,201
23,283,201
23,335,201
23,336,201
24,279,201
24,280,201
24,337,201
25,266,201
25,327,201
25,332,201
25,334,201
25,336,201
26,267,201
26,268,201
26,273,201
26,332,201
26,337,201
27,260,201
27,272,201
27,274,201
27,330,201
27,332,201
27,333,201
27,338,201
28,233,373
28,266,201
28,267,201
28,270,201
28,276,201
28,325,201
28,334,201
29,261,201
29,264,201
29,267,201
29,338,201
30,246,373
30,248,201
30,269,201
30,328,201
30,334,201
30,340,201
31,244,373
31,246,373
31,255,201
31,257,201
31,265,201
31,268,201
31,269,201
31,337,201
31,339,201
32,268,201
32,269,201
32,274,201
32,333,201
33,251,201
33,270,201
33,296,201
33,330,201
33,334,201
34,259,201
34,263,201
34,270,201
34,340,201
35,261,201
35,274,201
35,297,201
35,332,201
36,254,201
36,260,201
36,268,201
36,270,201
36,329,201
37,228,373
37,239,373
37,256,201
37,261,201
37,270,201
37,323,201
37,328,201
37,330,201
38,254,201
38,269,201
38,271,201
38,286,201
39,268,201
39,269,201
39,279,201
40,265,201
40,268,201
40,269,201
40,270,201
40,271,201
40,272,201
41,268,201
41,269,201
41,270,201
41,271,201
41,273,201
42,262,201
42,263,201
42,264,201
42,269,201
42,270,201
42,271,201
42,273,201
42,285,201
43,260,201
43,269,201
43,271,201
43,274,201
43,275,201
43,276,201
43,287,201
44,184,373
44,267,201
44,268,201
44,274,201
44,275,201
44,276,201
46,256,201
46,265,201
46,266,201
46,274,201
46,301,201
46,324,201
46,326,201
47,178,373
47,265,201
47,266,201
47,274,201
47,279,201
48,240,373
48,250,373
48,258,201
48,266,201
48,267,201
48,268,201
48,280,201
49,266,201
49,267,201
49,269,201
49,270,201
49,275,201
50,208,373
50,242,373
50,267,201
50,280,201
51,257,201
51,265,201
52,217,373
52,218,373
52,258,201
52,259,201
52,278,201
52,279,201
53,210,373
53,213,373
53,255,373
53,271,201
54,211,373
54,219,373
54,220,373
54,221,373
54,243,373
54,255,373
54,258,201
54,260,201
54,275,201
55,176,373
55,185,373
55,198,373
55,214,373
55,243,373
55,246,373
55,249,373
55,254,373
55,255,373
55,260,201
57,207,373
58,199,373
58,207,373
58,220,373
59,207,373
59,244,373
59,246,373
59,291,201
59,292,201
59,293,201
59,294,201
60,166,373
60,249,373
60,292,201
60,294,201
60,350,201
61,165,373
61,199,373
61,242,373
61,294,201
61,296,201
61,297,201
61,350,201
62,178,373
62,199,373
62,235,373
62,293,201
62,296,201
62,297,201
62,338,201
63,291,201
63,292,201
63,295,201
63,296,201
63,297,201
63,350,450
63,367,450
64,197,373
64,199,373
64,200,373
65,181,373
65,184,373
65,200,373
65,205,373
65,236,373
65,292,201
65,352,450
66,183,373
66,184,373
66,205,373
66,216,373
66,292,201
66,353,450
67,181,373
67,237,373
67,241,373
68,205,373
68,290,201
68,293,201
71,154,373
71,155,373
73,227,373
73,228,373
73,230,373
73,238,373
74,238,373
75,197,373
76,189,373
76,190,373
76,194,373
76,209,373
76,211,373
76,212,373
76,230,373
77,191,373
77,192,373
77,212,373
77,222,373
77,229,373
78,222,373
78,226,373
78,229,373
78,233,373
83,213,373
83,294,201
84,350,450
94,319,450
95,335,450
96,319,450
96,334,450
97,318,450
98,317,450
99,318,450
100,287,450
100,288,450
100,289,450
101,292,450
102,286,450
102,321,450
102,339,450
104,215,373
104,317,450
104,342,450
105,287,450
106,224,373
106,287,450
107,316,450
108,208,373
108,291,450
109,211,373
109,212,373
111,50,521
111,301,450
112,382,450
113,49,521
113,50,521
113,51,521
113,283,450
114,206,373
114,379,450
116,345,450
116,388,450
119,283,450
119,321,450
119,325,450
119,340,450
120,326,450
120,331,450
120,345,450
121,388,450
122,314,450
122,330,450
122,331,450
122,332,450
123,331,450
123,332,450
125,324,450
125,326,450
126,40,521
126,41,521
126,42,521
126,43,521
126,303,450
126,304,450
126,323,450
126,324,450
126,325,450
126,326,450
126,352,450
126,374,450
126,376,450
127,42,521
127,43,521
127,314,450
127,325,450
127,352,450
127,354,450
128,40,521
128,113,521
128,120,521
128,283,450
128,352,450
129,35,521
129,39,521
129,41,521
129,42,521
129,43,521
129,44,521
