"y","x","cluster_id"
20,373,492
21,368,492
22,341,195
23,340,195
24,335,195
24,340,195
24,345,195
24,364,195
24,365,195
24,366,492
24,367,492
25,323,195
25,333,195
25,334,195
25,336,195
25,338,195
25,339,195
25,340,195
25,343,195
25,345,195
25,367,492
25,368,492
25,369,492
25,370,492
25,371,492
25,372,492
26,311,195
26,322,195
26,324,195
26,335,195
26,336,195
26,337,195
26,338,195
26,339,195
26,340,195
26,342,195
26,345,195
26,351,195
26,367,492
26,368,492
26,369,492
26,370,492
26,371,492
26,373,492
27,308,195
27,309,195
27,320,195
27,321,195
27,323,195
27,324,195
27,325,195
27,326,195
27,327,195
27,329,195
27,330,195
27,333,195
27,334,195
27,335,195
27,337,195
27,338,195
27,340,195
27,344,195
27,358,195
27,359,195
27,366,492
27,367,492
27,368,492
27,369,492
27,370,492
27,372,492
27,373,492
27,374,492
27,376,492
28,308,195
28,309,195
28,320,195
28,321,195
28,322,195
28,323,195
28,325,195
28,326,195
28,327,195
28,328,195
28,329,195
28,330,195
28,331,195
28,334,195
28,336,195
28,337,195
28,346,195
28,347,195
28,348,195
28,353,195
28,356,195
28,357,195
28,358,195
28,359,195
28,365,492
28,367,492
28,368,492
28,369,492
28,370,492
28,371,492
28,373,492
28,374,492
28,375,492
28,376,492
29,289,195
29,299,195
29,305,195
29,306,195
29,307,195
29,308,195
29,314,195
29,319,195
29,320,195
29,321,195
29,322,195
29,323,195
29,326,195
29,327,195
29,328,195
29,329,195
29,332,195
29,334,195
29,335,195
29,336,195
29,343,195
29,344,195
29,345,195
29,346,195
29,347,195
29,354,195
29,355,195
29,357,195
29,367,492
29,368,492
29,369,492
29,371,492
29,372,492
29,373,492
29,375,492
29,379,492
29,381,492
30,288,195
30,289,195
30,298,195
30,299,195
30,302,195
30,304,195
30,305,195
30,306,195
30,316,195
30,320,195
30,321,195
30,322,195
30,323,195
30,329,195
30,330,195
30,335,195
30,338,195
30,342,195
30,344,195
30,348,195
30,349,195
30,361,195
30,362,195
30,365,492
30,367,492
30,368,492
30,369,492
30,370,492
30,371,492
30,372,492
30,381,492
30,382,492
30,383,492
30,387,492
31,287,195
31,288,195
31,294,195
31,298,195
31,300,195
31,304,195
31,305,195
31,316,195
31,317,195
31,318,195
31,320,195
31,321,195
31,325,195
31,326,195
31,327,195
31,328,195
31,331,195
