"y","x","cluster_id"
19,455,107
20,451,107
20,457,107
20,459,107
20,460,107
21,451,107
21,452,107
21,455,107
21,457,107
21,458,107
21,459,107
21,460,107
21,464,107
21,465,107
21,466,107
22,448,107
22,450,107
22,451,107
22,452,107
22,455,107
22,456,107
22,457,107
22,458,107
22,459,107
22,460,107
22,466,107
22,467,107
23,447,107
23,448,107
23,450,107
23,451,107
23,452,107
23,453,107
23,454,107
23,455,107
23,456,107
23,457,107
23,458,107
23,459,107
23,461,107
23,462,107
23,463,107
23,466,107
24,446,107
24,447,107
24,448,107
24,449,107
24,450,107
24,451,107
24,452,107
24,458,107
24,459,107
24,460,107
24,461,107
24,462,107
24,463,107
24,464,107
24,466,107
24,467,107
24,468,107
25,445,107
25,446,107
25,447,107
25,449,107
25,450,107
25,451,107
25,453,107
25,454,107
25,456,107
26,446,107
26,449,107
26,450,107
28,445,107
28,449,107
29,445,107
30,442,107
30,445,107
30,446,107
30,449,107
31,443,107
31,446,107
32,442,107
32,444,107
32,445,107
32,446,107
33,442,107
33,443,107
33,445,107
33,446,107
33,447,107
34,442,107
34,445,107
34,446,107
35,444,107
35,446,107
36,442,107
36,443,107
36,444,107
37,443,107
37,444,107
41,475,107
41,497,107
43,473,107
48,526,107
50,499,107
50,529,107
51,448,107
55,521,107
56,525,107
57,524,107
57,525,107
58,486,107
58,503,107
58,526,107
62,471,107
64,528,542
65,487,107
67,480,107
67,482,107
67,487,107
67,488,107
68,482,107
68,487,107
68,488,107
71,428,107
71,444,107
72,538,542
73,427,107
77,441,107
78,428,107
78,436,107
78,535,542
78,544,542
79,436,107
79,437,107
80,430,107
80,435,107
80,436,107
80,437,107
81,433,107
81,434,107
81,436,107
82,432,107
82,434,107
82,435,107
82,442,107
83,435,107
83,441,107
83,442,107
83,534,542
83,535,542
84,425,107
84,469,107
84,545,542
85,434,107
85,440,107
86,430,107
86,473,107
87,424,107
87,430,107
87,437,107
88,429,107
88,432,107
89,430,107
89,433,107
90,425,107
90,428,107
90,429,107
90,430,107
90,431,107
90,432,107
90,433,107
90,434,107
90,435,107
91,424,107
91,428,107
91,429,107
91,430,107
91,431,107
91,434,107
91,435,107
91,436,107
91,470,107
92,427,107
92,431,107
92,432,107
92,434,107
92,435,107
92,436,107
92,437,107
92,438,107
92,439,107
93,428,107
93,429,107
93,436,107
93,437,107
93,438,107
93,439,107
93,440,107
93,441,107
94,437,107
94,440,107
94,545,542
94,547,542
95,428,107
95,439,107
95,440,107
95,546,542
96,428,107
96,438,107
96,546,542
96,547,542
97,439,107
97,545,542
98,437,107
98,438,107
98,439,107
98,506,542
98,509,542
99,437,710
99,442,107
99,475,542
99,476,542
99,507,542
100,431,710
100,476,542
100,503,542
100,505,542
101,429,710
101,431,710
101,432,710
101,433,710
101,442,710
101,504,542
102,431,710
102,443,710
102,450,710
102,451,710
102,504,542
102,540,542
103,429,710
103,431,710
103,441,710
103,505,542
103,542,542
104,437,710
105,431,710
105,434,710
105,437,710
105,496,542
106,258,1090
106,437,710
106,438,710
106,439,710
106,454,710
106,455,710
106,478,542
106,503,542
106,504,542
106,524,542
107,440,710
107,453,710
107,488,542
107,503,542
107,504,542
108,458,710
108,503,542
109,488,542
110,482,542
110,483,542
110,492,542
110,501,542
111,501,542
112,490,542
113,257,1090
113,481,542
113,490,542
114,255,1090
114,256,1090
114,489,542
114,490,542
114,502,542
115,504,542
115,505,542
115,554,542
116,238,1090
116,256,1090
116,465,710
116,503,542
116,504,542
116,552,542
116,554,542
117,485,542
117,496,542
117,503,542
117,553,542
118,485,542
118,486,542
118,502,542
118,513,542
119,237,1090
119,238,1090
119,506,542
119,510,542
120,509,542
120,525,542
121,508,542
121,516,542
121,526,542
122,472,542
123,266,1090
123,405,710
123,464,710
124,462,710
125,136,1029
125,239,1090
125,406,710
125,407,710
125,459,710
125,482,542
125,483,542
125,484,542
125,485,542
125,486,542
125,487,542
126,137,1029
126,407,710
126,408,710
126,461,710
126,473,542
126,476,542
126,477,542
126,478,542
126,480,542
126,482,542
126,483,542
126,484,542
126,486,542
126,487,542
127,146,1029
127,441,710
127,472,542
127,473,542
127,474,542
127,475,542
127,476,542
127,477,542
127,478,542
128,125,1029
128,144,1029
128,408,710
128,460,710
128,472,542
128,473,542
128,475,542
128,476,542
128,477,542
128,483,542
128,485,542
128,515,542
129,129,1029
129,139,1029
129,143,1029
129,144,1029
129,146,1029
129,147,1029
129,457,710
129,459,710
129,482,542
129,484,542
129,485,542
129,512,542
129,513,542
129,514,542
129,515,542
129,516,542
130,131,1029
130,132,1029
130,141,1029
130,145,1029
130,146,1029
130,147,1029
130,148,1029
130,149,1029
130,483,542
130,509,542
130,520,542
130,521,542
130,522,542
131,137,1029
131,145,1029
131,146,1029
131,147,1029
131,148,1029
131,149,1029
131,150,1029
131,407,710
131,408,710
131,450,710
131,457,710
131,482,542
131,483,542
131,521,542
132,136,1029
132,144,1029
132,145,1029
132,146,1029
132,147,1029
132,148,1029
132,149,1029
132,150,1029
132,245,1090
132,450,710
132,452,710
132,465,710
133,140,1029
133,141,1029
133,147,1029
133,148,1029
133,149,1029
133,150,1029
133,406,710
133,450,710
133,454,710
133,460,710
133,465,710
133,481,542
133,517,542
133,522,542
133,523,542
134,116,1029
134,134,1029
134,140,1029
134,143,1029
134,147,1029
134,148,1029
134,149,1029
134,150,1029
134,409,710
134,452,710
134,453,710
134,454,710
134,483,542
134,517,542
134,522,542
135,124,1029
135,126,1029
135,136,1029
135,147,1029
135,148,1029
135,149,1029
135,150,1029
135,151,1029
135,152,1029
135,245,1090
135,442,710
135,451,710
135,452,710
135,453,710
135,454,710
135,455,710
135,480,542
135,515,542
136,145,1029
136,146,1029
136,147,1029
