"y","x","cluster_id"
27,148,34
38,154,34
42,142,34
43,272,59
45,157,34
48,142,34
51,153,34
51,155,34
51,160,34
54,151,34
55,142,34
55,153,34
55,157,34
57,153,34
57,161,34
57,253,34
59,151,34
59,155,34
60,151,34
60,152,34
61,157,34
61,161,34
62,163,34
62,168,34
63,152,34
63,248,34
63,249,34
66,155,34
66,156,34
67,170,34
68,154,34
68,233,34
70,153,34
70,175,34
71,153,34
71,158,34
71,166,34
72,153,34
73,156,34
74,156,34
75,153,34
80,169,34
83,176,34
85,222,34
86,343,59
89,221,34
90,219,34
91,229,34
92,221,34
93,219,34
93,220,34
93,221,34
94,219,34
102,266,59
114,346,59
116,331,59
116,335,59
117,340,59
125,319,59
125,322,59
126,315,59
127,319,59
129,330,59
131,319,59
131,320,59
131,321,59
131,323,59
131,324,59
131,325,59
131,326,59
132,318,59
132,320,59
132,321,59
132,325,59
133,317,59
133,318,59
133,319,59
135,308,59
135,313,59
135,315,59
136,311,59
157,150,218
158,143,218
158,144,218
158,152,218
159,151,218
160,143,218
160,147,218
161,146,218
161,151,218
162,145,218
163,143,218
163,151,218
165,140,218
165,145,218
166,135,218
166,140,218
166,146,218
166,151,218
166,153,218
167,137,218
167,179,218
168,132,218
168,147,218
168,191,219
169,146,218
169,189,219
169,190,219
170,134,218
170,135,218
170,170,218
170,181,219
170,182,219
170,187,219
170,188,219
170,189,219
170,190,219
170,195,219
171,142,218
171,157,218
171,189,219
171,190,219
171,191,219
171,194,219
171,222,219
172,135,218
172,139,218
172,155,218
172,187,219
172,188,219
172,189,219
172,190,219
172,191,219
172,193,219
172,221,219
172,222,219
173,139,218
173,140,218
173,145,218
173,185,219
173,186,219
173,187,219
173,188,219
173,189,219
173,190,219
174,135,218
174,139,218
174,157,218
174,187,219
174,188,219
174,189,219
174,190,219
174,193,219
174,194,219
174,257,219
175,133,218
175,135,218
175,147,218
175,151,218
175,153,218
175,155,218
175,186,219
175,187,219
175,188,219
175,189,219
175,190,219
175,247,219
175,258,219
176,154,218
176,187,219
176,188,219
176,189,219
176,220,219
176,247,219
176,259,219
177,135,218
177,140,218
177,142,218
177,150,218
177,151,218
177,188,219
177,189,219
178,134,218
178,140,218
178,151,218
178,152,218
178,159,218
178,186,219
178,187,219
178,188,219
178,191,219
178,192,219
178,217,219
179,151,218
179,187,219
179,189,219
179,191,219
180,142,218
180,151,218
180,160,218
180,188,219
180,189,219
180,261,219
181,144,218
181,160,218
181,186,219
181,187,219
181,261,219
182,159,218
182,186,219
182,261,219
183,194,219
183,195,219
183,201,219
184,135,218
185,138,218
185,145,218
185,153,218
185,207,219
186,136,218
186,145,218
186,215,219
187,136,218
187,146,218
187,196,219
187,202,219
187,203,219
188,146,218
188,149,218
188,162,218
188,185,219
188,202,219
189,163,218
189,203,219
190,139,218
190,152,218
190,160,218
190,204,219
190,210,219
191,206,219
191,207,219
192,142,218
193,142,218
193,148,218
196,155,218
197,194,219
198,146,218
200,149,218
200,244,219
200,247,219
200,248,219
200,249,219
201,150,218
201,165,218
201,244,219
202,149,218
202,150,218
202,165,218
203,149,218
203,150,218
203,151,218
203,152,218
203,154,218
203,156,218
203,157,218
203,158,218
203,199,219
204,149,218
204,150,218
204,151,218
204,152,218
204,162,218
204,197,219
205,150,218
206,150,218
206,155,218
206,244,219
207,151,218
207,152,218
207,153,218
207,244,219
208,151,218
208,152,218
209,152,218
209,153,218
209,155,218
209,156,218
209,241,219
210,153,218
210,155,218
210,156,218
215,242,219
216,105,218
219,105,218
220,102,361
221,100,361
221,101,361
221,102,361
222,100,361
222,103,361
226,227,219
227,227,219
228,226,219
228,228,219
229,228,219
230,227,219
230,228,219
231,123,218
231,226,219
231,227,219
231,228,219
232,90,361
232,91,361
232,93,361
232,98,361
233,90,361
233,91,361
233,92,361
233,227,219
234,91,361
234,92,361
234,229,219
236,91,361
239,83,361
239,84,361
240,84,361
240,249,219
241,84,361
242,82,361
242,96,361
243,80,361
244,79,361
244,80,361
244,92,361
244,246,219
245,76,361
247,90,361
248,110,361
249,102,361
249,103,361
249,105,361
253,99,361
253,101,361
253,102,361
254,97,361
258,66,361
263,60,361
265,61,361
266,62,361
266,63,361
267,63,361
271,72,361
272,61,361
272,68,361
273,68,361
273,71,361
273,75,361
274,72,361
274,73,361
274,74,361
274,79,361
275,67,361
275,75,361
275,77,361
275,78,361
275,81,361
275,82,361
276,79,361
276,81,361
278,59,361
278,78,361
279,73,361
280,83,361
281,71,361
282,52,361
282,53,361
284,51,361
285,78,361
286,79,361
286,80,361
287,70,361
290,89,361
291,70,361
291,89,361
292,53,361
294,79,361
298,84,361
299,52,361
300,71,361
301,63,361
