"y","x","cluster_id"
9,219,125
10,208,125
10,220,125
10,221,125
10,222,125
11,222,125
13,203,125
13,208,125
13,210,125
13,211,125
14,206,125
14,211,125
15,183,125
15,213,125
15,219,125
16,178,125
16,179,125
16,183,125
16,194,125
16,195,125
16,220,125
17,180,125
17,181,125
17,198,125
17,204,125
18,176,125
18,178,125
18,179,125
18,180,125
18,181,125
18,196,125
18,201,125
18,210,125
18,211,125
20,182,125
20,210,125
21,199,125
21,211,125
21,237,125
22,198,125
22,210,125
22,212,125
23,204,125
23,205,125
24,149,245
24,150,245
24,152,245
24,160,125
24,161,125
25,161,125
25,209,125
25,237,125
27,152,245
27,164,125
27,208,125
27,212,125
28,151,245
28,173,125
28,197,125
28,207,125
29,159,245
29,163,125
29,164,125
30,164,125
30,165,125
30,197,125
30,217,125
30,218,125
30,219,125
31,164,125
31,220,125
32,151,245
32,152,245
32,163,245
32,165,125
32,219,125
33,164,245
33,190,125
33,199,125
33,221,125
33,229,125
34,149,245
35,216,125
35,218,125
35,219,125
35,233,125
36,147,245
36,202,125
36,214,125
36,218,125
36,219,125
36,226,125
36,234,125
37,215,125
37,226,125
38,211,125
38,226,125
38,228,125
39,125,245
39,127,245
39,188,125
39,202,125
39,215,125
39,217,125
40,131,245
40,444,210
41,122,245
41,127,245
41,128,245
41,221,125
41,446,210
41,447,210
42,124,245
42,125,245
42,126,245
42,130,245
42,444,210
42,445,210
42,446,210
42,447,210
42,448,210
42,449,210
43,124,245
43,196,125
43,214,125
43,445,210
43,446,210
43,447,210
43,448,210
43,449,210
44,444,210
44,445,210
44,446,210
44,447,210
44,448,210
44,449,210
44,450,210
45,135,245
45,158,245
45,231,125
45,448,210
45,449,210
45,450,210
46,135,245
46,225,125
47,126,245
47,135,245
47,225,125
47,226,125
48,136,245
48,226,125
48,227,125
49,136,245
50,134,245
50,202,125
50,230,125
51,230,125
52,166,245
52,230,125
52,237,125
53,124,245
53,136,245
54,133,245
54,165,245
54,233,125
55,133,245
55,234,125
55,235,125
55,236,125
55,238,125
55,239,125
55,241,125
56,133,245
56,169,245
56,238,125
56,239,125
56,240,125
57,132,245
57,222,125
57,234,125
57,237,125
57,238,125
57,241,125
57,243,125
58,191,125
58,223,125
58,230,125
58,238,125
58,240,125
58,241,125
58,242,125
59,191,125
59,200,125
59,238,125
59,466,210
60,134,245
60,147,245
60,243,125
60,466,210
61,242,125
61,243,125
61,463,210
61,464,210
61,465,210
61,466,210
62,200,125
62,241,125
62,242,125
62,245,125
62,463,210
62,466,210
63,139,245
63,162,245
63,164,245
63,226,125
63,241,125
63,242,125
64,190,125
64,233,125
64,234,125
64,241,125
65,230,125
65,234,125
65,241,125
66,130,245
66,145,245
66,218,125
66,235,125
66,237,125
66,240,125
67,124,245
67,217,125
68,189,125
69,242,125
70,132,245
70,214,125
71,165,245
72,164,245
72,193,125
73,452,210
74,452,210
75,141,245
78,473,210
80,197,125
81,147,245
81,192,125
81,485,210
81,486,210
82,179,245
82,486,210
83,122,245
83,179,245
83,195,125
86,85,245
86,139,245
86,459,210
86,460,210
87,195,125
87,459,210
87,460,210
88,125,245
88,147,245
88,227,125
89,141,245
89,213,125
91,194,245
91,197,125
91,235,125
92,142,245
92,189,245
92,200,125
92,235,125
93,212,125
94,106,245
94,138,245
94,493,210
95,107,245
95,121,245
95,214,125
96,189,245
96,190,245
96,194,245
96,221,125
96,226,125
97,232,125
98,98,245
99,102,245
99,105,245
100,105,245
100,115,245
101,105,245
101,106,245
101,116,245
101,179,245
102,104,245
102,106,245
102,115,245
102,134,245
102,135,245
102,179,245
103,171,245
103,172,245
103,179,245
103,191,245
103,245,483
104,493,210
105,173,245
105,192,245
106,119,245
106,120,245
106,167,245
106,181,245
107,118,245
107,494,210
108,170,245
108,179,245
108,494,210
109,157,245
109,176,245
110,121,245
110,122,245
110,162,245
110,179,245
110,181,245
111,176,245
111,178,245
112,120,245
112,168,245
113,121,245
113,186,245
113,187,245
114,137,245
114,186,245
114,497,210
115,250,483
115,271,483
116,128,245
116,257,483
117,130,245
117,268,483
117,517,210
118,137,245
118,256,483
118,257,483
119,516,210
120,516,730
121,254,483
121,260,483
122,130,245
122,132,245
122,133,245
122,147,245
123,114,245
123,274,483
123,278,483
123,280,483
124,116,245
124,133,245
124,275,483
124,276,483
124,280,483
125,276,483
126,278,483
126,525,730
126,527,730
126,534,730
126,535,730
127,227,483
127,529,730
128,229,483
128,286,483
128,531,730
129,291,483
129,298,483
130,176,245
130,200,483
130,292,483
132,508,730
134,165,245
137,532,730
137,533,730
138,131,609
138,532,730
138,533,730
138,534,730
138,535,730
138,536,730
138,537,730
139,99,609
139,170,245
139,183,483
139,188,483
139,520,730
139,536,730
139,537,730
140,269,483
140,427,210
140,533,730
140,534,730
140,535,730
140,536,730
141,110,609
141,488,730
141,535,730
142,166,245
142,268,483
143,166,245
143,167,245
143,198,483
143,207,483
143,214,483
143,215,483
143,219,483
145,183,483
145,191,483
146,183,483
146,206,483
146,209,483
146,219,483
146,220,483
147,120,609
147,171,483
148,115,609
148,121,609
149,121,609
149,122,609
149,174,483
149,209,483
150,121,609
150,122,609
150,553,730
150,554,730
151,88,609
151,89,609
151,104,609
151,237,483
151,238,483
151,413,210
151,414,210
152,90,609
152,105,609
152,113,609
152,237,483
152,238,483
152,239,483
152,240,483
152,241,483
152,246,483
153,113,609
153,124,609
153,135,609
153,237,483
153,238,483
153,239,483
153,240,483
153,242,483
154,112,609
154,121,609
154,169,483
154,175,483
154,239,483
155,88,609
155,126,609
155,213,483
156,238,483
156,239,483
156,243,483
156,245,483
157,122,609
157,192,483
157,237,483
157,238,483
157,239,483
157,240,483
157,241,483
158,103,609
158,105,609
158,119,609
158,121,609
158,124,609
158,166,884
158,193,483
158,236,483
158,237,483
158,238,483
158,239,483
158,240,483
158,241,483
158,242,483
159,106,609
159,173,884
159,236,483
159,237,483
159,238,483
159,239,483
159,240,483
159,241,483
159,242,483
160,172,884
160,173,884
160,190,483
160,211,483
160,236,483
160,237,483
160,238,483
160,239,483
160,572,730
161,102,609
161,172,884
161,173,884
161,182,483
161,210,483
161,211,483
161,570,730
161,571,730
161,572,730
162,108,609
162,173,884
162,211,483
162,212,483
162,229,483
162,569,730
162,570,730
162,571,730
163,121,609
163,185,483
163,209,483
163,210,483
163,570,730
164,67,609
164,209,483
164,245,483
165,81,609
165,208,483
165,244,483
165,245,483
165,246,483
165,247,483
165,248,483
165,573,730
166,165,884
166,187,483
166,244,483
166,245,483
166,246,483
166,247,483
166,248,483
166,249,483
166,575,730
167,182,884
167,183,884
167,244,483
167,245,483
167,246,483
167,247,483
167,248,483
168,107,609
168,116,609
168,123,609
168,182,884
168,244,483
168,245,483
168,247,483
168,250,483
169,81,609
169,85,609
169,177,884
169,191,483
169,244,483
169,245,483
170,148,609
170,164,884
170,185,884
170,199,483
170,245,483
170,345,483
171,59,609
171,245,483
171,246,483
171,247,483
171,248,483
172,86,609
172,171,884
172,182,884
172,246,483
172,247,483
172,248,483
172,249,483
173,86,609
173,87,609
173,88,609
173,114,609
173,247,483
173,248,483
173,249,483
173,250,483
173,251,483
174,89,609
174,102,609
174,104,609
174,114,609
174,202,483
174,248,483
174,249,483
174,250,483
175,87,609
175,88,609
175,93,609
175,101,609
175,102,609
175,126,609
175,128,609
175,160,884
175,199,483
175,200,483
175,250,483
176,86,609
176,91,609
176,160,884
177,71,609
177,91,609
177,94,609
177,99,609
178,68,609
178,74,609
178,78,609
178,86,609
178,91,609
178,92,609
178,93,609
178,96,609
178,99,609
178,102,609
178,104,609
178,135,609
178,199,884
179,78,609
179,79,609
179,81,609
179,82,609
179,87,609
179,90,609
179,91,609
179,98,609
179,99,609
179,149,609
179,170,884
179,529,730
180,79,609
180,91,609
180,93,609
180,97,609
180,103,609
181,95,609
181,96,609
181,98,609
181,106,609
181,108,609
181,124,609
181,125,609
181,129,609
181,170,884
182,87,609
182,89,609
182,106,609
182,125,609
182,129,609
182,169,884
182,170,884
182,208,483
183,81,609
183,87,609
183,124,609
183,170,884
183,208,884
183,209,483
183,210,483
184,88,609
184,107,609
184,208,884
184,209,884
184,210,483
184,286,483
184,507,730
185,157,884
185,208,884
185,210,884
186,83,609
186,90,609
186,101,609
186,102,609
186,171,884
186,202,884
187,85,609
187,90,609
187,101,609
187,201,884
188,107,609
189,100,609
189,120,609
189,130,609
189,202,884
189,209,884
190,202,884
191,200,884
191,207,884
192,112,609
192,200,884
192,203,884
192,272,483
193,202,884
193,298,483
193,591,730
194,203,884
194,207,884
194,272,483
195,75,609
195,207,884
195,208,884
196,75,609
196,136,609
196,203,884
196,204,884
196,205,884
196,208,884
197,202,884
197,203,884
197,204,884
197,205,884
197,530,730
198,76,609
198,129,609
198,165,884
198,203,884
198,204,884
198,209,884
199,75,609
199,166,884
199,167,884
199,175,884
199,204,884
199,205,884
199,208,884
199,540,730
199,541,730
199,542,730
200,157,884
200,169,884
200,208,884
200,540,730
200,541,730
200,542,730
201,79,609
201,171,884
201,197,884
201,202,884
201,203,884
201,529,730
201,530,730
201,540,730
202,79,609
202,160,884
202,167,884
202,196,884
202,208,884
202,529,730
202,530,730
203,80,609
203,128,609
204,81,609
204,177,884
204,197,884
204,203,884
205,182,884
205,183,884
205,186,884
205,190,884
205,543,730
206,162,884
206,189,884
206,192,884
206,212,884
206,529,730
206,543,730
207,186,884
207,187,884
207,189,884
207,190,884
207,192,884
207,193,884
207,542,730
207,543,730
208,182,884
208,191,884
208,192,884
208,193,884
208,194,884
208,201,884
208,211,884
208,212,884
208,383,730
208,542,730
208,543,730
209,180,884
209,181,884
209,182,884
209,183,884
209,192,884
209,193,884
209,194,884
209,195,884
209,196,884
209,199,884
209,200,884
209,211,884
209,215,884
209,382,730
209,542,730
209,543,730
209,544,730
210,127,609
210,174,884
210,180,884
210,183,884
210,194,884
210,195,884
210,196,884
210,213,884
210,214,884
210,531,730
210,542,730
210,543,730
210,544,730
211,91,609
211,93,609
211,173,884
211,181,884
211,541,730
211,542,730
211,543,730
211,544,730
212,87,609
212,92,609
212,533,730
212,534,730
212,535,730
212,536,730
212,542,730
212,543,730
212,544,730
213,89,609
213,95,609
213,534,730
213,535,730
213,536,730
213,537,730
