"y","x","cluster_id"
8,216,314
8,223,314
8,228,314
8,229,314
8,233,314
8,234,314
8,235,314
8,236,314
8,237,314
8,238,314
8,242,314
9,215,314
9,232,314
9,235,314
9,236,314
9,237,314
9,238,314
9,239,314
9,240,314
9,241,314
9,243,314
9,245,314
9,246,314
9,247,314
9,249,314
10,215,314
10,218,314
10,225,314
10,227,314
10,234,314
10,235,314
10,238,314
10,239,314
10,240,314
10,241,314
10,245,314
10,246,314
10,249,314
10,250,314
11,212,314
11,217,314
11,220,314
11,221,314
11,223,314
11,234,314
11,238,314
11,240,314
11,245,314
11,246,314
12,210,314
12,212,314
12,214,314
12,217,314
12,218,314
12,219,314
12,220,314
12,223,314
12,225,314
12,231,314
12,232,314
12,233,314
12,238,314
12,239,314
12,240,314
12,242,314
12,249,314
13,209,314
13,210,314
13,212,314
13,215,314
13,216,314
13,221,314
13,222,314
13,223,314
13,225,314
13,231,314
13,232,314
13,233,314
13,238,314
13,240,314
13,244,314
13,249,314
14,208,314
14,209,314
14,214,314
14,216,314
14,219,314
14,223,314
14,227,314
14,230,314
14,232,314
14,235,314
14,236,314
14,240,314
14,241,314
14,242,314
14,243,314
14,248,314
14,249,314
15,208,314
15,215,314
15,216,314
15,217,314
15,218,314
15,219,314
15,220,314
15,222,314
15,224,314
15,238,314
15,239,314
15,240,314
15,241,314
15,243,314
15,245,314
15,246,314
15,247,314
15,248,314
15,249,314
15,250,314
16,201,314
16,202,314
16,208,314
16,215,314
16,216,314
16,217,314
16,219,314
16,223,314
16,224,314
16,226,314
16,227,314
16,231,314
16,237,314
16,238,314
16,240,314
16,241,314
16,242,314
16,243,314
16,244,314
16,245,314
16,246,314
17,200,314
17,208,314
17,216,314
17,217,314
17,218,314
17,219,314
17,220,314
17,222,314
17,223,314
17,228,314
17,229,314
17,231,314
17,232,314
17,240,314
17,243,314
17,244,314
17,245,314
17,250,314
18,209,314
18,220,314
18,222,314
18,226,314
18,230,314
18,232,314
18,234,314
18,235,314
18,241,314
18,243,314
18,245,314
19,193,314
19,217,314
19,220,314
19,221,314
19,232,314
19,234,314
19,240,314
19,241,314
20,199,314
20,206,314
20,207,314
20,209,314
20,210,314
20,214,314
20,220,314
20,247,314
20,248,314
20,249,314
21,200,314
21,201,314
21,211,314
21,212,314
21,213,314
21,220,314
21,221,314
21,222,314
21,223,314
21,230,314
21,238,314
21,245,314
21,246,314
21,247,314
21,248,314
21,249,314
22,196,314
22,203,314
22,204,314
22,209,314
22,210,314
22,211,314
22,212,314
22,215,314
22,220,314
22,222,314
22,224,314
22,225,314
22,226,314
22,227,314
22,228,314
22,231,314
22,239,314
22,243,314
22,245,314
22,246,314
22,247,314
22,248,314
22,249,314
23,186,314
23,187,314
23,188,314
23,209,314
23,211,314
23,212,314
23,243,314
23,245,314
23,246,314
23,247,314
23,248,314
23,249,314
23,250,314
23,313,552
24,180,314
24,199,314
24,222,314
24,223,314
24,230,314
24,232,314
24,242,314
24,243,314
24,244,314
24,245,314
24,246,314
24,247,314
24,248,314
24,249,314
24,250,314
25,180,314
25,194,314
25,197,314
25,219,314
25,220,314
25,221,314
25,222,314
25,223,314
25,232,314
25,246,314
25,247,314
25,248,314
26,178,314
26,195,314
26,204,314
26,219,314
26,220,314
26,221,314
26,222,314
26,223,314
26,224,314
26,247,314
27,174,314
27,197,314
27,209,314
27,210,314
27,211,314
27,221,314
27,222,314
27,223,314
27,224,314
27,227,314
28,173,314
28,210,314
28,216,314
28,219,314
28,220,314
28,221,314
28,222,314
28,223,314
28,224,314
28,227,314
28,228,314
28,229,314
28,244,314
28,300,552
29,172,314
29,173,314
29,174,314
29,200,314
29,201,314
29,215,314
29,218,314
29,219,314
29,220,314
29,221,314
29,222,314
29,223,314
29,224,314
29,228,314
29,229,314
29,285,314
29,288,314
30,197,314
30,198,314
30,208,314
30,217,314
30,220,314
30,221,314
30,222,314
30,223,314
30,229,314
30,230,314
30,261,314
30,271,314
30,281,314
31,174,314
31,210,314
31,217,314
31,229,314
31,230,314
32,171,314
32,208,314
32,215,314
32,226,314
32,227,314
32,230,314
32,231,314
32,246,314
33,199,314
33,214,314
33,255,314
33,335,552
34,175,314
34,179,314
34,214,314
34,215,314
34,229,314
34,230,314
34,312,552
34,337,552
35,175,314
35,199,314
35,200,314
35,201,314
35,228,314
36,176,314
36,177,314
36,178,314
36,193,314
36,218,314
36,224,314
36,227,314
36,231,314
37,192,314
37,194,314
37,202,314
37,227,314
37,332,552
38,193,314
38,194,314
38,202,314
38,228,314
38,229,314
38,233,314
39,193,314
39,229,314
39,231,314
40,230,314
40,262,314
40,320,552
41,186,314
41,320,552
41,321,552
41,323,552
42,186,314
42,279,314
42,280,314
42,338,552
43,183,314
43,185,314
43,256,314
43,324,552
44,174,314
44,190,314
44,301,552
44,341,552
44,342,552
45,174,314
45,179,314
45,180,314
45,269,314
45,333,552
45,347,552
46,174,314
46,175,314
46,321,552
46,330,552
47,174,314
47,186,314
47,357,552
48,361,552
49,173,314
49,343,552
49,361,552
49,362,552
49,363,552
50,161,314
50,360,552
50,361,552
50,362,552
50,363,552
50,364,552
50,365,552
51,171,314
51,178,314
51,232,314
51,317,552
51,335,552
51,360,552
51,361,552
51,362,552
51,363,552
51,364,552
52,291,552
52,355,552
52,363,552
52,364,552
52,365,552
52,366,552
53,167,314
53,175,314
53,235,314
53,236,314
53,252,314
53,354,552
53,355,552
53,356,552
53,357,552
53,362,552
53,363,552
53,364,552
53,365,552
53,366,552
54,174,314
54,177,314
54,235,314
54,345,552
54,353,552
54,354,552
54,356,552
54,361,552
54,362,552
54,364,552
54,365,552
55,139,870
55,234,314
55,235,314
55,336,552
55,362,552
55,363,552
55,364,552
55,365,552
56,141,870
56,163,314
56,233,314
56,234,314
56,235,314
56,236,314
56,244,314
56,337,552
56,361,552
56,362,552
56,363,552
56,364,552
56,365,552
57,235,314
57,236,314
57,361,552
57,364,552
58,160,314
58,187,314
58,232,314
58,363,552
58,364,552
59,136,870
59,159,314
59,358,552
59,362,552
59,363,552
59,364,552
59,365,552
60,149,870
60,328,552
60,359,552
60,360,552
60,361,552
60,362,552
60,363,552
60,364,552
61,135,870
61,149,870
61,230,314
61,233,314
61,358,552
61,359,552
61,360,552
61,361,552
61,363,552
61,364,552
61,365,552
61,366,552
62,200,314
62,231,314
62,233,314
62,247,314
62,308,552
62,359,552
62,360,552
