"y","x","cluster_id"
16,177,679
17,140,263
18,140,263
18,141,263
18,142,263
18,143,263
18,144,263
18,177,679
19,139,263
19,140,263
19,141,263
19,142,263
19,143,263
19,144,263
19,145,263
20,76,263
20,77,263
20,78,263
20,91,263
20,118,263
20,130,263
20,139,263
20,140,263
20,141,263
20,142,263
20,143,263
20,144,263
20,145,263
21,74,263
21,75,263
21,76,263
21,77,263
21,93,263
21,139,263
21,140,263
21,141,263
21,142,263
21,143,263
21,159,263
22,74,263
22,75,263
22,76,263
22,79,263
22,160,263
23,77,263
23,106,263
23,159,263
24,71,263
24,74,263
24,76,263
25,67,263
25,71,263
26,67,263
26,70,263
26,75,263
26,116,263
26,488,780
26,489,780
27,65,263
27,69,263
27,86,263
27,98,263
27,116,263
27,120,263
27,121,263
27,122,263
27,156,263
27,177,679
27,488,780
27,489,780
28,97,263
28,98,263
28,151,263
28,488,780
28,489,780
29,70,263
29,72,263
29,87,263
29,96,263
29,97,263
29,98,263
30,95,263
30,96,263
30,97,263
30,98,263
30,99,263
31,70,263
31,95,263
31,96,263
31,97,263
31,98,263
31,99,263
31,100,263
32,51,263
32,86,263
32,96,263
32,97,263
32,98,263
32,99,263
32,100,263
32,110,263
32,112,263
32,189,679
32,190,679
33,97,263
33,98,263
33,99,263
33,109,263
33,110,263
33,143,263
33,190,679
33,191,679
34,53,263
34,54,263
34,55,263
34,97,263
34,98,263
34,99,263
34,100,263
34,110,263
34,111,263
34,188,679
34,190,679
34,191,679
35,50,263
35,96,263
35,97,263
35,98,263
35,99,263
35,100,263
35,102,263
35,106,263
35,107,263
35,108,263
35,110,263
35,144,263
35,190,679
35,191,679
36,96,263
36,97,263
36,98,263
36,99,263
36,105,263
36,106,263
37,74,263
37,82,263
37,96,263
37,97,263
37,98,263
37,106,263
37,107,263
37,111,263
37,147,263
38,69,263
38,81,263
38,95,263
38,96,263
38,97,263
38,98,263
38,107,263
38,109,263
38,145,263
38,146,263
38,372,826
39,81,263
39,92,263
39,95,263
39,96,263
39,97,263
39,107,263
39,108,263
39,109,263
39,145,263
39,374,826
39,464,780
40,95,263
40,96,263
40,97,263
40,194,679
40,464,780
41,93,263
41,96,263
41,108,263
41,109,263
42,81,263
42,87,263
42,89,263
42,93,263
42,96,263
43,59,263
43,80,263
43,88,263
43,89,263
43,90,263
43,91,263
43,95,263
43,96,263
43,106,263
43,107,263
43,463,780
43,464,780
43,465,780
43,466,780
44,61,263
44,89,263
44,90,263
44,92,263
44,94,263
44,95,263
44,96,263
44,122,263
44,462,780
44,463,780
44,464,780
44,465,780
44,466,780
45,88,263
45,90,263
45,91,263
45,92,263
45,94,263
45,95,263
45,96,263
45,106,263
45,143,263
45,465,780
46,90,263
46,91,263
46,92,263
46,93,263
46,94,263
46,95,263
46,96,263
46,106,263
46,144,263
46,191,679
47,91,263
47,92,263
47,94,263
47,95,263
47,106,263
48,91,263
48,92,263
48,93,263
48,94,263
48,95,263
48,96,263
48,148,263
49,90,263
49,91,263
49,92,263
49,95,263
49,96,263
49,97,263
49,106,263
49,140,263
49,202,679
50,91,263
50,93,263
50,95,263
50,96,263
50,97,263
50,99,263
