"y","x","cluster_id"
4,97,322
4,99,322
4,100,322
4,102,322
4,122,322
5,90,322
5,112,322
5,121,322
5,144,1105
6,100,322
6,112,322
6,113,322
6,133,322
6,156,1105
7,100,322
7,110,322
7,113,322
7,133,322
7,134,322
7,155,1105
8,111,322
8,112,322
8,146,1105
9,89,322
9,120,322
9,144,1105
10,92,322
10,151,1105
11,146,1105
11,147,1105
12,78,322
12,151,1105
12,152,1105
12,164,1105
13,151,1105
13,152,1105
14,67,322
14,69,322
14,99,322
15,66,322
15,68,322
15,105,322
15,115,322
15,116,322
15,117,322
15,146,1105
16,91,322
16,104,322
16,117,322
16,160,1105
16,163,1105
16,176,1105
16,177,1105
16,178,1105
16,179,1105
16,183,1105
16,185,1105
17,60,322
17,61,322
17,62,322
17,89,322
17,91,322
17,103,322
17,104,322
17,112,322
17,115,322
17,116,322
17,117,322
17,143,1105
17,160,1105
17,161,1105
17,175,1105
17,178,1105
17,184,1105
17,186,1105
17,187,1105
18,56,322
18,61,322
18,62,322
18,72,322
18,82,322
18,88,322
18,90,322
18,106,322
18,107,322
18,115,322
18,117,322
18,118,322
18,171,1105
18,189,1105
18,335,812
18,336,812
18,338,812
19,58,322
19,61,322
19,62,322
19,63,322
19,65,322
19,66,322
19,71,322
19,72,322
19,74,322
19,77,322
19,82,322
19,115,322
19,118,322
19,140,1105
19,144,1105
19,179,1105
19,333,812
19,338,812
19,339,812
19,340,812
19,341,812
19,343,812
20,62,322
20,77,322
20,78,322
20,79,322
20,100,322
20,140,1105
20,147,1105
20,168,1105
20,329,812
20,330,812
20,331,812
20,332,812
20,333,812
20,334,812
20,336,812
20,337,812
20,339,812
20,340,812
20,347,812
21,75,322
21,76,322
21,140,1105
21,141,1105
21,148,1105
21,160,1105
21,178,1105
21,179,1105
21,192,1105
21,330,812
21,331,812
21,332,812
21,333,812
21,334,812
21,335,812
21,336,812
21,337,812
21,341,812
21,347,812
21,351,812
21,352,812
21,353,812
22,50,322
22,55,322
22,76,322
22,78,322
22,88,322
22,140,1105
22,145,1105
22,158,1105
22,159,1105
22,178,1105
22,179,1105
22,324,812
22,326,812
22,330,812
22,331,812
22,332,812
22,333,812
22,334,812
22,335,812
22,336,812
22,337,812
22,339,812
22,340,812
22,341,812
22,342,812
22,350,812
22,352,812
22,353,812
23,49,322
23,103,322
23,128,322
23,150,1105
23,158,1105
23,162,1105
23,167,1105
23,176,1105
23,177,1105
23,193,1105
23,322,812
23,323,812
23,325,812
23,326,812
23,327,812
23,331,812
23,332,812
23,333,812
23,334,812
23,335,812
23,336,812
23,337,812
23,338,812
23,340,812
23,341,812
23,342,812
23,343,812
23,344,812
23,347,812
23,350,812
23,351,812
23,352,812
23,353,812
23,356,812
24,89,322
24,128,322
24,129,322
24,151,1105
24,158,1105
24,159,1105
24,160,1105
24,161,1105
24,163,1105
24,176,1105
24,177,1105
24,178,1105
24,180,1105
24,326,812
24,327,812
24,331,812
24,335,812
24,336,812
24,337,812
24,342,812
24,344,812
24,350,812
24,351,812
24,352,812
25,49,322
25,51,322
25,58,322
25,65,322
25,66,322
25,128,322
25,129,322
25,151,1105
25,152,1105
25,156,1105
25,157,1105
25,158,1105
25,160,1105
25,161,1105
25,168,1105
25,177,1105
25,178,1105
25,198,1105
25,321,812
25,324,812
25,326,812
25,327,812
25,328,812
