"y","x","cluster_id"
141,493,222
150,470,222
152,87,417
152,484,222
153,483,222
155,509,222
156,473,222
156,485,222
157,485,222
157,490,222
158,487,222
158,489,222
158,492,222
159,476,222
159,480,222
159,487,222
160,64,417
160,479,222
160,480,222
160,481,222
160,491,222
161,463,222
161,472,222
161,486,222
161,490,222
161,492,222
162,492,222
162,495,222
163,488,222
163,492,222
164,464,222
164,474,222
164,493,222
165,473,222
165,492,222
165,493,222
165,494,222
166,470,222
166,474,222
166,477,222
166,493,222
166,508,222
167,473,222
167,474,222
167,476,222
167,477,222
167,485,222
168,471,222
168,484,222
169,469,222
169,470,222
169,493,222
170,477,222
170,480,222
170,496,222
171,481,222
171,497,222
172,481,222
173,492,222
174,485,222
174,492,222
174,500,222
175,466,222
175,485,222
175,486,222
175,488,222
176,455,222
176,456,222
176,460,222
176,486,222
176,489,222
177,463,222
177,490,222
177,495,222
178,444,222
178,445,222
178,464,222
178,489,222
178,495,222
179,42,417
179,451,222
179,452,222
179,457,222
179,458,222
179,491,222
179,495,222
180,445,222
180,451,222
180,453,222
180,454,222
180,458,222
180,459,222
180,464,222
180,490,222
180,500,222
181,441,222
181,447,222
181,453,222
181,454,222
181,455,222
181,456,222
181,480,222
181,492,222
182,443,222
182,446,222
182,447,222
182,451,222
182,452,222
182,454,222
182,496,222
183,390,292
183,446,222
183,447,222
183,450,222
183,451,222
183,482,222
183,485,222
183,488,222
183,496,222
183,497,222
184,446,222
184,450,222
184,496,222
184,500,222
184,501,222
184,502,222
184,503,222
185,446,222
185,447,222
185,478,222
185,491,222
185,492,222
185,500,222
185,503,222
185,504,222
186,392,292
186,406,222
186,443,222
186,444,222
186,445,222
186,446,222
186,457,222
186,481,222
186,495,222
186,496,222
187,425,222
187,429,222
187,443,222
187,482,222
187,492,222
188,406,222
188,423,222
188,450,222
188,458,222
188,495,222
189,367,292
189,431,222
189,436,222
189,437,222
189,438,222
189,439,222
189,458,222
189,485,222
189,488,222
189,493,222
190,420,222
190,423,222
190,434,222
190,435,222
190,436,222
190,440,222
190,441,222
190,485,222
191,423,222
191,431,222
191,465,222
191,484,222
191,490,222
191,491,222
191,504,222
192,423,222
192,432,222
192,462,222
192,486,222
193,426,222
193,429,222
193,432,222
193,492,222
193,493,222
194,426,222
194,437,222
194,454,222
194,503,222
195,426,222
195,427,222
195,436,222
195,440,222
195,460,222
195,503,222
197,331,292
197,332,292
197,334,292
197,430,222
197,432,222
197,444,222
198,332,292
198,333,292
198,334,292
198,429,222
198,431,222
198,444,222
198,445,222
198,448,222
198,503,222
198,504,222
199,332,292
199,333,292
199,334,292
199,335,292
199,444,222
199,448,222
199,469,222
200,332,292
200,333,292
200,334,292
200,443,222
200,450,222
200,455,222
200,486,222
200,498,222
201,331,292
201,332,292
201,333,292
201,334,292
201,442,222
201,443,222
201,447,222
201,449,222
201,456,222
201,459,222
201,491,222
202,331,292
202,332,292
202,333,292
202,334,292
202,442,222
202,443,222
202,444,222
202,455,222
202,456,222
202,457,222
202,460,222
202,461,222
202,491,222
202,502,222
203,330,292
203,331,292
203,332,292
203,333,292
203,334,292
203,443,222
203,454,222
203,455,222
203,456,222
203,458,222
203,459,222
203,461,222
203,466,222
203,489,222
204,329,292
204,330,292
204,331,292
204,332,292
204,333,292
204,334,292
204,381,292
204,394,292
204,443,222
204,454,222
204,455,222
204,458,222
204,460,222
204,461,222
204,462,222
204,464,222
204,490,222
204,491,222
205,330,292
205,331,292
205,332,292
205,333,292
205,334,292
205,382,292
205,437,222
205,456,222
205,458,222
205,459,222
205,460,222
205,461,222
205,462,222
205,463,222
205,491,222
206,331,292
206,332,292
206,333,292
206,334,292
206,435,222
206,457,222
206,458,222
206,459,222
206,461,222
206,462,222
206,474,222
207,331,292
207,332,292
207,333,292
207,334,292
207,436,222
208,332,292
208,333,292
208,334,292
208,462,222
208,485,222
208,486,222
209,332,292
209,333,292
209,334,292
209,437,222
209,438,222
209,439,222
209,455,222
209,460,222
209,463,222
209,486,222
210,332,292
210,333,292
210,334,292
210,438,222
210,439,222
210,498,222
211,333,292
211,466,222
211,494,222
212,462,222
212,496,222
213,407,222
213,437,222
213,496,222
214,403,222
214,404,222
214,405,222
214,407,222
214,496,222
215,407,222
215,408,222
215,437,222
215,483,222
215,496,222
216,404,222
216,436,222
216,437,222
216,478,222
216,479,222
216,493,222
216,495,222
216,496,222
216,497,222
217,403,222
217,404,222
217,455,222
217,456,222
217,476,222
217,477,222
217,478,222
217,479,222
217,480,222
217,482,222
217,484,222
217,490,222
217,491,222
217,496,222
218,397,292
218,409,222
218,468,222
218,474,222
218,478,222
218,480,222
218,482,222
218,484,222
218,485,222
218,490,222
218,494,222
219,412,222
219,432,222
219,456,222
219,474,222
219,476,222
219,489,222
220,456,222
220,477,222
220,479,222
220,481,222
220,482,222
220,488,222
220,489,222
220,490,222
220,491,222
220,492,222
220,493,222
221,432,222
221,480,222
221,481,222
221,482,222
221,483,222
221,497,222
221,498,222
222,109,417
222,324,292
222,458,222
222,481,222
222,482,222
222,496,222
223,416,222
223,480,222
223,483,222
223,496,222
224,479,222
224,480,222
224,482,222
224,483,222
224,494,222
224,495,222
224,497,222
225,480,222
225,494,222
226,486,222
226,497,222
227,462,222
227,486,222
227,497,222
228,485,222
228,496,222
232,488,222
233,485,222
233,495,222
234,482,222
234,490,222
234,491,222
235,490,222
235,491,222
236,491,222
237,485,222
237,486,222
237,491,222
238,484,222
238,491,222
244,482,222
244,488,222
246,484,222
246,487,222
248,320,292
248,494,222
249,318,292
249,496,222
262,106,417
