"y","x","cluster_id"
44,465,67
44,466,67
45,465,67
45,466,67
45,469,67
46,463,67
46,464,67
46,466,67
46,467,67
46,468,67
47,465,67
47,466,67
47,467,67
47,468,67
47,469,67
48,465,67
48,466,67
48,467,67
48,468,67
49,465,67
49,466,67
49,467,67
49,468,67
50,465,67
50,466,67
50,467,67
50,468,67
50,471,67
50,474,67
51,466,67
51,467,67
51,468,67
51,470,67
51,471,67
51,472,67
51,473,67
51,474,67
52,467,67
52,469,67
52,470,67
52,471,67
52,472,67
53,467,67
53,468,67
53,470,67
53,471,67
53,472,67
54,467,67
54,470,67
55,467,67
55,469,67
55,470,67
55,473,67
56,467,67
56,469,67
56,470,67
56,471,67
56,472,67
56,473,67
57,470,67
57,471,67
57,472,67
58,417,67
58,467,67
58,468,67
58,472,67
59,466,67
59,467,67
59,468,67
60,463,67
60,464,67
60,465,67
60,466,67
60,467,67
61,426,67
61,462,67
61,463,67
61,464,67
61,465,67
61,466,67
62,460,67
62,461,67
62,462,67
62,463,67
62,464,67
62,465,67
63,459,67
63,460,67
63,461,67
63,462,67
63,463,67
63,464,67
63,465,67
64,462,67
64,463,67
64,464,67
65,472,67
75,398,67
80,465,67
96,546,138
97,543,138
97,545,138
98,543,138
98,551,138
103,464,67
103,471,67
103,541,138
103,547,138
104,541,138
107,400,67
109,538,138
110,535,138
111,249,193
113,550,138
113,553,138
117,522,138
117,523,138
119,528,138
120,528,138
121,529,138
122,434,67
123,533,138
124,521,138
126,466,138
128,514,138
129,516,138
130,528,138
130,536,138
131,527,138
131,528,138
131,533,138
132,525,138
132,540,138
133,532,138
134,529,138
136,512,138
136,528,138
138,525,138
139,531,138
140,525,138
150,486,138
151,514,138
152,512,138
152,513,138
164,501,138
166,497,138
169,497,138
171,475,138
171,488,138
182,477,138
188,426,193
189,487,138
193,409,193
194,474,138
195,395,193
204,289,193
204,392,193
207,304,193
207,393,193
208,306,193
208,307,193
208,308,193
208,373,193
209,302,193
209,305,193
209,306,193
209,307,193
209,308,193
209,309,193
209,310,193
209,311,193
209,371,193
209,483,138
210,305,193
210,306,193
210,307,193
210,308,193
210,309,193
210,310,193
210,311,193
210,312,193
210,313,193
211,309,193
211,310,193
211,311,193
211,312,193
211,313,193
211,314,193
214,492,138
215,390,193
221,412,193
223,337,193
223,338,193
226,357,193
226,358,193
227,358,193
227,361,193
227,364,193
227,416,193
228,364,193
228,405,193
228,417,193
229,367,193
229,408,193
230,368,193
244,423,193
254,306,193
256,93,223
261,403,193
261,408,193
271,395,193
316,193,223
355,201,223
358,175,223
358,176,223
359,175,223
359,181,223
360,174,223
360,180,223
361,181,223
363,170,223
363,171,223
363,180,223
364,170,223
364,179,223
364,180,223
364,181,223
365,179,223
365,180,223
365,181,223
366,181,223
366,182,223
366,183,223
367,180,223
367,181,223
367,182,223
367,183,223
368,181,223
368,182,223
368,183,223
369,180,223
369,182,223
370,180,223
371,179,223
371,180,223
372,177,223
373,194,223
398,189,223
