"y","x","cluster_id"
54,96,33
55,96,33
56,95,33
68,158,33
68,160,33
68,163,33
68,164,33
69,157,33
69,160,33
69,161,33
69,164,33
69,165,33
70,161,33
71,87,33
71,155,33
71,156,33
72,156,33
73,136,33
73,137,33
73,155,33
73,156,33
74,136,33
74,137,33
75,135,33
75,136,33
75,137,33
75,140,33
75,141,33
76,136,33
76,137,33
76,138,33
76,139,33
76,141,33
80,220,54
82,175,33
83,248,54
87,135,33
87,192,54
88,215,54
91,192,54
91,205,54
92,143,33
92,204,54
92,227,54
93,240,54
94,208,54
96,205,54
96,217,54
96,223,54
96,272,54
98,197,54
98,272,54
100,211,54
101,219,54
104,186,54
108,209,54
108,223,54
109,177,54
110,137,33
111,135,33
111,136,33
111,138,33
112,136,33
113,224,54
114,234,54
117,234,54
118,72,100
118,183,54
118,235,54
119,75,100
120,75,100
120,153,33
120,154,33
125,74,100
126,73,100
127,74,100
128,74,100
129,73,100
129,85,100
130,86,100
131,81,100
131,85,100
131,86,100
131,87,100
131,202,54
132,83,100
132,84,100
133,213,54
133,239,54
135,158,100
140,231,54
144,277,175
144,278,175
145,245,175
145,276,175
146,277,175
148,276,175
152,106,100
157,111,100
158,111,100
159,123,100
160,120,100
160,121,100
160,122,100
160,124,100
161,119,100
161,120,100
161,121,100
161,122,100
161,123,100
161,124,100
161,125,100
162,119,100
162,120,100
162,121,100
162,122,100
162,123,100
162,124,100
162,125,100
163,119,100
163,120,100
163,122,100
163,123,100
163,124,100
163,125,100
163,249,175
163,251,175
164,118,100
164,123,100
164,124,100
164,125,100
164,254,175
165,117,100
165,119,100
165,123,100
165,124,100
165,125,100
166,124,100
167,120,100
167,233,175
167,239,175
168,117,100
168,122,100
168,123,100
168,124,100
168,232,175
168,234,175
168,235,175
168,237,175
169,117,100
169,118,100
169,120,100
169,121,100
169,122,100
169,232,175
169,233,175
169,234,175
169,235,175
170,118,100
170,119,100
170,120,100
170,230,175
170,231,175
171,119,100
172,226,175
172,317,175
173,269,175
174,269,175
175,136,100
175,248,175
175,270,175
176,270,175
176,271,175
176,272,175
177,267,175
177,268,175
177,270,175
177,271,175
177,272,175
177,275,175
178,249,175
178,267,175
178,268,175
178,269,175
179,268,175
179,270,175
179,273,175
180,271,175
180,272,175
180,273,175
181,268,175
181,270,175
181,271,175
181,272,175
181,273,175
181,277,175
182,269,175
182,271,175
182,272,175
182,273,175
182,274,175
182,304,175
182,307,175
182,308,175
183,271,175
183,272,175
183,273,175
183,274,175
183,276,175
184,270,175
184,271,175
184,276,175
186,146,100
186,219,255
187,146,100
187,147,100
187,220,255
188,145,100
188,146,100
189,145,100
192,273,175
193,190,255
193,273,175
193,274,175
195,186,255
196,186,255
197,174,255
197,176,255
197,211,255
198,211,255
198,212,255
198,241,175
199,190,255
199,210,255
200,171,255
200,189,255
200,190,255
200,191,255
200,211,255
201,189,255
201,190,255
201,191,255
201,200,255
202,189,255
202,190,255
202,191,255
203,189,255
203,190,255
203,191,255
203,192,255
204,188,255
207,184,255
210,181,255
211,204,255
215,205,255
224,203,255
226,237,255
231,242,255
236,226,255
236,230,255
237,226,255
237,227,255
238,225,255
238,226,255
238,227,255
239,228,255
239,229,255
240,213,255
240,230,255
242,230,255
243,218,255
244,217,255
244,218,255
244,220,255
244,222,255
244,223,255
245,220,255
250,225,255
251,225,255
265,143,255
