"y","x","cluster_id"
16,333,315
18,322,315
19,322,315
20,340,315
21,323,315
21,335,315
23,337,315
23,338,315
23,339,315
23,342,315
24,336,315
24,343,315
25,340,315
29,336,315
29,339,315
30,333,315
30,336,315
32,296,315
32,297,315
32,298,315
33,296,315
33,297,315
33,298,315
34,290,315
34,291,315
34,296,315
34,297,315
34,298,315
35,286,315
35,287,315
35,288,315
35,289,315
35,290,315
35,291,315
35,297,315
35,298,315
36,285,315
36,286,315
36,287,315
36,289,315
36,290,315
36,291,315
36,296,315
36,297,315
37,283,315
37,284,315
37,285,315
37,286,315
37,287,315
37,288,315
37,291,315
37,292,315
37,296,315
37,297,315
38,281,315
38,282,315
38,283,315
38,284,315
38,285,315
38,286,315
38,287,315
38,288,315
38,289,315
38,292,315
38,296,315
38,297,315
39,279,315
39,280,315
39,281,315
39,282,315
39,283,315
39,284,315
39,285,315
39,286,315
39,287,315
39,288,315
39,289,315
39,290,315
39,291,315
39,296,315
39,297,315
40,277,315
40,278,315
40,279,315
40,280,315
40,281,315
40,282,315
40,283,315
40,284,315
40,285,315
40,286,315
40,287,315
40,288,315
40,289,315
40,290,315
40,291,315
41,276,315
41,277,315
41,278,315
41,279,315
41,280,315
41,281,315
41,282,315
41,283,315
41,284,315
41,286,315
41,287,315
41,289,315
41,290,315
41,291,315
41,299,315
42,275,315
42,276,315
42,277,315
42,278,315
42,279,315
42,280,315
42,281,315
42,282,315
42,283,315
42,284,315
42,285,315
42,286,315
42,287,315
42,288,315
42,289,315
42,290,315
42,291,315
43,141,736
43,274,315
43,275,315
43,276,315
43,277,315
43,278,315
43,279,315
43,280,315
43,281,315
43,282,315
43,283,315
43,284,315
43,285,315
43,286,315
43,287,315
43,288,315
43,289,315
44,273,315
44,274,315
44,275,315
44,276,315
44,277,315
44,278,315
44,279,315
44,280,315
44,281,315
44,282,315
44,283,315
44,284,315
44,285,315
44,286,315
44,287,315
44,288,315
45,274,315
45,275,315
45,276,315
45,277,315
45,278,315
45,279,315
45,280,315
45,281,315
45,282,315
45,283,315
45,284,315
45,285,315
45,286,315
45,287,315
45,288,315
45,292,315
46,274,315
46,275,315
46,276,315
46,277,315
46,278,315
46,279,315
46,280,315
46,281,315
46,282,315
46,283,315
46,284,315
46,285,315
46,286,315
46,287,315
46,288,315
46,292,315
47,274,315
47,275,315
47,276,315
47,277,315
47,278,315
47,279,315
47,280,315
47,281,315
47,282,315
47,283,315
47,284,315
47,285,315
47,286,315
47,287,315
47,288,315
48,275,315
48,276,315
48,277,315
48,278,315
48,279,315
48,280,315
48,281,315
48,282,315
48,283,315
48,284,315
48,285,315
48,286,315
48,287,315
48,288,315
48,293,315
48,298,315
48,299,315
49,275,315
49,276,315
49,277,315
49,278,315
49,279,315
49,280,315
49,281,315
49,282,315
49,285,315
49,286,315
49,287,315
49,288,315
49,292,315
49,298,315
49,299,315
50,275,315
50,276,315
50,277,315
50,278,315
50,279,315
50,280,315
50,281,315
50,282,315
50,285,315
50,286,315
50,287,315
50,293,315
50,298,315
50,299,315
51,123,736
51,211,548
51,212,548
51,213,548
51,276,315
51,277,315
51,278,315
51,279,315
51,280,315
51,281,315
51,282,315
51,283,315
51,284,315
51,285,315
51,286,315
51,288,315
51,289,315
51,298,315
51,299,315
52,122,736
52,210,548
52,211,548
52,212,548
52,213,548
52,215,548
52,276,315
52,277,315
52,278,315
52,279,315
52,280,315
52,281,315
52,282,315
52,283,315
52,284,315
52,285,315
52,286,315
52,287,315
52,288,315
52,293,315
52,294,315
52,297,315
52,298,315
52,299,315
52,300,315
53,122,736
53,125,736
53,210,548
53,211,548
53,212,548
53,214,548
53,276,315
53,277,315
53,278,315
53,279,315
53,280,315
53,282,315
53,283,315
53,284,315
53,285,315
53,286,315
53,287,315
53,288,315
53,293,315
53,295,315
53,297,315
53,298,315
53,299,315
53,300,315
54,123,736
54,124,736
54,125,736
54,126,736
54,277,315
54,278,315
54,279,315
54,280,315
54,281,315
54,283,315
54,284,315
54,285,315
54,286,315
54,287,315
54,288,315
54,289,315
54,293,315
54,297,315
54,298,315
54,299,315
55,125,736
55,126,736
55,127,736
55,138,736
55,277,315
55,278,315
55,279,315
55,280,315
55,281,315
55,283,315
55,284,315
55,285,315
55,286,315
55,287,315
55,288,315
55,289,315
55,294,315
55,295,315
55,298,315
55,299,315
56,122,736
56,126,736
56,127,736
56,177,548
56,277,315
56,278,315
56,279,315
56,280,315
56,281,315
56,282,315
56,283,315
56,284,315
56,285,315
56,286,315
56,287,315
56,288,315
56,289,315
56,299,315
56,300,315
57,124,736
57,174,548
57,177,548
57,178,548
57,179,548
57,278,315
57,279,315
57,280,315
57,281,315
57,282,315
57,283,315
57,284,315
57,285,315
57,286,315
57,287,315
57,288,315
57,293,315
57,294,315
57,299,315
57,300,315
57,301,315
58,177,548
58,178,548
58,278,315
58,280,315
58,281,315
58,282,315
58,283,315
58,284,315
58,285,315
58,286,315
58,287,315
58,288,315
58,293,315
58,294,315
58,295,315
58,299,315
58,300,315
59,128,736
59,176,548
59,177,548
59,178,548
59,179,548
59,206,548
59,280,315
59,281,315
59,282,315
59,283,315
59,284,315
59,285,315
59,286,315
59,287,315
59,288,315
59,293,315
59,294,315
59,295,315
59,296,315
59,300,315
60,126,736
60,128,736
60,129,736
60,176,548
60,177,548
60,178,548
60,181,548
60,205,548
60,278,315
60,281,315
60,282,315
60,283,315
60,284,315
60,285,315
60,286,315
60,287,315
60,294,315
60,295,315
60,296,315
61,126,736
61,187,548
61,205,548
61,282,315
61,283,315
61,284,315
61,285,315
61,286,315
61,294,315
61,295,315
61,296,315
61,297,315
62,127,736
62,192,548
62,204,548
62,205,548
62,277,315
62,278,315
62,281,315
62,282,315
62,283,315
62,284,315
62,285,315
62,286,315
62,294,315
62,295,315
62,296,315
62,297,315
63,192,548
63,193,548
63,194,548
63,203,548
63,204,548
63,277,315
63,280,315
63,281,315
63,282,315
63,283,315
63,284,315
63,285,315
63,286,315
63,294,315
63,295,315
63,296,315
63,297,315
64,120,736
64,128,736
64,183,548
64,192,548
64,193,548
64,194,548
64,195,548
64,196,548
64,203,548
64,204,548
64,278,315
64,280,315
64,281,315
64,282,315
64,283,315
64,284,315
64,285,315
64,286,315
64,295,315
64,296,315
64,297,315
65,128,736
65,176,548
65,191,548
65,192,548
65,193,548
65,194,548
65,195,548
65,196,548
65,197,548
65,278,315
65,280,315
65,281,315
65,282,315
65,283,315
65,284,315
65,285,315
65,286,315
65,293,315
65,295,315
65,296,315
65,297,315
66,129,736
66,131,736
66,190,548
66,191,548
66,192,548
66,193,548
66,194,548
66,195,548
66,196,548
66,197,548
66,198,548
66,280,315
66,281,315
66,282,315
66,283,315
66,284,315
66,285,315
66,295,315
66,296,315
66,297,315
67,129,736
67,191,548
67,193,548
67,194,548
67,195,548
67,196,548
67,197,548
67,278,315
67,281,315
67,282,315
67,283,315
67,284,315
67,285,315
67,286,315
67,287,315
67,295,315
67,296,315
67,297,315
68,195,548
68,196,548
68,197,548
68,198,548
68,277,315
68,278,315
