"y","x","cluster_id"
1,465,199
1,469,199
1,470,199
1,473,199
1,474,199
1,475,199
1,476,199
1,477,199
1,479,199
1,480,199
1,483,199
1,484,199
1,485,199
1,486,199
1,488,199
1,489,199
1,494,49
1,501,49
1,511,49
1,514,49
1,516,49
1,524,49
1,541,49
1,542,49
1,543,49
1,547,49
1,549,49
1,555,49
1,581,49
1,598,49
1,600,49
1,602,49
1,603,49
1,605,49
1,622,49
1,624,49
1,628,49
1,643,49
1,645,49
1,647,49
1,648,49
1,649,49
1,653,49
4,83,448
4,84,448
5,557,49
5,586,49
5,612,49
33,570,49
37,462,199
39,460,199
39,461,199
40,461,199
45,440,199
45,477,199
45,478,199
49,422,199
51,443,199
51,444,199
51,445,199
51,446,199
52,442,199
52,443,199
52,444,199
52,445,199
52,446,199
53,442,199
53,443,199
53,444,199
53,445,199
53,446,199
54,440,199
54,442,199
54,443,199
54,444,199
54,445,199
54,446,199
54,447,199
55,439,199
55,440,199
55,441,199
55,442,199
55,443,199
55,444,199
55,445,199
55,446,199
55,447,199
55,448,199
55,477,199
56,381,199
56,382,199
56,390,199
56,441,199
56,442,199
56,443,199
56,444,199
56,445,199
56,446,199
56,447,199
56,448,199
56,477,199
56,478,199
57,381,199
57,382,199
57,441,199
57,442,199
57,443,199
57,444,199
57,445,199
57,446,199
57,447,199
58,381,199
58,441,199
58,442,199
58,443,199
58,444,199
58,445,199
58,446,199
58,447,199
58,476,199
59,379,199
59,380,199
59,381,199
59,443,199
59,444,199
59,445,199
59,446,199
59,447,199
60,380,199
60,419,199
60,425,199
60,441,199
60,442,199
60,443,199
60,444,199
60,446,199
60,478,199
60,481,199
61,418,199
61,419,199
61,420,199
61,422,199
61,423,199
61,424,199
61,441,199
61,442,199
61,443,199
61,444,199
61,477,199
62,417,199
62,418,199
62,419,199
62,420,199
62,421,199
62,422,199
62,423,199
62,424,199
62,425,199
62,440,199
62,442,199
62,443,199
62,444,199
63,416,199
63,417,199
63,418,199
63,419,199
63,420,199
63,421,199
63,422,199
63,423,199
63,424,199
63,425,199
63,440,199
63,441,199
63,442,199
63,443,199
63,444,199
63,445,199
64,419,199
64,420,199
64,421,199
64,422,199
64,423,199
64,424,199
64,425,199
64,426,199
64,440,199
64,441,199
64,442,199
64,444,199
65,419,199
65,420,199
65,421,199
65,422,199
65,423,199
65,424,199
65,425,199
65,426,199
65,440,199
65,441,199
66,421,199
66,422,199
66,423,199
66,424,199
66,425,199
66,440,199
66,442,199
67,424,199
67,425,199
68,276,393
69,276,393
70,276,393
70,277,393
70,528,49
70,532,49
71,276,393
71,277,393
71,529,49
71,531,49
71,532,49
72,276,393
72,277,393
72,530,49
72,531,49
73,276,393
73,277,393
73,475,199
73,522,49
73,523,49
74,276,393
74,277,393
74,390,199
75,154,448
75,218,393
75,276,393
75,310,393
76,151,448
76,218,393
76,219,393
76,285,393
77,155,448
77,156,448
77,157,448
77,158,448
77,163,448
77,164,448
77,498,199
78,154,448
78,159,448
78,160,448
78,164,448
78,165,448
78,166,448
78,169,448
78,222,393
78,223,393
78,224,393
78,497,199
79,159,448
79,162,448
79,163,448
79,165,448
79,166,448
79,167,448
79,168,448
79,169,448
79,170,448
79,171,448
79,222,393
79,266,393
79,322,393
80,162,448
80,164,448
80,167,448
80,168,448
80,169,448
80,170,448
80,171,448
80,172,448
80,445,199
80,446,199
81,160,448
81,166,448
81,168,448
81,169,448
81,170,448
81,171,448
81,202,448
81,227,393
81,229,393
81,429,199
81,445,199
81,446,199
81,447,199
82,170,448
82,171,448
82,228,393
82,229,393
82,430,199
82,444,199
82,445,199
82,446,199
82,447,199
83,279,393
83,429,199
83,430,199
83,431,199
83,444,199
83,445,199
83,446,199
83,447,199
84,278,393
84,429,199
84,430,199
84,431,199
84,448,199
85,425,199
85,429,199
85,430,199
85,431,199
85,432,199
86,429,199
86,430,199
86,432,199
87,351,393
87,399,199
87,401,199
87,426,199
87,427,199
87,431,199
87,432,199
87,433,199
88,320,393
88,321,393
88,430,199
88,431,199
88,432,199
88,433,199
88,434,199
89,320,393
89,321,393
89,322,393
89,430,199
89,431,199
89,432,199
89,433,199
89,436,199
89,437,199
90,240,393
90,319,393
90,320,393
90,321,393
90,430,199
90,431,199
90,432,199
90,436,199
90,438,199
91,317,393
91,318,393
91,319,393
91,320,393
91,321,393
91,322,393
91,430,199
91,431,199
91,432,199
91,433,199
91,436,199
92,318,393
92,319,393
92,320,393
92,321,393
92,322,393
93,318,393
93,319,393
93,320,393
94,242,393
94,243,393
94,316,393
94,318,393
94,319,393
94,320,393
95,243,393
95,318,393
95,319,393
95,320,393
95,370,199
95,652,49
96,243,393
96,244,393
96,318,393
96,656,49
99,286,393
100,233,393
100,355,393
100,356,393
100,357,393
100,463,199
101,233,393
101,262,393
101,355,393
101,356,393
101,377,199
101,455,199
102,354,393
102,355,393
102,408,199
102,409,199
103,354,393
103,355,393
103,408,199
103,410,199
103,411,199
104,225,393
104,354,393
104,355,393
104,408,199
104,409,199
104,410,199
105,282,393
105,353,393
105,354,393
105,355,393
106,144,448
106,145,448
106,352,393
106,353,393
107,143,448
107,144,448
107,145,448
107,146,448
108,129,448
108,130,448
108,131,448
108,132,448
108,133,448
108,134,448
108,135,448
108,144,448
108,145,448
109,129,448
109,130,448
109,131,448
109,132,448
109,133,448
109,135,448
109,145,448
110,131,448
110,132,448
110,133,448
116,492,199
117,374,199
123,512,608
125,379,199
127,493,199
127,511,608
128,466,199
145,239,393
146,565,608
148,460,199
149,441,199
153,246,393
158,51,448
158,465,608
158,468,608
159,241,393
159,467,608
160,61,448
160,62,448
160,467,608
161,59,448
161,467,608
162,242,393
166,507,608
169,461,608
174,298,659
174,398,659
174,399,659
175,55,448
176,282,659
177,54,448
177,399,659
178,53,448
178,54,448
178,276,659
178,297,659
178,520,608
179,52,448
179,53,448
180,53,448
180,566,608
181,327,659
181,558,608
181,565,608
184,564,608
184,565,608
185,538,608
185,539,608
185,541,608
185,561,608
185,563,608
186,245,815
186,540,608
186,541,608
186,542,608
186,543,608
187,246,815
187,274,659
187,392,659
187,538,608
187,539,608
187,541,608
187,542,608
187,543,608
187,544,608
187,563,608
188,442,608
188,539,608
188,540,608
188,541,608
188,542,608
188,543,608
188,544,608
189,225,815
189,228,815
189,229,815
189,276,659
189,277,659
189,540,608
189,541,608
189,542,608
189,543,608
190,271,659
190,540,608
190,541,608
190,542,608
190,565,608
191,473,608
191,476,608
191,559,608
191,564,608
193,260,815
195,36,448
195,278,659
195,423,659
196,36,448
196,248,815
196,269,659
196,524,608
196,540,608
196,555,608
196,556,608
197,247,815
197,248,815
197,249,815
197,269,659
197,270,659
197,271,659
197,490,608
197,530,608
197,555,608
197,556,608
197,557,608
198,245,815
198,268,815
198,269,659
198,270,659
198,271,659
198,272,659
198,275,659
198,387,659
198,523,608
198,555,608
199,246,815
199,268,815
199,269,659
199,271,659
199,272,659
199,555,608
199,557,608
200,305,659
200,307,659
200,308,659
200,554,608
201,272,659
201,273,659
201,307,659
201,553,608
202,267,815
202,308,659
202,535,608
202,555,608
203,284,659
203,506,608
203,535,608
203,554,608
204,342,659
204,343,659
204,344,659
204,345,659
205,342,659
205,343,659
205,344,659
205,345,659
205,346,659
205,390,659
205,391,659
205,533,608
206,341,659
206,342,659
206,343,659
206,344,659
206,345,659
206,346,659
206,391,659
206,534,608
207,339,659
207,341,659
207,342,659
207,343,659
207,344,659
207,345,659
207,346,659
207,347,659
207,391,659
207,539,608
