"y","x","cluster_id"
19,29,1066
20,29,1066
21,37,1066
21,38,1066
22,28,1066
22,33,1066
22,38,1066
23,32,1066
23,34,1066
25,26,1066
25,36,1066
25,39,1066
26,35,1066
26,36,1066
26,37,1066
26,38,1066
26,39,1066
27,27,1066
27,38,1066
27,39,1066
27,40,1066
28,39,1066
29,24,1066
29,39,1066
30,31,1066
30,37,1066
31,24,1066
31,25,1066
31,26,1066
31,36,1066
32,26,1066
32,27,1066
32,29,1066
32,30,1066
32,34,1066
32,35,1066
33,26,1066
33,27,1066
33,28,1066
33,29,1066
33,30,1066
33,47,1066
33,49,1066
34,22,1066
34,24,1066
34,25,1066
34,26,1066
34,27,1066
34,28,1066
34,29,1066
34,30,1066
34,47,1066
34,48,1066
35,24,1066
35,25,1066
35,26,1066
35,27,1066
35,28,1066
35,29,1066
35,43,1066
35,44,1066
35,46,1066
36,26,1066
36,28,1066
36,30,1066
36,32,1066
36,34,1066
36,43,1066
36,44,1066
36,46,1066
37,22,1066
37,25,1066
37,31,1066
37,32,1066
37,33,1066
37,34,1066
37,35,1066
37,39,1066
37,45,1066
37,46,1066
37,47,1066
37,471,313
37,472,313
38,22,1066
38,26,1066
38,29,1066
38,39,1066
38,40,1066
38,45,1066
38,46,1066
38,47,1066
38,475,313
38,480,313
38,481,313
39,24,1066
39,25,1066
39,39,1066
39,40,1066
39,45,1066
39,471,313
39,481,313
40,24,1066
40,25,1066
40,26,1066
40,27,1066
40,31,1066
40,34,1066
40,35,1066
40,40,1066
40,45,1066
40,468,313
40,471,313
40,472,313
40,473,313
40,474,313
40,476,313
40,478,313
40,480,313
40,481,313
41,24,1066
41,25,1066
41,26,1066
41,28,1066
41,29,1066
41,31,1066
41,34,1066
41,45,1066
41,473,313
41,474,313
41,475,313
41,477,313
41,481,313
41,482,313
42,27,1066
42,36,1066
42,47,1066
42,48,1066
42,480,313
42,482,313
43,35,1066
43,48,1066
43,467,313
43,468,313
43,469,313
43,475,313
43,476,313
43,482,313
44,63,1066
44,65,1066
44,466,313
44,468,313
44,476,313
44,478,313
44,479,313
44,481,313
44,482,313
44,483,313
45,24,1066
45,57,1066
45,62,1066
45,467,313
45,481,313
45,482,313
45,486,313
46,74,1066
46,467,313
46,480,313
46,481,313
46,482,313
47,63,1066
47,464,313
47,466,313
47,467,313
47,475,313
47,482,313
