"y","x","cluster_id"
55,399,153
56,399,153
59,404,153
70,218,56
70,503,131
74,221,56
75,107,56
75,215,56
75,217,56
75,221,56
76,216,56
76,217,56
76,218,56
76,405,153
77,217,56
77,232,56
77,538,131
77,539,131
78,386,153
78,395,153
79,217,56
79,218,56
79,219,56
79,220,56
79,224,56
79,234,56
80,219,56
80,220,56
80,221,56
80,233,56
80,234,56
80,402,153
81,204,56
81,229,56
81,231,56
81,233,56
81,234,56
81,236,56
81,237,56
82,180,56
82,219,56
82,232,56
82,235,56
83,163,56
83,210,56
83,218,56
83,219,56
83,220,56
83,229,56
83,234,56
83,236,56
83,237,56
84,169,56
84,202,56
84,203,56
84,204,56
84,218,56
84,223,56
84,229,56
84,230,56
84,232,56
84,234,56
85,158,56
85,219,56
85,228,56
85,230,56
85,235,56
86,159,56
86,174,56
86,219,56
86,228,56
86,230,56
86,235,56
86,239,56
86,241,56
87,154,56
87,172,56
87,219,56
87,241,56
88,216,56
88,218,56
88,231,56
88,234,56
88,351,153
89,158,56
89,215,56
89,363,153
89,364,153
89,365,153
89,376,153
89,377,153
90,156,56
90,158,56
90,159,56
90,216,56
90,233,56
92,159,56
92,160,56
92,161,56
93,162,56
95,160,56
96,160,56
96,165,56
96,328,153
96,334,153
99,522,131
100,160,56
100,507,131
100,509,131
100,511,131
100,521,131
100,523,131
101,507,131
101,522,131
101,524,131
101,525,131
103,527,131
103,531,131
104,526,131
104,528,131
104,532,131
105,530,131
105,531,131
106,530,131
106,532,131
107,523,131
107,529,131
107,530,131
108,98,56
108,144,56
108,523,131
108,530,131
109,517,131
109,532,131
110,98,56
110,534,131
111,534,131
111,535,131
112,99,56
112,100,56
114,523,131
115,535,131
117,528,131
118,519,131
122,532,131
122,540,131
123,522,131
123,523,131
127,535,131
128,535,131
130,538,131
131,304,153
131,313,153
131,524,131
131,538,131
131,539,131
132,305,153
132,523,131
133,294,153
133,297,153
135,291,153
135,312,153
136,295,153
136,296,153
136,302,153
136,304,153
136,305,153
136,311,153
136,312,153
137,302,153
137,307,153
137,310,153
137,312,153
138,121,259
138,305,153
138,308,153
138,310,153
138,312,153
139,304,153
139,311,153
139,312,153
140,305,153
140,306,153
140,310,153
140,519,131
141,305,153
141,306,153
141,308,153
141,309,153
142,293,153
142,307,153
142,516,131
144,314,153
145,246,259
146,255,153
146,256,153
149,192,259
149,266,153
149,267,153
150,321,153
151,190,259
151,224,259
153,304,153
154,301,153
154,302,153
155,302,153
156,301,153
166,190,259
166,194,259
168,186,259
168,195,259
172,176,259
172,195,259
173,175,259
174,197,259
174,216,259
177,184,259
177,202,259
177,204,259
178,192,259
178,203,259
178,204,259
178,210,259
178,216,259
179,190,259
179,191,259
179,200,259
179,201,259
179,203,259
179,204,259
179,210,259
180,183,259
180,190,259
180,195,259
180,199,259
180,202,259
180,204,259
181,181,259
181,186,259
181,200,259
181,201,259
183,198,259
183,207,259
183,210,259
184,183,259
184,211,259
184,212,259
186,180,259
186,193,259
186,197,259
187,193,259
187,209,259
188,189,259
188,208,259
188,215,259
188,216,259
189,188,259
189,194,259
189,205,259
189,210,259
189,214,259
190,195,259
190,198,259
190,209,259
190,213,259
190,214,259
190,215,259
191,194,259
191,196,259
191,208,259
192,204,259
192,205,259
192,207,259
192,209,259
192,210,259
192,211,259
193,197,259
193,199,259
193,201,259
193,202,259
193,205,259
193,208,259
193,209,259
193,252,259
194,198,259
194,200,259
194,201,259
194,207,259
194,208,259
195,198,259
195,200,259
195,201,259
195,202,259
195,203,259
195,204,259
195,209,259
196,201,259
197,258,259
200,227,259
200,310,153
202,308,153
205,224,259
205,261,407
205,312,153
207,225,259
207,226,259
207,285,407
207,286,407
208,285,407
209,228,259
210,260,407
210,285,407
210,287,407
210,288,407
210,289,407
211,287,407
211,288,407
211,289,407
211,290,407
212,255,407
212,287,407
212,289,407
212,290,407
213,289,407
213,290,407
214,259,407
214,260,407
214,287,407
214,288,407
214,290,407
215,259,407
215,287,407
216,260,407
216,261,407
217,253,407
217,254,407
217,261,407
218,255,407
218,260,407
219,256,407
219,292,407
224,228,407
230,175,259
230,242,407
231,178,259
232,237,407
232,238,407
232,246,407
233,227,407
233,242,407
233,243,407
233,244,407
233,254,407
234,229,407
234,241,407
234,243,407
235,177,259
235,221,407
235,242,407
