"y","x","cluster_id"
29,79,38
29,102,19
29,103,19
30,75,38
30,76,38
30,102,19
30,103,19
31,77,38
31,78,38
31,104,19
31,105,19
32,77,38
34,70,38
34,71,38
34,107,19
34,108,19
35,107,19
35,108,19
35,115,19
35,116,19
36,109,19
36,116,19
36,117,19
36,118,19
37,117,19
37,118,19
37,119,19
38,121,19
38,122,19
40,120,19
43,135,19
44,140,19
47,137,19
50,80,38
51,64,38
51,149,67
52,147,67
53,68,38
57,61,38
59,61,38
60,62,38
60,153,67
64,76,38
66,67,38
69,165,67
70,165,67
70,167,67
71,85,38
71,165,67
74,154,67
75,167,67
76,132,67
76,155,67
76,158,67
77,116,67
77,126,67
77,130,67
78,124,67
78,163,67
79,123,67
79,124,67
80,124,67
80,132,67
80,166,67
81,124,67
81,132,67
82,146,67
82,161,67
83,52,38
83,139,67
83,166,67
83,168,67
84,53,38
84,166,67
84,168,67
85,139,67
85,157,67
88,165,67
92,75,90
93,132,67
93,134,67
93,164,67
94,77,90
97,73,90
97,75,90
105,148,67
105,158,67
107,163,67
113,53,90
117,64,90
117,134,128
117,144,128
118,154,128
120,65,90
121,153,128
122,54,90
122,144,128
123,75,90
123,113,128
124,75,90
125,137,128
125,150,128
126,119,128
127,115,128
127,140,128
127,141,128
128,142,128
128,143,128
128,146,128
129,134,128
129,135,128
130,123,128
130,134,128
130,140,128
130,143,128
131,135,128
132,121,128
132,134,128
132,135,128
132,139,128
133,70,90
134,100,128
134,139,128
136,131,128
136,132,128
138,99,128
139,99,128
141,129,128
142,130,128
144,104,128
146,102,128
146,111,128
147,124,128
147,126,128
147,127,128
147,128,128
147,129,128
148,127,128
149,116,128
149,120,128
149,124,128
149,125,128
149,126,128
150,122,128
150,124,128
150,125,128
150,127,128
151,123,128
151,124,128
152,121,128
152,122,128
153,121,128
153,122,128
153,123,128
154,122,128
