"y","x","cluster_id"
129,74,33
130,89,33
133,83,33
133,106,152
136,67,33
136,112,152
137,90,33
137,92,33
138,89,33
138,119,152
139,114,152
140,90,33
141,71,33
141,88,33
144,94,33
144,138,154
145,62,33
146,60,33
146,64,33
146,116,152
146,123,152
146,127,152
147,60,33
147,83,33
148,63,33
149,59,33
149,78,33
149,79,33
149,86,33
149,129,152
150,62,33
150,64,33
150,76,33
150,127,152
150,130,152
151,126,152
151,152,154
151,157,154
152,152,154
152,153,154
152,154,154
152,155,154
152,156,154
152,157,154
153,78,33
153,89,33
153,128,152
153,150,154
153,151,154
153,152,154
153,153,154
153,155,154
153,157,154
153,158,154
153,160,154
153,161,154
154,112,152
154,152,154
154,154,154
154,157,154
154,158,154
154,159,154
154,160,154
154,161,154
155,106,152
155,140,154
155,156,154
155,158,154
155,161,154
155,163,154
155,164,154
156,68,33
156,76,33
156,139,154
156,152,154
156,157,154
156,159,154
156,164,154
157,72,33
157,136,154
157,156,154
157,157,154
157,158,154
157,163,154
157,164,154
157,165,154
158,62,33
158,65,33
158,105,152
158,134,152
158,152,154
158,153,154
158,154,154
158,155,154
158,156,154
158,157,154
158,158,154
158,162,154
158,163,154
158,164,154
158,165,154
159,136,154
159,139,154
159,142,154
159,143,154
159,152,154
159,153,154
159,154,154
159,155,154
159,157,154
159,158,154
159,161,154
159,162,154
159,163,154
159,164,154
159,165,154
159,166,154
159,167,154
159,168,154
160,98,152
160,103,152
160,107,152
160,151,154
160,153,154
160,154,154
160,156,154
160,157,154
160,161,154
160,162,154
160,163,154
160,164,154
160,165,154
160,166,154
160,167,154
160,168,154
160,169,154
160,170,154
161,63,33
161,127,152
161,146,154
161,156,154
161,160,154
161,162,154
161,163,154
161,165,154
161,166,154
161,168,154
161,169,154
161,170,154
162,96,152
162,112,152
162,113,152
162,146,154
162,159,154
162,161,154
162,163,154
162,164,154
162,169,154
162,170,154
162,171,154
163,138,154
163,143,154
163,147,154
163,169,154
163,170,154
163,171,154
164,112,152
164,146,154
164,167,154
165,104,152
165,167,154
165,168,154
165,169,154
166,65,33
166,71,33
166,95,152
166,139,154
168,53,315
169,60,33
169,145,154
169,152,154
169,157,154
171,64,315
171,118,152
171,119,152
172,64,315
172,96,152
172,102,152
172,116,152
173,80,33
174,82,33
174,118,152
174,148,154
175,156,154
175,157,154
175,158,154
176,55,315
176,62,315
176,99,152
176,140,154
176,157,154
176,158,154
177,156,154
177,157,154
178,54,315
178,159,154
179,52,315
179,54,315
179,60,315
179,145,154
179,159,154
179,161,154
180,57,315
180,59,315
180,77,315
180,159,154
180,160,154
180,161,154
181,49,315
181,87,315
181,140,390
181,160,154
182,52,315
182,60,315
182,66,315
182,100,152
182,132,390
182,160,154
182,163,154
183,49,315
183,50,315
183,52,315
183,56,315
183,161,154
183,162,154
184,57,315
184,118,152
184,143,390
185,52,315
185,99,152
185,136,390
185,138,390
186,51,315
186,52,315
186,53,315
186,57,315
186,62,315
186,138,390
186,142,390
186,146,390
187,52,315
187,54,315
187,55,315
187,56,315
187,57,315
187,58,315
187,62,315
187,99,472
187,142,390
187,160,390
188,51,315
188,53,315
188,54,315
188,56,315
188,66,315
188,70,315
188,138,390
188,142,390
188,151,390
188,157,390
189,55,315
189,56,315
189,137,390
189,138,390
189,142,390
189,156,390
189,157,390
189,158,390
190,66,315
190,71,315
190,99,472
190,115,472
190,142,390
190,143,390
191,54,315
191,62,315
191,63,315
191,64,315
191,66,315
191,79,315
191,80,315
191,143,390
191,158,390
192,52,315
192,53,315
192,59,315
192,63,315
192,64,315
192,66,315
192,88,472
192,96,472
192,100,472
192,102,472
192,137,390
192,144,390
192,148,390
193,48,315
193,67,315
193,105,472
193,137,390
193,143,390
193,148,390
194,52,315
194,53,315
194,58,315
194,62,315
194,64,315
194,68,315
194,104,472
194,136,390
194,142,390
194,147,390
195,50,315
195,53,315
195,57,315
195,62,315
195,63,315
195,64,315
195,66,315
195,103,472
195,107,472
195,142,390
195,143,390
195,146,390
195,154,390
195,169,390
196,48,315
196,52,315
196,61,315
196,62,315
196,63,315
196,69,315
196,99,472
196,142,390
196,143,390
196,144,390
196,147,390
196,154,390
197,48,315
197,99,472
197,122,390
197,126,390
197,143,390
198,48,315
198,54,315
198,55,315
198,57,315
198,67,315
198,141,390
198,142,390
198,147,390
199,49,315
199,52,315
199,54,315
199,55,315
199,58,315
199,139,390
199,142,390
199,143,390
199,147,390
200,54,315
200,57,315
200,58,315
200,62,315
