"y","x","cluster_id"
11,88,16
16,101,16
17,101,16
23,90,16
24,90,16
24,98,16
28,88,16
28,89,16
29,92,16
31,90,16
34,68,16
34,71,16
34,72,16
34,73,16
35,71,16
36,79,16
37,80,16
39,76,16
39,78,16
39,82,16
41,65,16
46,74,16
47,74,16
47,173,50
52,84,16
53,60,16
53,81,16
58,62,55
59,140,50
64,61,55
64,138,50
65,61,55
66,64,55
66,85,55
67,60,55
67,138,50
69,139,50
70,70,55
71,139,50
72,138,50
72,139,50
73,138,50
73,139,50
74,139,50
75,138,50
76,138,50
77,137,50
77,138,50
78,137,50
78,138,50
79,112,50
79,119,50
79,137,50
79,138,50
80,77,55
80,118,50
80,137,50
80,138,50
81,119,50
81,137,50
82,119,50
82,120,50
82,136,50
82,137,50
83,135,50
83,136,50
84,120,50
84,121,50
84,134,50
84,135,50
84,136,50
92,89,55
93,169,50
94,169,50
94,170,50
95,71,55
95,171,50
98,81,55
98,85,55
99,80,55
104,80,55
