"y","x","cluster_id"
12,84,11
13,83,11
13,84,11
13,85,11
14,71,11
14,83,11
14,84,11
15,70,11
16,68,11
16,135,11
17,133,11
17,134,11
17,135,11
17,136,11
17,137,11
18,137,11
18,138,11
18,155,11
24,161,11
39,93,11
46,125,11
46,126,11
48,127,11
48,140,11
48,141,11
48,142,11
49,142,11
49,143,11
50,144,11
53,158,11
60,97,11
67,48,39
86,25,39
87,27,39
91,29,39
93,79,39
97,112,39
103,35,39
120,67,39
120,68,39
121,68,39
122,69,39
123,68,39
123,69,39
124,68,39
124,69,39
125,68,39
148,120,39
181,38,39
183,141,39
