"y","x","cluster_id"
25,165,194
26,163,194
35,222,194
35,224,194
36,215,194
36,216,194
36,217,194
36,218,194
36,330,379
37,211,194
37,213,194
37,219,194
37,220,194
37,333,379
37,334,379
38,207,194
38,208,194
38,209,194
38,210,194
38,211,194
38,212,194
38,216,194
38,217,194
38,218,194
38,219,194
38,220,194
38,221,194
38,222,194
38,223,194
38,228,194
38,331,379
38,334,379
38,337,379
39,202,194
39,203,194
39,204,194
39,205,194
39,206,194
39,207,194
39,208,194
39,209,194
39,218,194
39,219,194
39,220,194
39,221,194
39,222,194
39,223,194
39,225,194
39,308,379
39,309,379
39,311,379
39,329,379
39,334,379
40,201,194
40,202,194
40,203,194
40,204,194
40,205,194
40,206,194
40,207,194
40,208,194
40,219,194
40,220,194
40,221,194
40,224,194
40,225,194
40,226,194
40,248,194
40,333,379
40,334,379
40,342,379
41,199,194
41,200,194
41,201,194
41,202,194
41,203,194
41,204,194
41,206,194
41,209,194
41,219,194
41,220,194
41,221,194
41,227,194
41,228,194
41,231,194
41,240,194
41,331,379
41,333,379
42,199,194
42,200,194
42,201,194
42,206,194
42,242,194
42,243,194
42,245,194
42,248,194
42,330,379
43,199,194
43,200,194
43,205,194
43,210,194
43,240,194
43,243,194
43,244,194
43,245,194
43,246,194
43,251,194
44,116,574
44,117,574
44,118,574
44,120,574
44,197,194
44,198,194
44,199,194
44,202,194
44,203,194
44,243,194
44,244,194
44,245,194
44,246,194
44,247,194
44,330,379
44,332,379
45,116,574
45,117,574
45,118,574
45,119,574
45,120,574
45,121,574
45,197,194
45,198,194
45,201,194
45,203,194
45,204,194
45,205,194
45,207,194
45,243,194
45,244,194
45,245,194
45,246,194
45,247,194
45,248,194
45,309,379
45,310,379
45,313,379
45,322,379
45,324,379
45,325,379
45,328,379
45,331,379
46,118,574
46,119,574
46,120,574
46,121,574
46,122,574
46,123,574
46,194,194
46,195,194
46,196,194
46,197,194
46,198,194
46,218,194
46,247,194
46,248,194
46,310,379
46,316,379
46,322,379
46,323,379
46,324,379
46,325,379
46,332,379
47,121,574
47,122,574
47,194,194
47,195,194
47,196,194
47,197,194
47,200,194
47,201,194
47,203,194
47,256,194
47,315,379
47,320,379
47,321,379
47,325,379
47,332,379
47,337,379
48,183,194
48,193,194
48,194,194
48,195,194
48,196,194
48,197,194
48,209,194
48,256,194
48,264,944
48,313,379
48,315,379
48,317,379
48,342,379
48,346,379
48,401,379
48,402,379
48,404,379
49,183,194
49,184,194
49,185,194
49,191,194
49,193,194
49,194,194
49,202,194
49,209,194
49,241,194
49,242,194
49,263,944
49,264,944
49,265,944
49,266,944
49,342,379
49,343,379
49,346,379
49,347,379
49,350,379
49,396,379
49,405,379
49,407,379
50,182,194
50,183,194
50,190,194
50,193,194
50,194,194
50,203,194
50,206,194
50,209,194
50,240,194
50,246,194
50,247,194
50,263,944
50,351,379
50,395,379
50,396,379
50,397,379
51,138,574
51,140,574
51,141,574
51,142,574
51,168,848
51,185,194
51,187,194
51,188,194
51,189,194
51,190,194
51,192,194
51,193,194
51,194,194
51,195,194
51,200,194
51,201,194
51,202,194
51,203,194
51,204,194
51,205,194
51,207,194
51,210,194
51,256,194
51,257,194
51,258,944
51,261,944
51,262,944
51,264,944
51,269,944
51,324,379
51,344,379
51,349,379
52,127,574
52,134,574
52,135,574
52,138,574
52,139,574
52,140,574
52,141,574
52,142,574
52,143,574
52,167,848
52,168,848
52,185,194
52,188,194
52,189,194
52,190,194
52,191,194
52,192,194
52,193,194
52,194,194
52,202,194
52,203,194
52,257,944
52,258,944
52,270,944
52,271,944
52,397,379
53,128,574
53,134,574
53,135,574
53,136,574
53,137,574
53,139,574
53,140,574
53,141,574
53,142,574
53,143,574
53,144,574
53,166,848
53,167,848
53,168,848
53,182,194
53,184,194
53,185,194
53,188,194
53,193,194
53,194,194
53,245,194
53,262,944
53,271,944
53,396,379
53,397,379
54,125,574
54,126,574
54,128,574
54,129,574
54,131,574
54,132,574
54,133,574
54,134,574
54,135,574
54,136,574
54,138,574
54,139,574
54,140,574
54,141,574
54,142,574
54,144,574
54,166,848
54,167,848
54,168,848
54,186,194
54,187,194
54,188,194
54,206,194
54,266,944
54,267,944
54,271,944
54,278,944
54,397,379
55,122,574
55,128,574
55,129,574
55,131,574
55,132,574
55,133,574
55,134,574
55,135,574
55,136,574
55,137,574
55,138,574
55,139,574
55,140,574
55,141,574
55,142,574
55,143,574
55,145,574
55,167,848
55,168,848
55,181,848
55,187,194
55,188,194
55,256,944
55,266,944
55,281,944
55,348,379
55,397,379
55,402,379
55,408,379
56,128,574
56,129,574
56,130,574
56,131,574
56,132,574
56,133,574
56,134,574
56,135,574
56,136,574
56,137,574
56,141,574
56,142,574
56,143,574
56,144,574
56,145,574
56,178,848
56,185,194
56,186,194
56,187,194
56,188,194
56,189,194
56,273,944
56,275,944
56,280,944
56,281,944
56,402,379
57,121,574
57,131,574
57,132,574
57,133,574
57,134,574
57,135,574
57,136,574
57,140,574
57,141,574
57,143,574
57,183,848
57,184,848
57,185,848
57,186,194
57,187,194
57,188,194
57,204,194
57,283,944
57,284,944
58,120,574
58,128,574
58,129,574
58,130,574
58,131,574
58,133,574
58,134,574
58,135,574
58,136,574
58,138,574
58,139,574
58,145,574
58,146,574
58,147,574
58,149,574
58,179,848
58,180,848
58,182,848
58,183,848
58,184,848
58,185,848
58,186,848
58,187,194
58,189,194
58,190,194
58,191,194
58,266,944
58,281,944
58,283,944
58,285,944
58,338,379
59,117,574
59,118,574
59,119,574
59,129,574
59,133,574
59,138,574
59,139,574
59,140,574
59,145,574
59,146,574
59,147,574
59,154,848
59,156,848
59,161,848
59,162,848
59,163,848
59,179,848
59,180,848
59,181,848
59,182,848
59,183,848
59,184,848
59,185,848
59,186,848
59,187,194
59,266,944
59,287,944
59,309,379
59,413,379
60,113,574
60,115,574
60,116,574
60,117,574
60,118,574
60,119,574
60,122,574
60,124,574
60,130,574
60,133,574
60,143,574
60,154,848
60,162,848
60,163,848
60,164,848
60,180,848
60,181,848
60,182,848
60,183,848
60,184,848
60,185,848
60,186,848
60,187,848
60,188,194
60,189,194
60,308,944
60,309,944
61,113,574
61,114,574
61,115,574
61,116,574
61,117,574
61,118,574
61,126,574
61,127,574
61,148,574
61,149,574
61,150,574
61,158,848
61,161,848
61,162,848
61,163,848
61,165,848
61,183,848
61,184,848
61,186,848
61,187,848
61,188,848
61,189,194
61,190,194
61,191,194
61,266,944
61,285,944
62,112,574
62,113,574
62,114,574
62,115,574
62,116,574
62,117,574
62,118,574
62,119,574
62,120,574
62,121,574
62,141,574
62,143,574
62,151,574
62,156,848
62,158,848
62,161,848
62,163,848
62,164,848
62,181,848
62,187,848
62,189,848
62,190,194
62,192,194
62,193,194
62,196,194
62,284,944
62,290,944
62,291,944
62,365,379
63,112,574
63,115,574
63,116,574
63,121,574
63,124,574
63,151,574
63,154,848
63,158,848
63,163,848
63,164,848
63,173,848
63,174,848
63,184,848
63,185,848
63,186,848
63,187,848
63,188,848
63,191,194
63,192,194
63,290,944
63,291,944
63,307,944
63,360,379
63,376,379
63,402,379
64,112,574
64,113,574
64,114,574
64,115,574
64,119,574
64,143,574
64,162,848
64,168,848
64,169,848
64,173,848
64,174,848
64,177,848
64,182,848
64,183,848
64,184,848
64,185,848
64,186,848
64,316,379
64,332,379
65,111,574
65,112,574
65,113,574
65,114,574
65,118,574
65,119,574
65,146,574
65,163,848
65,168,848
65,176,848
65,177,848
65,182,848
65,183,848
65,185,848
65,283,944
65,317,379
65,328,379
65,334,379
66,111,574
66,112,574
66,113,574
66,117,574
66,161,848
66,163,848
66,175,848
66,177,848
66,181,848
66,182,848
66,183,848
66,315,379
66,389,379
66,391,379
66,392,379
67,158,848
67,162,848
67,163,848
67,164,848
67,183,848
67,191,848
67,307,944
67,384,379
68,115,574
68,116,574
68,117,574
68,118,574
68,162,848
68,163,848
68,164,848
68,165,848
68,174,848
68,180,848
68,182,848
68,307,944
68,426,379
69,115,574
69,116,574
69,117,574
69,118,574
69,162,848
69,163,848
69,178,848
69,303,944
69,304,944
70,96,574
70,114,574
70,115,574
70,116,574
70,163,848
70,177,848
70,178,848
70,288,944
70,302,944
70,303,944
70,365,379
71,95,574
71,96,574
71,97,574
71,98,574
71,99,574
71,100,574
71,112,574
71,114,574
71,115,574
71,116,574
71,161,848
71,163,848
71,172,848
71,202,194
71,282,944
71,300,944
71,301,944
71,304,944
71,305,944
72,95,574
72,96,574
72,97,574
72,98,574
72,99,574
72,113,574
72,114,574
72,161,848
72,162,848
72,173,848
72,180,848
72,290,944
72,302,944
72,303,944
72,304,944
72,305,944
72,307,944
73,96,574
73,98,574
73,99,574
73,112,574
73,160,848
73,161,848
73,162,848
73,180,848
73,231,194
73,289,944
73,304,944
73,305,944
73,307,944
73,312,944
74,99,574
74,110,574
74,112,574
74,113,574
74,115,574
74,160,848
74,161,848
74,162,848
74,163,848
74,202,194
74,428,379
74,546,1135
74,547,1135
74,549,1135
75,112,574
75,158,848
75,159,848
75,160,848
75,161,848
75,162,848
75,163,848
75,202,194
75,278,944
75,300,944
75,307,944
75,314,944
75,325,379
75,327,379
75,428,379
75,429,379
75,542,1135
75,547,1135
75,548,1135
76,109,574
76,111,574
76,112,574
76,157,848
76,158,848
76,159,848
76,160,848
76,161,848
76,162,848
76,300,944
76,307,944
76,325,379
76,326,379
76,544,1135
76,545,1135
77,108,574
77,109,574
77,110,574
77,113,574
77,135,574
77,143,574
77,156,848
77,157,848
77,158,848
77,159,848
77,160,848
77,161,848
77,162,848
77,164,848
77,168,848
77,180,848
77,287,944
77,543,1135
77,544,1135
77,546,1135
78,110,574
78,111,574
78,144,574
78,154,848
78,155,848
78,159,848
78,162,848
78,163,848
78,203,848
78,282,944
79,108,574
79,109,574
79,139,574
79,149,848
79,152,848
79,154,848
79,162,848
79,163,848
79,164,848
79,171,848
79,173,848
79,174,848
79,183,848
79,204,848
79,282,944
79,284,944
79,285,944
79,302,944
79,309,944
79,310,944
80,109,574
80,138,574
80,147,848
80,148,848
80,149,848
80,150,848
80,151,848
80,152,848
80,163,848
80,164,848
80,167,848
80,173,848
80,174,848
80,228,194
80,310,944
81,96,574
81,101,574
81,109,574
81,112,574
81,149,848
81,150,848
81,151,848
81,152,848
81,162,848
81,163,848
81,164,848
81,165,848
81,171,848
81,293,944
82,149,848
82,150,848
82,151,848
82,162,848
82,164,848
82,165,848
82,166,848
82,168,848
82,178,848
83,150,848
83,151,848
83,164,848
83,165,848
83,166,848
83,167,848
83,169,848
83,170,848
83,172,848
83,301,944
83,550,1135
84,109,574
84,151,848
84,168,848
84,174,848
84,177,848
84,178,848
84,181,848
84,189,848
84,286,944
84,306,944
84,336,379
85,171,848
85,178,848
85,284,944
85,302,944
85,317,944
86,297,944
87,107,574
87,108,574
87,111,574
87,112,574
87,150,848
87,151,848
87,294,944
88,111,574
88,112,574
88,144,848
88,150,848
88,151,848
88,168,848
88,169,848
88,170,848
88,208,848
88,209,848
88,268,944
88,270,944
88,306,944
88,354,379
89,111,574
89,112,574
89,152,848
89,168,848
89,169,848
89,170,848
89,171,848
89,172,848
89,183,848
89,207,848
90,152,848
90,162,848
90,187,848
90,264,944
90,268,944
90,336,379
91,111,574
91,172,848
91,173,848
91,175,848
91,186,848
91,285,944
92,109,574
92,152,848
92,153,848
92,158,848
92,160,848
92,164,848
92,172,848
92,173,848
92,174,848
92,185,848
92,191,848
92,245,944
92,266,944
93,115,574
93,166,848
93,172,848
93,173,848
93,174,848
93,175,848
93,204,848
93,275,944
93,308,944
93,419,379
93,423,379
94,104,574
94,116,574
94,174,848
94,175,848
94,184,848
94,189,848
94,295,944
94,348,379
94,415,379
95,104,574
95,186,848
95,202,848
95,270,944
95,292,944
95,497,1135
96,95,574
96,98,574
96,112,574
96,156,848
96,180,848
96,184,848
96,287,944
96,494,1135
97,153,848
97,156,848
97,158,848
97,232,944
97,287,944
97,308,944
97,493,1135
97,494,1135
97,502,1135
97,503,1135
97,505,1135
98,186,848
98,197,848
98,259,944
98,502,1135
98,503,1135
98,504,1135
99,181,848
99,182,848
99,199,848
99,259,944
99,273,944
99,306,944
99,502,1135
99,518,1135
100,115,574
100,181,848
