"y","x","cluster_id"
21,459,240
22,456,240
23,451,240
23,452,240
23,455,240
23,456,240
24,453,240
25,461,240
26,233,123
26,428,240
27,426,240
29,232,123
29,233,123
29,430,240
30,234,123
31,233,123
31,234,123
31,422,240
34,234,123
35,234,123
35,465,240
35,470,240
36,222,123
37,217,123
37,218,123
37,219,123
37,220,123
38,199,123
38,205,123
38,212,123
38,218,123
39,192,123
39,205,123
39,212,123
39,213,123
39,214,123
40,207,123
41,200,123
41,203,123
41,207,123
41,208,123
41,210,123
41,212,123
41,213,123
41,257,123
42,200,123
42,202,123
42,205,123
42,207,123
42,208,123
42,233,123
43,201,123
43,205,123
43,206,123
43,211,123
43,481,240
44,235,123
44,481,240
45,189,123
45,283,123
46,191,123
47,208,123
47,209,123
47,210,123
48,211,123
48,246,123
49,256,123
52,168,123
52,479,240
52,480,240
52,483,240
53,168,123
53,183,123
53,480,240
54,175,123
54,177,123
54,182,123
54,481,240
55,182,123
55,184,123
55,479,240
56,181,123
56,182,123
56,482,240
56,483,240
57,477,240
57,478,240
57,479,240
57,480,240
57,482,240
58,174,123
58,477,240
58,479,240
58,481,240
59,173,123
59,480,240
60,473,240
60,477,240
60,479,240
60,482,240
60,483,240
61,196,123
61,481,240
62,178,123
62,182,123
62,478,240
63,181,123
63,182,123
63,470,240
63,472,240
64,470,240
65,211,123
65,467,240
65,468,240
66,468,240
66,469,240
67,452,240
67,464,240
67,467,240
67,468,240
68,452,240
69,173,123
69,185,123
70,465,240
70,466,240
71,466,240
72,465,240
72,466,240
72,467,240
73,161,123
73,464,240
73,468,240
74,461,240
74,462,240
74,463,240
74,464,240
74,471,240
75,161,123
75,197,123
75,460,240
75,461,240
75,462,240
75,463,240
75,464,240
75,465,240
75,466,240
75,467,240
76,461,240
76,462,240
76,463,240
76,464,240
76,465,240
76,466,240
76,467,240
77,459,240
77,460,240
77,461,240
77,463,240
77,464,240
77,465,240
77,466,240
77,467,240
78,163,123
78,165,123
78,198,123
78,458,240
78,459,240
78,460,240
78,461,240
78,463,240
78,464,240
78,465,240
78,466,240
79,162,123
79,338,1051
79,451,240
79,458,240
79,459,240
79,460,240
79,462,240
79,463,240
79,464,240
79,465,240
79,466,240
80,442,240
80,458,240
80,459,240
80,460,240
80,462,240
80,463,240
80,464,240
80,465,240
80,466,240
81,162,123
81,459,240
81,460,240
81,463,240
81,464,240
81,465,240
81,466,240
82,161,123
82,463,240
82,464,240
83,162,123
83,163,123
83,463,240
83,464,240
83,465,240
83,466,240
84,462,240
84,463,240
84,464,240
84,465,240
84,466,240
85,164,123
85,463,240
85,464,240
85,465,240
85,466,240
85,467,240
85,468,240
86,167,123
86,454,240
86,456,240
86,462,240
86,463,240
86,464,240
86,466,240
87,163,123
87,244,123
87,462,240
87,463,240
87,464,240
88,168,123
88,295,1051
88,335,1051
88,455,240
88,456,240
88,460,240
88,461,240
89,300,1051
89,307,1051
90,162,123
90,456,240
91,155,123
91,172,123
91,313,1051
91,462,240
92,163,123
92,171,123
92,188,123
92,443,240
92,453,240
93,171,123
93,311,1051
93,458,240
93,459,240
94,165,123
94,168,123
94,169,123
94,170,123
94,171,123
94,177,123
94,459,240
94,462,240
95,458,240
95,459,240
95,460,240
95,461,240
95,462,240
96,168,123
96,169,123
96,170,123
96,458,240
96,459,240
96,460,240
96,461,240
96,462,240
97,169,123
97,170,123
97,318,1051
97,459,240
97,461,240
97,466,240
97,471,240
98,171,123
98,458,240
98,460,240
98,461,240
98,466,240
98,467,240
98,470,240
99,169,123
99,170,123
99,452,240
99,454,240
99,459,240
99,460,240
99,461,240
99,466,240
99,467,240
99,468,240
100,168,123
100,452,240
100,453,240
100,454,240
100,459,240
100,460,240
100,461,240
100,468,240
100,470,240
101,167,123
101,168,123
101,169,123
101,172,123
101,443,240
101,459,240
101,460,240
101,467,240
101,468,240
102,168,123
102,461,240
102,468,240
103,166,123
103,167,123
103,172,123
103,442,240
103,443,240
103,454,240
103,455,240
103,457,240
104,163,123
104,166,123
104,167,123
104,169,123
104,170,123
104,441,240
104,442,240
104,444,240
104,455,240
104,456,240
104,461,240
105,165,123
105,167,123
105,168,123
105,444,240
105,455,240
106,165,123
106,166,123
106,167,123
106,447,240
106,454,240
106,455,240
106,456,240
106,458,240
106,459,240
107,165,123
107,166,123
107,457,240
108,165,123
108,451,240
108,458,240
109,165,123
109,456,240
109,457,240
110,164,123
110,185,123
110,442,240
110,453,240
110,455,240
110,456,240
111,163,123
111,442,240
111,450,240
111,459,240
111,460,240
111,480,240
112,445,240
112,446,240
112,454,240
112,455,240
112,480,240
113,445,240
113,446,240
113,451,240
113,453,240
113,454,240
113,461,240
114,160,123
114,164,123
114,451,240
114,452,240
114,454,240
114,455,240
114,460,240
114,461,240
114,485,240
115,160,123
115,163,123
115,164,123
115,247,1051
115,451,240
115,452,240
115,453,240
115,454,240
115,455,240
115,467,240
115,468,240
115,485,240
115,486,240
116,161,123
116,452,240
