"y","x","cluster_id"
37,152,301
37,153,301
38,149,301
38,151,301
38,153,301
38,154,301
39,144,301
39,147,301
39,151,301
39,152,301
39,153,301
39,154,301
39,155,301
39,158,301
40,142,301
40,143,301
40,144,301
40,145,301
40,149,301
40,153,301
40,158,301
40,159,532
40,160,532
40,162,532
40,164,532
41,138,301
41,139,301
41,140,301
41,141,301
41,142,301
41,143,301
41,144,301
41,145,301
41,146,301
41,152,301
41,155,301
41,156,301
41,158,301
41,159,532
41,160,532
41,163,532
41,164,532
41,165,532
41,166,532
42,113,301
42,114,301
42,115,301
42,120,301
42,135,301
42,137,301
42,138,301
42,139,301
42,140,301
42,141,301
42,142,301
42,143,301
42,144,301
42,145,301
42,147,301
42,152,301
42,153,301
42,159,532
42,161,532
42,164,532
42,167,532
42,174,532
43,133,301
43,134,301
43,135,301
43,136,301
43,137,301
43,138,301
43,139,301
43,140,301
43,141,301
43,143,301
43,144,301
43,164,532
43,165,532
43,169,532
43,170,532
43,171,532
43,172,532
43,178,532
44,119,301
44,130,301
44,132,301
44,133,301
44,134,301
44,135,301
44,136,301
44,137,301
44,138,301
44,139,301
44,140,301
44,144,301
44,159,532
44,166,532
44,168,532
44,170,532
44,175,532
44,177,532
45,92,301
45,123,301
45,127,301
45,128,301
45,129,301
45,130,301
45,132,301
45,133,301
45,134,301
45,140,301
45,161,532
45,164,532
45,175,532
45,176,532
45,177,532
45,178,532
45,179,532
46,111,301
46,119,301
46,120,301
46,121,301
46,122,301
46,123,301
46,124,301
46,125,301
46,127,301
46,128,301
46,130,301
46,132,301
46,133,301
46,134,301
46,140,301
46,171,532
46,172,532
46,177,532
46,178,532
46,179,532
46,180,532
46,181,532
47,119,301
47,120,301
47,121,301
47,122,301
47,123,301
47,124,301
47,125,301
47,126,301
47,127,301
47,128,301
47,129,301
47,130,301
47,135,301
47,170,532
47,175,532
47,176,532
47,177,532
47,180,532
47,181,532
47,182,532
48,109,301
48,111,301
48,112,301
48,114,301
48,115,301
48,116,301
48,117,301
48,118,301
48,119,301
48,120,301
48,121,301
48,123,301
48,124,301
48,125,301
48,126,301
48,127,301
48,135,301
48,171,532
49,108,301
49,110,301
49,111,301
49,112,301
49,113,301
49,114,301
49,115,301
49,116,301
49,117,301
49,118,301
49,120,301
49,122,301
49,123,301
49,124,301
49,183,532
49,187,532
50,109,301
50,110,301
50,111,301
50,115,301
50,116,301
50,117,301
50,120,301
50,121,301
50,122,301
50,123,301
50,124,301
50,183,532
51,108,301
51,109,301
51,110,301
51,111,301
51,118,301
51,119,301
51,121,301
51,122,301
51,123,301
51,124,301
51,173,532
51,187,532
52,107,301
52,110,301
52,113,301
52,117,301
52,120,301
52,121,301
52,122,301
52,123,301
52,163,532
52,170,532
52,181,532
52,182,532
52,183,532
52,187,532
52,195,532
52,197,532
52,198,532
53,86,969
53,106,301
53,108,301
53,116,301
53,117,301
53,118,301
53,119,301
53,120,301
53,121,301
53,122,301
53,147,301
53,170,532
53,200,532
53,201,532
54,83,969
54,84,969
54,115,301
54,116,301
54,118,301
54,119,301
54,120,301
54,121,301
54,164,532
54,165,532
54,174,532
54,182,532
55,82,969
55,83,969
55,86,969
55,99,301
55,110,301
55,111,301
55,112,301
55,113,301
55,115,301
55,116,301
55,117,301
55,118,301
55,119,301
55,120,301
55,121,301
55,122,301
55,180,532
55,181,532
55,194,532
55,198,532
55,199,532
55,201,532
55,203,532
55,205,532
56,81,969
56,82,969
56,84,969
56,96,301
56,108,301
56,109,301
56,112,301
56,115,301
56,116,301
56,117,301
56,118,301
56,119,301
56,120,301
56,121,301
56,122,301
56,137,301
56,180,532
56,186,532
56,187,532
56,188,532
56,206,532
56,207,532
56,209,532
57,82,969
57,83,969
57,84,969
57,85,969
57,86,969
57,106,301
57,107,301
57,108,301
57,113,301
57,114,301
57,116,301
57,117,301
57,118,301
57,119,301
57,120,301
57,121,301
57,178,532
57,185,532
57,186,532
57,187,532
57,200,532
57,207,532
58,81,969
58,82,969
58,83,969
58,84,969
58,85,969
58,86,969
58,87,969
58,88,969
58,89,969
58,90,969
58,93,969
58,95,301
58,96,301
58,105,301
58,107,301
58,108,301
58,109,301
58,111,301
58,114,301
58,115,301
58,116,301
58,117,301
58,118,301
58,119,301
58,120,301
58,121,301
58,143,301
58,180,532
58,202,532
59,81,969
59,82,969
59,83,969
59,84,969
59,87,969
59,88,969
59,89,969
59,90,969
59,91,969
59,92,969
59,94,969
59,99,301
59,103,301
59,104,301
59,106,301
59,108,301
59,109,301
59,112,301
59,113,301
59,114,301
59,115,301
59,116,301
59,117,301
59,118,301
59,119,301
59,120,301
59,173,532
59,179,532
59,187,532
59,207,532
59,209,532
59,211,532
59,213,532
60,79,969
60,80,969
60,81,969
60,82,969
60,85,969
60,86,969
60,87,969
60,88,969
60,89,969
60,92,969
60,93,969
60,94,969
60,95,969
60,96,301
60,97,301
60,98,301
60,101,301
60,102,301
60,103,301
60,104,301
60,105,301
60,107,301
60,108,301
60,111,301
60,112,301
60,113,301
60,114,301
60,115,301
60,116,301
60,117,301
60,118,301
60,119,301
60,165,532
60,172,532
60,173,532
60,179,532
60,219,532
60,220,532
60,221,532
60,222,532
61,74,969
61,76,969
61,77,969
61,79,969
61,80,969
61,81,969
61,82,969
61,83,969
61,84,969
61,85,969
61,86,969
61,87,969
61,89,969
61,90,969
61,91,969
61,92,969
61,93,969
61,94,969
61,95,969
61,96,969
61,97,301
61,98,301
61,99,301
61,100,301
61,101,301
61,102,301
61,103,301
61,104,301
61,105,301
61,106,301
61,107,301
61,111,301
61,112,301
61,113,301
61,114,301
61,115,301
61,116,301
61,117,301
61,118,301
61,119,301
61,186,532
61,188,532
61,189,532
61,205,532
61,219,532
61,220,532
61,221,532
61,222,532
61,223,532
61,224,532
62,72,969
62,73,969
62,74,969
62,75,969
62,76,969
62,77,969
62,78,969
62,79,969
62,80,969
62,81,969
62,82,969
62,83,969
62,84,969
62,85,969
62,88,969
62,89,969
62,90,969
62,91,969
62,92,969
62,93,969
62,94,969
62,95,969
62,96,969
62,97,301
62,98,301
62,99,301
62,100,301
62,101,301
62,102,301
62,103,301
62,104,301
62,105,301
62,106,301
62,107,301
62,108,301
62,109,301
62,110,301
62,111,301
62,112,301
62,113,301
62,114,301
62,115,301
62,117,301
62,121,301
62,166,532
62,174,532
62,180,532
62,188,532
62,191,532
62,221,532
62,223,532
62,224,532
62,228,532
62,230,532
62,231,532
63,71,969
63,72,969
63,73,969
63,74,969
63,75,969
63,76,969
63,77,969
63,78,969
63,79,969
63,80,969
63,81,969
63,82,969
63,83,969
63,84,969
63,88,969
63,89,969
63,90,969
63,91,969
63,92,969
63,93,969
63,94,969
63,95,969
63,96,969
63,97,301
63,98,301
63,99,301
63,101,301
63,102,301
63,103,301
63,104,301
63,105,301
63,107,301
63,108,301
63,109,301
63,114,301
63,115,301
63,116,301
63,119,301
63,120,301
63,135,301
63,181,532
63,185,532
63,204,532
63,219,532
63,221,532
63,224,532
63,225,532
63,227,532
64,71,969
64,72,969
64,73,969
64,74,969
64,75,969
64,76,969
64,77,969
64,78,969
64,79,969
64,80,969
64,81,969
64,82,969
64,83,969
64,84,969
64,86,969
64,87,969
64,88,969
64,89,969
64,90,969
64,91,969
64,92,969
64,93,969
64,95,969
64,96,969
64,98,301
64,99,301
64,101,301
64,103,301
64,104,301
64,108,301
64,116,301
64,119,301
64,181,532
64,182,532
64,183,532
64,215,532
64,218,532
64,219,532
64,221,532
64,222,532
64,223,532
64,237,532
65,71,969
65,73,969
65,74,969
65,75,969
65,76,969
65,77,969
65,78,969
65,79,969
65,80,969
65,81,969
65,84,969
65,85,969
65,86,969
65,87,969
65,89,969
65,90,969
65,91,969
65,92,969
65,93,969
65,94,969
65,95,969
65,96,969
65,101,301
65,102,301
65,104,301
65,105,301
65,106,301
65,111,301
65,134,301
65,181,532
65,183,532
65,185,532
65,217,532
65,219,532
65,220,532
65,222,532
65,223,532
65,231,532
65,251,1544
66,68,969
66,69,969
66,70,969
66,71,969
66,72,969
66,73,969
66,74,969
66,75,969
66,76,969
66,77,969
66,78,969
66,79,969
66,83,969
66,84,969
66,85,969
66,86,969
66,87,969
66,88,969
66,89,969
66,90,969
66,91,969
66,92,969
66,93,969
66,94,969
66,173,532
66,181,532
66,186,532
66,198,532
66,216,532
66,217,532
66,218,532
66,219,532
66,254,1544
67,66,969
67,67,969
67,68,969
67,69,969
67,71,969
67,72,969
67,73,969
67,74,969
67,75,969
67,76,969
67,77,969
67,78,969
67,83,969
67,84,969
67,86,969
67,87,969
67,88,969
67,89,969
67,91,969
67,92,969
67,94,969
67,109,301
67,178,532
67,185,532
67,218,532
67,219,532
67,220,532
67,221,532
67,223,532
68,66,969
68,67,969
68,68,969
68,69,969
68,70,969
68,73,969
68,74,969
68,75,969
68,76,969
68,77,969
