"y","x","cluster_id"
78,204,18
79,94,11
79,95,11
81,93,11
83,96,11
83,199,18
86,100,11
91,269,18
94,98,11
96,92,11
97,91,11
97,257,18
97,258,18
97,259,18
99,27,11
99,28,11
109,227,18
109,228,18
110,226,18
110,227,18
111,225,18
111,226,18
111,227,18
112,89,11
112,227,18
118,149,45
118,150,45
119,148,45
119,149,45
119,150,45
123,203,18
143,155,45
147,141,45
147,142,45
147,218,18
148,214,18
150,154,45
150,155,45
151,153,45
151,154,45
151,155,45
151,156,45
151,200,45
152,153,45
152,154,45
152,155,45
153,154,45
153,155,45
157,154,45
161,140,45
172,142,45
173,141,45
173,142,45
173,143,45
182,194,45
182,195,45
186,143,45
197,206,67
217,268,67
218,269,67
219,270,67
220,265,67
220,266,67
220,269,67
220,270,67
220,271,67
221,264,67
221,265,67
221,266,67
221,267,67
221,268,67
221,269,67
221,270,67
222,266,67
222,267,67
222,268,67
222,269,67
222,270,67
223,267,67
223,268,67
231,259,67
232,258,67
232,259,67
233,259,67
245,259,67
251,239,67
299,223,101
299,224,101
300,221,101
300,225,101
300,226,101
301,219,101
301,221,101
301,222,101
301,223,101
301,224,101
301,225,101
301,226,101
302,225,101
302,226,101
304,223,101
306,216,101
307,216,101
308,217,101
308,219,101
308,220,101
309,219,101
