"y","x","cluster_id"
24,95,87
51,125,87
52,46,87
52,124,87
52,125,87
53,45,87
53,46,87
55,124,87
73,20,87
73,21,87
74,20,87
74,21,87
78,25,87
78,26,87
78,27,87
79,25,87
79,26,87
79,27,87
79,49,87
80,49,87
81,48,87
81,49,87
81,50,87
81,51,87
82,49,87
82,50,87
83,32,87
83,50,87
84,77,87
84,78,87
84,79,87
85,75,87
85,76,87
86,74,87
86,75,87
86,76,87
87,75,87
88,37,87
88,74,87
88,75,87
91,73,87
92,74,87
93,72,87
93,73,87
94,72,87
94,74,87
94,75,87
95,55,87
95,73,87
96,48,87
96,50,87
96,53,87
96,55,87
96,74,87
97,52,87
98,46,87
98,49,87
98,50,87
98,53,87
98,517,229
98,518,229
99,516,229
99,517,229
99,518,229
100,514,229
100,516,229
100,517,229
101,515,229
101,518,229
105,501,229
106,60,87
106,61,87
106,502,229
107,60,87
107,61,87
108,61,87
108,73,87
109,61,87
109,62,87
110,61,87
110,62,87
110,70,87
111,61,87
111,62,87
111,521,229
111,524,229
112,60,87
112,61,87
112,62,87
112,67,87
112,68,87
112,71,87
112,73,87
112,519,229
112,523,229
113,60,87
113,61,87
113,62,87
113,519,229
113,520,229
113,521,229
113,522,229
113,523,229
113,524,229
114,61,87
114,70,87
114,71,87
114,72,87
114,73,87
114,74,87
114,511,229
114,519,229
114,521,229
114,522,229
114,523,229
114,524,229
115,69,87
115,70,87
115,71,87
115,72,87
115,73,87
115,74,87
115,511,229
115,524,229
115,525,229
115,526,229
116,69,87
116,70,87
116,71,87
116,72,87
116,73,87
116,518,229
116,519,229
116,520,229
116,524,229
116,525,229
116,526,229
117,70,87
117,71,87
117,74,87
117,75,87
117,519,229
117,520,229
118,71,87
118,73,87
118,74,87
118,518,229
118,520,229
118,521,229
118,522,229
118,523,229
118,524,229
118,525,229
119,36,87
119,520,229
119,521,229
119,522,229
119,523,229
119,524,229
119,525,229
119,526,229
119,527,229
120,518,229
120,522,229
120,523,229
120,524,229
120,525,229
120,526,229
121,523,229
121,524,229
121,525,229
122,34,87
122,53,87
122,497,229
122,498,229
123,498,229
123,499,229
123,500,229
123,501,229
123,519,229
123,520,229
124,34,87
124,35,87
124,39,87
124,40,87
124,498,229
124,499,229
124,518,229
124,520,229
124,521,229
125,35,87
125,38,87
125,39,87
125,40,87
125,499,229
125,500,229
126,39,87
126,40,87
126,524,229
127,39,87
127,40,87
127,518,229
128,519,229
128,522,229
128,524,229
129,519,229
129,521,229
129,522,229
129,525,229
130,519,229
130,520,229
130,521,229
130,523,229
130,525,229
130,527,229
131,520,229
131,521,229
131,522,229
131,523,229
131,524,229
132,505,229
132,521,229
132,522,229
133,42,87
133,43,87
133,117,87
133,505,229
133,509,229
133,514,229
133,518,229
133,521,229
133,523,229
134,42,87
134,43,87
134,123,87
134,504,229
134,505,229
134,506,229
134,507,229
134,520,229
135,42,87
135,43,87
135,503,229
135,504,229
135,505,229
135,506,229
135,507,229
135,524,229
136,41,87
136,42,87
136,43,87
136,503,229
136,504,229
136,505,229
136,506,229
137,41,87
137,42,87
137,43,87
137,44,87
137,503,229
137,504,229
137,505,229
137,506,229
137,511,229
137,516,229
138,41,87
138,42,87
138,43,87
138,44,87
138,503,229
138,504,229
138,505,229
138,506,229
138,507,229
138,516,229
139,41,87
139,42,87
139,44,87
139,502,229
139,503,229
139,506,229
139,514,229
139,516,229
140,503,229
140,504,229
140,505,229
140,506,229
140,511,229
140,512,229
140,514,229
141,503,229
141,504,229
141,505,229
141,506,229
141,510,229
141,512,229
141,513,229
142,504,229
142,505,229
142,506,229
142,507,229
142,508,229
142,509,229
142,510,229
142,512,229
142,513,229
142,517,229
142,522,229
143,504,229
143,505,229
143,506,229
143,507,229
143,508,229
143,509,229
143,510,229
143,511,229
143,512,229
143,518,229
144,503,229
144,504,229
144,505,229
144,506,229
144,507,229
144,508,229
144,509,229
144,510,229
144,511,229
144,512,229
144,513,229
144,514,229
144,515,229
144,522,229
145,504,229
145,505,229
145,506,229
145,507,229
145,508,229
145,509,229
145,510,229
145,511,229
145,512,229
145,513,229
146,505,229
146,506,229
146,507,229
146,508,229
146,509,229
146,510,229
146,511,229
146,512,229
146,513,229
146,514,229
146,520,229
147,505,229
147,506,229
147,507,229
147,511,229
147,512,229
147,513,229
147,514,229
147,520,229
148,506,229
148,507,229
148,508,229
148,509,229
148,510,229
148,511,229
148,512,229
148,513,229
148,514,229
148,515,229
149,506,229
149,507,229
149,508,229
149,510,229
149,511,229
149,512,229
149,513,229
149,514,229
149,515,229
149,516,229
149,519,229
150,507,229
150,508,229
150,509,229
150,511,229
150,512,229
150,513,229
150,514,229
150,515,229
150,516,229
151,508,229
151,509,229
151,512,229
151,513,229
151,514,229
151,515,229
152,48,87
152,49,87
152,50,87
152,65,87
152,66,87
152,67,87
152,68,87
152,69,87
152,509,229
152,510,229
152,511,229
152,512,229
152,513,229
152,514,229
152,515,229
153,47,87
153,48,87
153,49,87
153,64,87
153,65,87
153,66,87
153,67,87
153,68,87
153,69,87
153,510,229
153,511,229
153,512,229
153,513,229
154,46,87
154,47,87
154,512,229
154,513,229
155,45,87
155,54,87
