"y","x","cluster_id"
47,244,77
47,263,77
47,264,77
48,262,77
48,263,77
48,264,77
49,263,77
52,295,77
58,298,77
59,293,77
59,297,77
59,298,77
60,289,77
61,288,77
62,152,36
62,288,77
62,289,77
63,150,36
63,151,36
63,152,36
63,153,36
63,163,36
63,288,77
64,152,36
64,153,36
65,162,36
65,246,77
66,156,36
66,157,36
66,170,36
66,171,36
67,157,36
67,254,77
68,172,36
69,180,36
70,165,36
70,255,77
76,236,77
78,175,36
78,232,77
79,174,36
80,186,36
80,259,77
81,179,36
81,260,77
82,262,77
83,262,77
84,181,36
84,262,77
85,261,77
85,262,77
85,263,77
86,131,36
87,309,77
89,309,77
91,205,36
91,261,77
92,259,77
93,259,77
93,260,77
96,257,77
96,297,77
97,177,36
97,297,77
97,298,77
97,300,77
99,259,77
99,270,77
100,131,36
100,184,36
100,258,77
102,266,77
103,177,36
104,305,77
105,273,77
105,274,77
105,277,77
106,214,185
107,219,185
107,345,77
108,217,185
108,221,185
108,222,185
108,344,77
109,213,185
109,216,185
109,266,77
109,320,77
110,267,77
110,308,77
110,320,77
111,214,185
111,267,77
112,231,185
112,264,77
112,268,77
112,308,77
113,316,77
116,209,185
120,244,185
121,219,185
122,270,77
130,85,148
130,191,185
130,199,185
130,202,185
130,247,185
130,248,185
130,249,185
131,85,148
131,247,185
131,248,185
131,322,77
131,323,77
132,84,148
132,85,148
132,86,148
132,320,77
132,321,77
132,322,77
132,323,77
132,324,77
133,80,148
133,83,148
133,84,148
133,85,148
134,79,148
134,80,148
134,81,148
134,82,148
134,83,148
134,84,148
134,209,185
135,78,148
135,79,148
135,81,148
135,82,148
135,83,148
135,84,148
135,85,148
135,209,185
135,250,185
135,261,77
136,76,148
136,82,148
136,83,148
136,84,148
136,85,148
136,258,185
137,84,148
138,258,185
138,261,185
138,262,185
139,243,185
139,256,185
139,257,185
139,259,185
139,260,185
140,261,185
140,262,185
141,241,185
141,242,185
141,261,185
142,214,185
142,241,185
