"y","x","cluster_id"
52,142,579
52,147,579
53,92,485
53,93,485
53,117,485
53,133,579
53,137,579
53,143,579
53,146,579
53,149,579
54,92,485
54,93,485
54,114,485
54,117,485
54,129,579
54,137,579
54,138,579
54,147,579
54,149,579
54,152,579
54,153,579
55,91,485
55,94,485
55,95,485
55,101,485
55,122,579
55,123,579
55,125,579
55,128,579
55,130,579
55,131,579
55,137,579
55,138,579
55,143,579
55,144,579
55,146,579
55,154,579
56,88,485
56,91,485
56,96,485
56,97,485
56,122,579
56,131,579
56,132,579
56,133,579
56,139,579
56,143,579
57,88,485
57,95,485
57,96,485
57,97,485
57,108,485
57,113,485
57,121,579
57,122,579
57,123,579
57,132,579
57,133,579
57,139,579
57,143,579
57,144,579
57,155,579
58,88,485
58,89,485
58,91,485
58,92,485
58,93,485
58,98,485
58,108,485
58,109,485
58,110,485
58,113,485
58,117,485
58,120,579
58,121,579
58,124,579
58,128,579
58,129,579
58,132,579
58,136,579
58,138,579
58,155,579
59,88,485
59,92,485
59,109,485
59,110,485
59,112,485
59,117,485
59,120,579
59,123,579
59,124,579
59,126,579
59,128,579
59,133,579
59,152,579
59,153,579
59,154,579
60,87,485
60,88,485
60,93,485
60,94,485
60,106,485
60,107,485
60,108,485
60,109,485
60,110,485
60,116,485
60,120,579
60,122,579
60,126,579
60,134,579
60,138,579
60,153,579
61,86,485
61,87,485
61,98,485
61,99,485
61,100,485
61,101,485
61,103,485
61,105,485
61,106,485
61,107,485
61,108,485
61,109,485
61,112,485
61,116,485
61,122,579
61,123,579
61,124,579
61,125,579
61,127,579
61,129,579
61,133,579
61,138,579
61,142,579
61,143,579
61,144,579
62,86,485
62,91,485
62,93,485
62,94,485
62,98,485
62,99,485
62,103,485
62,106,485
62,107,485
62,108,485
62,109,485
62,110,485
62,112,485
62,116,485
62,129,579
62,141,579
62,142,579
62,148,579
62,149,579
62,150,579
63,86,485
63,93,485
63,94,485
63,99,485
63,101,485
63,102,485
63,103,485
63,104,485
63,107,485
63,108,485
63,109,485
63,110,485
63,112,485
63,113,485
63,114,485
63,116,485
63,119,579
63,120,579
63,129,579
63,130,579
63,132,579
63,133,579
63,141,579
63,149,579
63,150,579
64,85,485
64,86,485
64,91,485
64,92,485
64,94,485
64,95,485
64,97,485
64,99,485
64,102,485
64,103,485
64,104,485
64,108,485
64,109,485
64,112,485
64,113,485
64,114,485
64,115,485
64,116,485
64,123,579
64,124,579
64,125,579
64,126,579
64,127,579
64,128,579
64,131,579
64,141,579
64,152,579
64,153,579
64,154,579
65,85,485
65,86,485
65,87,485
65,91,485
65,92,485
65,95,485
65,99,485
65,101,485
65,107,485
65,114,485
65,115,485
65,116,485
65,123,579
65,124,579
65,125,579
65,126,579
65,127,579
65,131,579
65,132,579
65,140,579
65,141,579
65,142,579
65,152,579
66,84,485
66,85,485
66,86,485
66,87,485
66,91,485
66,92,485
66,96,485
66,97,485
66,98,485
66,99,485
66,101,485
66,107,485
66,113,485
66,116,485
66,120,579
66,122,579
66,123,579
66,124,579
66,125,579
66,126,579
66,127,579
66,136,579
66,139,579
66,140,579
66,141,579
67,84,485
67,85,485
67,87,485
67,88,485
67,89,485
67,91,485
67,92,485
67,96,485
67,97,485
67,98,485
67,99,485
67,101,485
67,113,485
67,114,485
67,115,485
67,116,485
67,121,579
67,123,579
67,124,579
67,125,579
67,126,579
67,127,579
67,128,579
67,131,579
67,136,579
67,140,579
67,141,579
67,142,579
67,144,579
68,86,485
68,87,485
68,88,485
68,89,485
68,90,485
68,91,485
68,92,485
68,93,485
68,94,485
68,97,485
68,98,485
68,99,485
68,100,485
68,101,485
68,102,485
68,103,485
68,113,485
68,114,485
68,115,485
68,116,485
68,117,579
68,120,579
68,121,579
68,122,579
68,123,579
68,124,579
68,125,579
68,126,579
68,127,579
68,128,579
68,129,579
68,130,579
68,131,579
68,132,579
68,133,579
68,136,579
68,137,579
68,138,579
68,139,579
68,140,579
68,141,579
68,142,579
68,143,579
68,144,579
68,145,579
68,155,579
68,156,579
68,158,579
69,82,485
69,83,485
69,84,485
69,87,485
69,89,485
69,90,485
69,91,485
69,92,485
69,93,485
69,97,485
69,99,485
69,101,485
69,102,485
69,113,485
69,114,485
69,115,485
69,116,485
69,117,579
69,118,579
69,120,579
69,121,579
69,122,579
69,123,579
69,124,579
69,125,579
69,126,579
69,127,579
69,128,579
69,129,579
69,130,579
69,131,579
69,132,579
69,133,579
69,136,579
69,137,579
69,138,579
69,149,579
69,150,579
70,81,485
70,82,485
70,83,485
70,84,485
70,85,485
70,88,485
70,89,485
70,91,485
70,95,485
70,97,485
70,100,485
70,103,485
70,113,485
70,114,485
70,115,485
70,116,485
70,117,579
70,123,579
70,125,579
70,131,579
70,132,579
70,133,579
70,137,579
70,140,579
70,141,579
70,142,579
70,148,579
70,149,579
70,150,579
70,168,579
70,170,579
71,81,485
71,82,485
71,83,485
71,84,485
71,85,485
71,86,485
71,87,485
71,89,485
71,90,485
71,107,485
71,113,485
71,114,485
71,115,485
71,116,485
71,117,579
71,118,579
71,124,579
71,131,579
71,132,579
71,133,579
71,143,579
71,147,579
71,148,579
71,149,579
71,158,579
71,167,579
71,171,579
71,172,579
71,173,579
72,80,485
72,81,485
72,82,485
72,83,485
72,84,485
72,85,485
72,86,485
72,87,485
72,92,485
72,97,485
72,98,485
72,104,485
72,105,485
72,106,485
72,113,485
72,114,485
72,115,485
72,116,485
72,117,579
72,118,579
72,119,579
72,120,579
72,122,579
72,123,579
72,124,579
72,131,579
72,132,579
72,133,579
72,134,579
72,135,579
72,139,579
72,140,579
72,141,579
72,142,579
72,143,579
72,144,579
72,147,579
72,148,579
72,149,579
72,167,579
72,171,579
72,172,579
72,174,579
73,80,485
73,81,485
73,82,485
73,83,485
73,84,485
73,85,485
73,96,485
73,97,485
73,103,485
73,104,485
73,105,485
73,114,485
73,115,485
73,116,485
73,117,579
73,118,579
73,119,579
73,120,579
73,122,579
73,123,579
73,124,579
73,125,579
73,131,579
73,132,579
73,133,579
73,134,579
73,135,579
73,139,579
73,140,579
73,141,579
73,142,579
73,143,579
73,147,579
73,171,579
73,172,579
73,173,579
74,79,485
74,80,485
74,81,485
74,82,485
74,83,485
74,84,485
74,85,485
74,86,485
74,87,485
74,89,485
74,90,485
74,97,485
74,100,485
74,115,485
74,116,485
74,118,579
74,119,579
74,120,579
74,121,579
74,122,579
74,123,579
74,124,579
74,125,579
74,126,579
74,132,579
74,133,579
74,134,579
74,135,579
74,136,579
74,138,579
74,139,579
74,140,579
74,141,579
74,142,579
74,143,579
74,144,579
74,157,579
74,171,579
74,176,579
75,80,485
75,81,485
75,82,485
75,83,485
75,84,485
75,85,485
75,86,485
75,87,485
75,91,485
75,98,485
75,99,485
75,100,485
75,101,485
75,116,485
75,120,579
75,121,579
75,122,579
75,123,579
75,127,579
75,131,579
75,132,579
75,133,579
75,134,579
75,135,579
75,136,579
75,137,579
75,138,579
75,139,579
75,140,579
75,141,579
75,142,579
75,143,579
75,144,579
75,145,579
75,152,579
75,168,579
75,170,579
75,171,579
75,172,579
75,174,579
75,175,579
76,80,485
76,81,485
76,82,485
76,83,485
76,84,485
76,85,485
76,86,485
76,87,485
76,88,485
76,90,485
76,91,485
76,92,485
76,98,485
76,99,485
76,101,485
76,102,485
76,103,485
76,104,485
76,105,485
76,106,485
76,117,579
76,118,579
76,119,579
76,120,579
76,121,579
76,122,579
76,126,579
76,127,579
76,128,579
76,130,579
76,131,579
76,132,579
76,135,579
76,136,579
76,137,579
76,138,579
76,139,579
76,140,579
76,141,579
76,142,579
76,143,579
76,144,579
76,145,579
76,156,579
76,168,579
76,169,579
76,170,579
76,171,579
76,172,579
76,174,579
76,175,579
77,79,485
77,81,485
77,82,485
77,83,485
77,84,485
77,85,485
77,86,485
77,87,485
77,88,485
77,89,485
77,90,485
77,93,485
77,99,485
77,100,485
77,101,485
77,102,485
77,103,485
77,107,485
77,117,579
77,118,579
77,119,579
77,120,579
77,121,579
77,122,579
77,123,579
77,124,579
77,125,579
77,126,579
77,127,579
77,128,579
77,129,579
77,131,579
77,132,579
77,133,579
77,138,579
77,139,579
77,140,579
77,141,579
77,142,579
77,143,579
77,144,579
77,152,579
77,153,579
77,167,579
77,168,579
77,169,579
77,170,579
77,171,579
77,172,579
77,174,579
78,82,485
78,83,485
78,84,485
78,85,485
78,86,485
78,87,485
78,88,485
78,89,485
78,90,485
78,93,485
78,100,485
78,101,485
78,102,485
78,103,485
78,104,485
78,107,485
78,108,485
78,110,485
78,111,485
78,112,485
78,116,485
78,117,579
78,118,579
78,119,579
78,120,579
78,121,579
78,122,579
78,123,579
78,124,579
78,125,579
78,126,579
78,127,579
78,128,579
78,129,579
78,132,579
78,135,579
78,137,579
78,138,579
78,139,579
78,140,579
78,141,579
78,142,579
78,143,579
78,152,579
78,153,579
78,167,579
78,168,579
78,169,579
78,170,579
78,171,579
78,172,579
78,173,579
78,174,579
79,81,485
79,84,485
79,85,485
79,86,485
79,87,485
79,88,485
79,89,485
79,90,485
79,91,485
79,92,485
79,93,485
79,94,485
79,100,485
79,101,485
79,102,485
79,103,485
79,104,485
79,106,485
79,107,485
79,116,485
79,117,579
79,118,579
79,119,579
79,120,579
79,121,579
79,122,579
79,123,579
79,124,579
79,125,579
79,126,579
79,127,579
79,128,579
79,132,579
79,133,579
79,135,579
79,136,579
79,137,579
79,138,579
79,139,579
79,140,579
79,141,579
79,142,579
79,143,579
79,154,579
79,167,579
79,168,579
79,169,579
79,170,579
79,171,579
80,85,485
80,86,485
80,87,485
80,88,485
80,89,485
80,90,485
80,92,485
80,93,485
80,94,485
80,95,485
80,96,485
80,100,485
80,101,485
80,102,485
80,103,485
80,107,485
80,118,579
80,119,579
80,120,579
80,121,579
80,122,579
80,123,579
80,124,579
80,125,579
80,126,579
80,127,579
80,128,579
80,129,579
80,132,579
80,133,579
80,135,579
80,136,579
80,142,579
80,166,579
80,169,579
80,170,579
80,171,579
80,172,579
80,173,579
81,78,485
81,79,485
81,80,485
81,81,485
81,83,485
81,85,485
81,86,485
81,87,485
81,88,485
81,95,485
81,96,485
81,97,485
81,100,485
81,105,485
81,106,485
81,120,579
81,122,579
81,123,579
81,124,579
81,125,579
81,126,579
81,127,579
81,128,579
81,132,579
81,133,579
81,134,579
81,136,579
81,138,579
81,142,579
81,169,579
81,170,579
81,173,579
82,77,485
82,78,485
82,79,485
82,80,485
82,81,485
82,82,485
82,83,485
82,84,485
82,85,485
82,86,485
82,87,485
82,95,485
82,96,485
82,97,485
82,122,579
82,125,579
82,126,579
82,127,579
82,128,579
82,131,579
82,132,579
82,133,579
82,139,579
82,140,579
83,78,485
83,79,485
83,80,485
83,81,485
83,82,485
83,83,485
83,84,485
83,85,485
83,86,485
83,87,485
83,92,485
83,93,485
83,94,485
83,97,485
83,100,485
83,122,579
83,126,579
83,127,579
83,128,579
83,131,579
83,132,579
83,133,579
83,134,579
83,135,579
83,139,579
84,76,2167
84,77,485
84,78,485
84,79,485
84,80,485
84,81,485
84,82,485
84,83,485
84,84,485
84,85,485
84,86,485
84,91,485
84,92,485
84,93,485
84,94,485
84,95,485
84,97,485
84,104,485
84,108,485
84,122,579
84,127,579
84,128,579
84,131,579
84,132,579
84,133,579
84,134,579
84,135,579
84,136,579
84,137,579
84,138,579
84,139,579
85,76,2167
85,77,2167
85,78,2167
85,79,2167
85,82,485
85,83,485
85,84,485
85,85,485
85,86,485
85,91,485
85,92,485
85,93,485
85,94,485
85,95,485
85,101,485
85,107,485
85,108,485
85,109,485
85,110,485
85,120,579
85,122,579
85,131,579
85,132,579
85,133,579
85,134,579
85,135,579
85,136,579
85,137,579
85,138,579
85,139,579
86,75,2167
86,76,2167
86,77,2167
86,78,2167
86,79,2167
86,80,2167
86,82,2167
86,83,2167
86,84,2167
86,85,2167
86,91,485
86,92,485
86,93,485
86,94,485
86,95,485
86,96,485
86,105,485
86,107,485
86,108,485
86,109,485
86,110,485
86,120,579
86,121,579
86,123,579
86,124,579
86,131,579
86,132,579
86,134,579
86,136,579
86,137,579
86,138,579
87,73,2167
87,74,2167
87,78,2167
87,79,2167
87,80,2167
87,83,2167
87,84,2167
87,85,2167
87,91,485
87,92,485
87,93,485
87,94,485
87,95,485
87,96,485
87,97,485
87,99,485
87,107,485
87,108,485
87,110,485
87,111,485
87,112,485
87,117,579
87,118,579
87,120,579
87,123,579
87,124,579
87,125,579
87,132,579
87,134,579
87,135,579
87,136,579
87,137,579
87,138,579
88,72,2167
88,73,2167
88,74,2167
88,75,2167
88,76,2167
88,77,2167
88,78,2167
88,79,2167
88,80,2167
88,83,2167
88,84,2167
88,85,2167
88,86,2167
88,91,2167
88,92,2167
88,93,2167
88,94,2167
