"y","x","cluster_id"
2,158,233
2,160,233
2,162,233
2,163,233
2,165,233
2,167,233
2,178,233
3,159,233
3,179,233
3,180,233
3,181,233
4,181,233
5,190,233
10,217,1147
12,194,233
13,228,1147
14,199,1147
15,121,233
15,123,233
15,124,233
15,221,1147
15,232,1147
16,114,233
16,116,233
16,117,233
16,121,233
16,124,233
16,149,233
16,230,1147
16,232,1147
17,112,233
17,113,233
17,114,233
17,115,233
17,116,233
17,117,233
17,139,233
18,110,233
18,111,233
18,112,233
18,113,233
18,114,233
18,115,233
18,116,233
19,106,233
19,108,233
19,109,233
19,110,233
19,111,233
19,112,233
19,117,233
19,137,233
19,141,233
19,145,233
20,107,233
20,109,233
20,110,233
20,123,233
20,147,233
20,177,233
20,234,1147
21,104,233
21,105,233
21,106,233
21,107,233
21,138,233
21,147,233
21,237,1147
22,103,233
22,105,233
22,106,233
22,136,233
22,137,233
23,100,233
23,101,233
23,102,233
23,105,233
23,122,233
23,123,233
23,136,233
23,137,233
23,142,233
24,98,233
24,99,233
24,100,233
24,101,233
24,102,233
24,120,233
24,124,233
24,136,233
25,100,233
25,125,233
25,137,233
26,126,233
26,127,233
26,247,1147
27,96,233
27,98,233
27,111,233
27,114,233
27,120,233
27,124,233
27,126,233
27,128,233
28,95,233
28,97,233
28,114,233
28,121,233
29,94,233
29,95,233
29,104,233
29,118,233
29,123,233
29,138,233
29,139,233
29,246,1147
29,247,1147
30,92,233
30,93,233
30,107,233
30,110,233
30,115,233
30,118,233
30,119,233
30,121,233
30,138,233
30,177,233
30,245,1147
30,246,1147
30,248,1147
31,99,233
31,102,233
31,103,233
31,117,233
31,118,233
31,119,233
31,137,233
31,234,1147
32,103,233
32,118,233
32,119,233
32,137,233
32,140,233
32,247,1147
33,110,233
33,111,233
33,112,233
33,118,233
33,119,233
33,138,233
34,103,233
35,110,233
35,136,233
35,250,1147
35,251,1147
35,272,1147
36,255,1147
36,256,1147
37,136,233
37,151,233
37,254,1147
37,255,1147
37,256,1147
38,108,233
