"y","x","cluster_id"
31,120,217
36,93,217
37,93,217
38,89,217
40,92,217
40,93,217
40,94,217
40,95,217
41,93,217
41,94,217
41,95,217
44,94,217
45,93,217
45,94,217
46,93,217
46,94,217
48,95,217
55,98,217
55,100,217
56,99,217
56,100,217
56,112,217
57,108,217
57,109,217
57,110,217
57,111,217
58,99,217
58,102,217
58,103,217
58,108,217
58,109,217
58,110,217
58,111,217
58,426,253
58,434,253
59,99,217
59,100,217
59,102,217
59,103,217
59,104,217
59,109,217
59,110,217
59,412,253
59,425,253
60,109,217
60,110,217
60,416,253
60,422,253
61,71,429
61,106,217
61,107,217
61,108,217
61,109,217
61,110,217
61,112,217
61,415,253
61,422,253
61,423,253
62,107,217
62,112,217
62,414,253
62,415,253
62,416,253
62,422,253
62,423,253
62,424,253
63,71,429
63,114,217
63,413,253
63,414,253
63,415,253
63,416,253
63,417,253
63,418,253
63,419,253
63,420,253
63,421,253
63,422,253
63,423,253
63,424,253
63,426,253
64,102,217
64,114,217
64,412,253
64,413,253
64,414,253
64,416,253
64,419,253
64,420,253
64,421,253
64,422,253
64,423,253
64,424,253
64,425,253
64,426,253
65,115,217
65,413,253
65,422,253
65,423,253
66,72,429
66,115,217
66,414,253
66,423,253
67,73,429
67,95,217
67,115,217
67,410,253
67,411,253
68,61,429
68,73,429
68,411,253
68,412,253
68,426,253
69,74,429
69,425,253
69,426,253
70,74,429
70,97,217
70,118,217
70,373,253
70,412,253
70,425,253
71,74,429
71,97,217
71,98,217
71,111,217
71,162,217
71,397,253
71,407,253
71,425,253
71,426,253
72,98,217
72,99,217
72,114,217
72,162,217
72,398,253
72,413,253
72,414,253
72,417,253
72,426,253
73,96,217
73,98,217
73,99,217
73,118,217
73,119,217
73,379,253
73,381,253
73,396,253
73,409,253
73,411,253
73,413,253
73,414,253
73,417,253
73,423,253
73,436,253
74,117,217
74,118,217
74,379,253
74,380,253
74,397,253
74,414,253
74,415,253
74,416,253
74,437,253
75,116,217
75,117,217
75,118,217
75,381,253
75,393,253
75,406,253
75,411,253
75,414,253
75,425,253
75,435,253
75,436,253
75,437,253
76,73,429
76,74,429
76,75,429
76,76,429
76,374,253
76,392,253
76,393,253
76,406,253
76,410,253
76,421,253
76,438,253
77,71,429
77,73,429
77,77,429
77,393,253
77,395,253
77,398,253
77,405,253
77,436,253
77,438,253
78,72,429
78,77,429
78,140,217
78,141,217
78,142,217
78,378,253
78,401,253
78,414,253
79,140,217
79,141,217
79,142,217
79,391,253
79,392,253
79,410,253
79,414,253
80,52,429
80,53,429
80,54,429
80,56,429
80,57,429
80,132,217
80,136,217
80,137,217
80,139,217
80,140,217
80,141,217
80,142,217
80,378,253
80,383,253
80,391,253
80,392,253
80,396,253
80,397,253
80,398,253
80,410,253
80,414,253
80,423,253
81,49,429
81,50,429
81,51,429
81,53,429
81,54,429
81,132,217
81,133,217
81,135,217
81,136,217
81,137,217
81,138,217
81,140,217
81,141,217
81,142,217
81,143,217
81,365,253
81,390,253
81,393,253
81,396,253
81,406,253
81,411,253
81,422,253
81,425,253
82,40,429
82,54,429
82,57,429
82,131,217
82,133,217
82,134,217
82,135,217
82,136,217
82,137,217
82,138,217
82,140,217
82,141,217
82,142,217
82,366,253
82,389,253
82,390,253
82,410,253
82,412,253
82,415,253
82,422,253
82,423,253
82,424,253
83,41,429
83,42,429
83,131,217
83,134,217
83,135,217
83,136,217
83,137,217
83,138,217
83,377,253
83,388,253
83,389,253
83,416,253
83,422,253
83,426,253
84,50,429
84,54,429
84,134,217
84,135,217
84,136,217
84,137,217
84,138,217
84,140,217
84,364,253
84,365,253
84,368,253
84,390,253
84,424,253
84,425,253
85,136,217
85,137,217
85,138,217
85,139,217
85,140,217
85,141,217
85,368,253
85,369,253
85,404,253
85,423,253
85,424,253
85,425,253
86,47,429
86,48,429
86,136,217
86,137,217
86,138,217
86,139,217
86,140,217
86,141,217
86,143,217
86,368,253
86,369,253
86,415,253
