"y","x","cluster_id"
17,119,51
19,110,51
19,207,51
20,124,51
21,123,51
21,124,51
22,111,51
22,123,51
23,110,51
23,123,51
24,203,51
24,206,51
25,120,51
25,128,51
25,129,51
25,130,51
26,127,51
26,128,51
26,129,51
27,123,51
27,126,51
27,127,51
27,128,51
27,129,51
27,206,51
28,124,51
28,125,51
28,126,51
28,127,51
28,128,51
28,206,51
29,122,51
29,123,51
29,124,51
29,125,51
29,126,51
29,194,51
30,100,51
30,121,51
30,122,51
30,123,51
30,124,51
30,125,51
31,121,51
31,122,51
31,123,51
31,124,51
31,125,51
32,72,51
32,121,51
32,122,51
32,294,155
33,238,155
33,245,155
34,217,51
35,232,155
36,232,155
38,164,51
39,328,155
39,329,155
39,330,155
40,103,51
40,104,51
40,325,155
40,327,155
40,328,155
40,329,155
40,330,155
40,331,155
40,332,155
40,333,155
40,334,155
41,103,51
41,104,51
41,324,155
41,328,155
41,329,155
41,330,155
41,333,155
41,334,155
41,335,155
42,50,296
42,100,51
42,103,51
42,104,51
42,312,155
42,323,155
42,327,155
42,328,155
42,330,155
42,332,155
42,333,155
42,334,155
42,335,155
42,336,155
43,93,51
43,94,51
43,99,51
43,100,51
43,101,51
43,323,155
43,324,155
43,326,155
43,327,155
43,328,155
43,331,155
43,333,155
43,335,155
43,336,155
44,74,296
44,75,296
44,94,51
44,95,51
44,99,51
44,100,51
44,101,51
44,103,51
44,322,155
44,323,155
44,324,155
44,326,155
44,327,155
44,328,155
44,332,155
44,334,155
44,336,155
44,337,155
45,74,296
45,75,296
45,93,51
45,95,51
45,235,155
45,321,155
45,323,155
45,324,155
45,325,155
45,327,155
45,328,155
46,75,296
46,241,155
46,316,155
46,325,155
46,328,155
46,329,155
46,330,155
47,104,51
47,241,155
47,327,155
47,328,155
47,330,155
48,323,155
49,89,51
49,245,155
49,321,155
49,325,155
49,327,155
50,89,51
50,90,51
50,165,51
50,245,155
50,326,155
50,327,155
50,328,155
51,90,51
51,321,155
51,325,155
52,322,155
52,325,155
52,327,155
53,82,296
53,83,296
53,343,155
54,82,296
54,83,296
54,342,155
54,343,155
55,341,155
55,342,155
55,343,155
55,344,155
56,341,155
56,342,155
56,343,155
56,344,155
56,345,155
57,341,155
57,342,155
57,343,155
57,344,155
57,345,155
58,341,155
58,342,155
58,343,155
58,344,155
58,345,155
59,246,155
59,288,155
59,341,155
59,342,155
59,343,155
59,344,155
59,345,155
60,157,51
60,341,155
60,342,155
60,343,155
60,344,155
60,345,155
61,66,296
61,343,155
61,344,155
62,66,296
62,68,296
62,69,296
62,74,296
62,75,296
62,344,155
63,66,296
63,68,296
63,69,296
64,68,296
64,69,296
65,69,296
66,68,296
66,69,296
66,70,296
66,292,155
67,68,296
67,69,296
67,341,155
68,68,296
68,69,296
68,70,296
68,71,296
69,46,296
69,47,296
69,68,296
69,69,296
69,70,296
69,208,51
69,285,500
70,47,296
70,68,296
70,69,296
70,70,296
71,67,296
71,68,296
71,70,296
72,67,296
72,68,296
76,65,296
77,63,296
77,270,500
78,63,296
78,64,296
78,65,296
78,271,500
79,65,296
79,66,296
80,66,296
80,67,296
80,68,296
81,66,296
81,67,296
81,68,296
81,318,500
81,319,500
82,68,296
82,69,296
82,70,296
82,300,500
82,311,500
82,313,500
82,319,500
82,320,500
82,321,500
83,302,500
83,311,500
83,313,500
83,320,500
83,323,500
84,71,296
84,293,500
84,295,500
84,318,500
84,319,500
84,325,500
84,326,500
85,35,296
85,36,296
85,38,296
85,39,296
85,40,296
85,41,296
85,42,296
85,61,296
85,292,500
85,293,500
85,294,500
85,295,500
85,302,500
85,320,500
85,321,500
85,324,500
86,39,296
86,40,296
86,41,296
86,43,296
86,58,296
86,291,500
86,292,500
86,293,500
86,294,500
86,295,500
86,306,500
86,324,500
86,337,500
86,338,500
86,339,500
86,340,500
87,40,296
87,42,296
87,43,296
87,120,51
87,121,51
87,128,51
87,293,500
87,294,500
87,295,500
87,300,500
87,301,500
87,319,500
87,335,500
87,336,500
87,337,500
87,338,500
87,339,500
87,340,500
88,43,296
88,44,296
88,46,296
88,56,296
88,57,296
88,58,296
88,59,296
88,60,296
88,225,500
88,294,500
88,298,500
88,299,500
88,301,500
88,302,500
88,311,500
88,318,500
88,335,500
88,338,500
89,49,296
89,50,296
89,51,296
89,52,296
89,54,296
89,56,296
89,57,296
89,58,296
89,59,296
89,60,296
89,61,296
89,62,296
89,63,296
89,296,500
89,299,500
89,300,500
89,315,500
89,316,500
89,317,500
89,335,500
89,338,500
89,339,500
89,340,500
90,49,296
90,50,296
90,51,296
90,53,296
90,55,296
90,56,296
90,57,296
90,58,296
90,59,296
90,60,296
90,61,296
90,62,296
90,299,500
90,335,500
90,336,500
90,337,500
90,338,500
91,51,296
91,52,296
91,53,296
91,55,296
91,56,296
91,57,296
91,58,296
91,59,296
91,60,296
91,61,296
91,62,296
91,68,296
91,259,500
91,335,500
92,50,296
92,51,296
92,52,296
92,56,296
92,60,296
92,61,296
92,62,296
92,63,296
92,64,296
92,224,500
92,314,500
92,315,500
92,316,500
92,321,500
93,38,296
93,39,296
93,49,296
93,50,296
93,51,296
93,53,296
93,55,296
93,56,296
93,60,296
93,61,296
93,62,296
93,67,296
93,73,296
93,74,296
93,85,296
93,86,296
93,87,296
93,88,296
93,89,296
93,316,500
93,318,500
94,34,296
94,35,296
94,36,296
94,37,296
94,38,296
94,41,296
94,42,296
94,72,296
94,73,296
94,74,296
94,75,296
94,76,296
94,84,296
94,85,296
94,86,296
94,87,296
94,318,500
94,319,500
95,34,296
95,35,296
95,36,296
95,38,296
95,71,296
95,72,296
95,73,296
95,75,296
95,76,296
95,77,296
95,318,500
95,319,500
95,320,500
96,72,296
96,73,296
96,74,296
96,75,296
96,77,296
96,111,296
96,318,500
97,30,296
97,110,296
97,111,296
97,319,500
97,339,500
98,110,296
98,111,296
98,112,296
98,340,500
99,320,500
99,321,500
99,336,500
99,338,500
99,340,500
99,341,500
100,77,296
100,317,500
100,335,500
100,336,500
101,336,500
101,341,500
101,343,500
102,336,500
102,338,500
103,22,296
103,319,500
104,21,296
104,189,635
104,321,500
104,322,500
104,340,500
105,21,296
105,319,500
105,321,500
105,322,500
105,337,500
105,338,500
105,340,500
105,341,500
106,21,296
106,320,500
106,321,500
106,324,500
106,330,500
107,330,500
108,333,500
109,270,500
111,316,500
111,335,500
112,259,500
112,290,500
112,339,500
114,337,500
115,316,500
115,317,500
115,318,500
116,288,500
116,315,500
116,316,500
116,317,500
116,318,500
116,319,500
116,336,500
116,338,500
117,19,296
117,316,500
117,317,500
117,318,500
117,319,500
117,321,500
118,117,635
