"y","x","cluster_id"
6,256,296
10,234,296
11,465,124
11,476,124
11,477,124
12,476,124
12,477,124
13,464,124
13,476,124
13,477,124
14,502,124
15,507,124
16,478,124
16,501,124
16,504,124
16,507,124
17,226,264
17,478,124
17,500,124
17,501,124
18,499,124
18,500,124
18,510,124
19,488,124
19,499,124
20,510,124
20,511,124
21,485,124
21,507,124
21,509,124
21,512,124
22,498,124
22,510,124
22,514,124
23,234,296
23,235,296
23,468,124
23,504,124
23,508,124
23,509,124
23,514,124
24,222,264
24,235,296
24,508,124
25,235,296
25,236,296
25,476,124
25,477,124
25,509,124
25,510,124
25,513,124
26,192,264
26,235,296
26,438,124
26,439,124
26,441,124
26,473,124
26,475,124
26,476,124
26,477,124
26,478,124
26,509,124
26,512,124
27,237,296
27,478,124
27,479,124
27,489,124
27,502,124
27,508,124
27,511,124
27,513,124
27,514,124
28,465,124
28,477,124
29,478,124
29,479,124
29,480,124
29,511,124
30,480,124
30,508,124
31,427,124
31,429,124
31,478,124
31,479,124
31,480,124
32,425,124
32,429,124
32,478,124
32,479,124
32,480,124
33,425,124
33,426,124
33,479,124
34,213,264
34,422,124
34,468,124
34,504,124
35,187,264
35,216,264
35,217,264
35,269,296
35,426,124
35,428,124
36,268,296
36,269,296
36,421,124
36,427,124
37,180,264
37,269,296
37,417,124
37,439,124
38,184,264
38,269,296
39,269,296
39,418,124
39,419,124
41,172,264
41,217,264
43,489,124
43,490,124
43,492,124
43,493,124
44,462,124
44,482,124
44,492,124
46,487,124
46,488,124
46,489,124
47,444,124
47,463,124
47,464,124
47,465,124
47,488,124
47,489,124
48,251,296
48,459,124
48,463,124
48,464,124
48,468,124
48,488,124
48,489,124
49,254,296
49,488,124
49,489,124
50,465,124
50,488,124
50,489,124
51,255,296
51,487,124
52,487,124
53,162,264
53,488,124
54,488,124
55,159,264
55,455,124
55,488,124
55,489,124
56,488,124
56,489,124
56,490,124
56,497,124
57,158,264
57,488,124
57,489,124
57,490,124
58,489,124
58,490,124
58,491,124
58,504,124
59,158,264
59,159,264
59,490,124
59,491,124
59,492,124
59,502,124
59,503,124
59,504,124
60,489,124
60,490,124
60,491,124
60,492,124
60,502,124
61,169,264
61,400,619
61,401,619
61,402,124
61,411,124
61,489,124
61,490,124
61,491,124
61,492,124
62,401,619
62,491,124
63,168,264
63,171,264
64,172,264
66,159,264
66,189,264
67,189,264
67,190,264
68,163,264
68,189,264
68,190,264
68,231,296
68,232,296
68,261,296
68,367,619
68,446,124
68,447,124
69,190,264
69,191,264
69,192,264
69,235,296
69,368,619
69,389,619
69,390,619
69,447,124
69,448,124
70,158,264
70,161,264
70,190,264
70,191,264
70,192,264
70,193,264
70,448,124
71,156,264
71,158,264
71,170,264
71,190,264
71,191,264
71,192,264
71,193,264
71,194,264
72,158,264
72,159,264
72,191,264
72,192,264
72,193,264
72,194,264
72,195,264
72,451,124
73,158,264
73,162,264
73,171,264
73,192,264
73,193,264
73,194,264
74,159,264
74,192,264
74,193,264
74,194,264
74,195,264
74,225,296
74,226,296
74,227,296
74,377,619
74,378,619
75,159,264
75,193,264
75,194,264
75,195,264
75,278,296
75,377,619
76,179,264
76,196,264
76,507,124
77,533,124
78,531,124
79,323,296
79,531,124
80,192,264
80,287,296
80,397,619
80,398,619
80,450,124
81,288,296
82,289,296
83,288,296
83,289,296
83,290,296
83,407,619
84,287,296
84,288,296
84,290,296
84,312,296
84,402,619
85,267,296
85,287,296
85,289,296
85,309,296
86,287,296
86,289,296
86,310,296
86,524,124
87,172,264
87,268,296
87,279,296
87,280,296
87,286,296
87,287,296
87,288,296
87,289,296
87,312,296
87,313,296
87,316,296
87,318,296
88,161,264
88,167,264
88,229,296
88,280,296
88,281,296
88,284,296
88,285,296
88,286,296
88,287,296
88,288,296
88,311,296
88,313,296
88,317,296
89,158,264
89,160,264
89,284,296
89,285,296
89,286,296
89,287,296
89,312,296
89,504,124
89,520,124
90,158,264
90,159,264
90,160,264
90,161,264
90,272,296
90,273,296
90,312,296
90,313,296
90,394,619
90,522,596
91,157,264
91,158,264
91,160,264
91,169,264
91,271,296
91,272,296
91,486,596
91,507,596
92,158,264
92,159,264
92,160,264
92,271,296
92,272,296
92,273,296
92,296,296
92,300,296
92,314,296
92,529,596
93,159,264
93,160,264
93,161,264
93,272,296
93,314,296
94,158,264
94,159,264
94,160,264
94,276,296
95,160,264
96,172,264
96,244,296
96,277,296
96,278,296
96,523,596
97,157,264
97,245,296
97,246,296
97,278,296
97,279,296
97,415,619
97,523,596
98,167,264
98,169,264
98,172,264
98,245,296
98,246,296
98,275,296
98,277,296
98,278,296
98,279,296
98,318,296
99,172,264
99,276,296
100,171,264
101,161,264
101,190,264
101,233,296
101,291,296
102,234,296
102,235,296
102,435,596
102,534,596
102,535,596
103,532,596
103,533,596
103,534,596
104,231,296
104,534,596
105,230,296
105,467,596
106,225,296
106,227,296
106,228,296
107,161,264
107,224,296
107,228,296
107,229,296
107,427,596
107,428,596
107,429,596
108,111,733
108,112,733
108,166,264
108,224,296
108,225,296
108,242,296
108,399,619
108,400,619
108,401,619
108,429,596
109,161,264
109,165,264
109,166,264
109,167,264
109,168,264
109,230,296
