"y","x","cluster_id"
102,417,214
103,417,214
104,414,214
104,415,214
104,416,214
105,414,214
105,415,214
105,416,214
106,412,214
106,413,214
106,414,214
106,423,214
107,411,214
107,412,214
107,413,214
107,423,214
107,424,214
107,425,214
108,411,214
108,412,214
108,424,214
108,425,214
109,410,214
109,411,214
109,412,214
109,414,214
109,423,214
109,424,214
109,425,214
109,426,214
110,410,214
110,411,214
110,412,214
110,413,214
110,414,214
110,422,214
110,423,214
110,424,214
110,425,214
110,426,214
111,410,214
111,411,214
111,412,214
111,413,214
111,414,214
111,422,214
111,423,214
111,424,214
111,425,214
111,426,214
111,427,214
111,429,214
112,411,214
112,412,214
112,413,214
112,421,214
112,422,214
112,423,214
112,424,214
112,425,214
112,426,214
112,427,214
113,411,214
113,412,214
113,413,214
113,414,214
113,423,214
113,424,214
113,425,214
113,426,214
113,430,214
113,431,214
114,411,214
114,412,214
114,413,214
114,414,214
114,415,214
114,416,214
114,417,214
114,422,214
114,425,214
114,426,214
114,427,214
114,428,214
114,430,214
114,431,214
114,432,214
115,411,214
115,412,214
115,413,214
115,414,214
115,415,214
115,416,214
115,417,214
115,422,214
115,423,214
115,424,214
115,425,214
115,426,214
115,427,214
115,428,214
116,410,214
116,411,214
116,413,214
116,414,214
116,416,214
116,417,214
116,418,214
116,419,214
116,420,214
116,422,214
116,424,214
116,425,214
116,426,214
116,427,214
117,409,214
117,422,214
117,423,214
117,425,214
117,426,214
118,423,214
118,424,214
118,425,214
118,426,214
118,427,214
118,428,214
118,435,214
119,424,214
119,425,214
119,426,214
119,427,214
119,428,214
119,429,214
119,430,214
120,425,214
120,426,214
120,427,214
120,428,214
120,429,214
120,430,214
121,426,214
121,427,214
121,429,214
122,415,214
122,418,214
122,419,214
122,427,214
122,428,214
122,429,214
123,407,214
123,412,214
123,427,214
123,433,214
123,434,214
123,435,214
123,436,214
124,399,214
124,416,214
124,417,214
124,432,214
124,433,214
124,434,214
124,435,214
124,436,214
125,399,214
125,400,214
125,404,214
125,409,214
125,415,214
125,418,214
125,431,214
125,434,214
125,435,214
125,436,214
126,398,214
126,399,214
126,400,214
126,408,214
126,409,214
126,413,214
126,414,214
126,415,214
126,418,214
126,419,214
126,423,214
126,434,214
126,435,214
126,436,214
126,484,528
127,398,214
127,399,214
127,400,214
127,406,214
127,407,214
127,408,214
127,412,214
127,413,214
127,414,214
127,435,214
127,436,214
127,437,214
128,398,214
128,399,214
128,400,214
128,406,214
129,272,554
129,398,214
129,399,214
129,412,214
130,398,214
130,399,214
130,500,528
131,398,214
131,411,214
132,386,214
133,363,214
133,391,214
133,487,528
134,176,554
134,363,214
134,364,214
134,385,214
134,391,214
134,487,528
134,488,528
135,177,554
135,384,214
135,385,214
135,386,214
135,402,214
135,489,528
136,174,554
136,363,214
136,364,214
136,386,214
136,387,214
136,388,214
136,389,214
136,451,214
137,175,554
137,303,554
137,364,214
137,365,214
137,386,214
137,387,214
137,388,214
137,389,214
137,430,214
137,449,214
137,504,528
138,302,554
138,303,554
138,386,214
138,387,214
138,388,214
138,389,214
138,390,214
138,448,214
138,449,214
138,467,528
138,489,528
139,179,554
139,386,214
139,387,214
139,388,214
139,390,214
139,391,214
139,392,214
139,458,528
139,459,528
139,460,528
140,176,554
140,379,214
140,386,214
140,390,214
140,391,214
140,392,214
140,393,214
140,465,528
141,386,214
141,391,214
141,392,214
141,393,214
141,425,214
141,447,214
141,452,214
142,289,554
142,386,214
142,394,214
142,464,528
143,180,554
143,394,214
143,419,214
143,435,214
143,459,528
143,491,528
144,386,214
144,419,214
145,395,214
145,401,214
145,413,214
145,417,214
145,425,214
145,502,528
145,510,528
146,175,554
146,280,554
146,300,554
146,301,554
146,336,554
146,377,214
146,399,214
146,415,214
146,428,214
147,411,214
147,412,214
147,421,214
147,422,214
147,423,214
147,425,214
147,429,214
147,433,214
148,337,554
148,381,214
148,382,214
148,409,214
148,420,214
148,426,214
148,428,214
148,464,528
148,470,528
149,186,554
149,354,214
149,379,214
149,381,214
149,382,214
149,411,214
149,420,214
149,427,214
149,435,214
149,496,528
149,512,528
150,278,554
150,305,554
150,353,214
150,381,214
150,382,214
150,383,214
150,409,214
150,410,214
150,411,214
150,412,214
150,421,214
150,425,214
150,435,214
150,513,528
151,317,554
151,351,214
151,352,214
151,353,214
151,354,214
151,381,214
151,382,214
151,383,214
151,405,214
151,409,214
151,410,214
151,411,214
151,412,214
151,413,214
151,414,214
151,417,214
151,425,214
151,426,214
151,448,214
151,489,528
151,510,528
151,514,528
152,270,554
152,317,554
152,350,214
152,381,214
152,382,214
152,383,214
152,411,214
152,412,214
152,413,214
152,417,214
152,426,214
152,437,214
153,269,554
153,284,554
153,294,554
153,303,554
153,330,554
153,345,214
153,382,214
153,412,214
153,413,214
153,414,214
153,415,214
153,437,214
153,460,528
153,494,528
153,514,528
153,517,528
153,518,528
153,519,528
154,266,554
154,411,214
154,413,214
154,414,214
154,415,214
154,454,528
154,494,528
155,272,554
155,276,554
155,302,554
155,386,214
155,412,214
155,414,214
155,415,214
155,416,214
155,421,214
155,452,528
155,459,528
155,496,528
155,497,528
156,411,214
156,414,214
156,415,214
156,423,214
156,526,528
157,266,554
157,284,554
157,287,554
157,389,214
157,391,214
157,392,214
157,411,214
157,415,214
157,416,214
157,417,214
157,428,214
157,497,528
158,179,554
158,374,214
158,375,214
158,407,214
158,415,214
158,416,214
158,417,214
158,454,528
158,497,528
159,265,554
159,330,554
159,335,554
159,391,214
159,413,214
159,415,214
159,416,214
159,417,214
159,418,214
159,427,214
159,454,528
159,474,528
159,477,528
159,483,528
159,487,528
159,539,528
160,206,554
160,405,214
160,473,528
160,474,528
160,475,528
160,476,528
160,477,528
160,500,528
161,170,554
161,365,214
161,405,214
161,417,214
161,428,214
161,466,528
161,474,528
161,478,528
161,506,528
162,312,554
162,322,554
162,328,554
162,335,554
162,378,214
162,407,214
162,408,214
162,428,214
162,460,528
162,469,528
162,472,528
162,496,528
162,522,528
163,266,554
163,293,554
163,405,214
163,420,214
163,426,214
163,428,214
163,429,214
164,298,554
164,363,947
164,418,214
164,419,214
164,429,214
164,443,214
164,477,528
164,518,528
165,266,554
165,280,554
165,289,554
165,318,554
165,361,947
165,363,947
165,418,214
165,422,214
165,425,214
165,429,214
165,430,214
165,469,528
165,492,528
165,519,528
166,314,554
166,390,214
166,410,214
166,424,214
166,428,214
166,465,528
167,266,554
167,355,947
167,356,947
167,390,214
167,414,214
167,415,214
168,355,947
168,419,214
168,439,214
168,464,528
169,263,554
169,278,554
169,356,947
169,425,214
170,276,554
170,403,214
170,417,214
170,418,214
171,269,554
171,289,554
171,363,947
171,365,947
171,399,214
171,404,214
171,406,214
172,379,947
172,399,214
172,408,214
172,424,214
