"y","x","cluster_id"
16,459,32
16,460,32
16,461,32
17,462,32
19,66,48
24,72,48
26,446,32
29,54,48
32,72,48
32,73,48
32,74,48
33,70,48
33,73,48
33,75,48
34,74,48
34,75,48
34,76,48
34,329,32
35,73,48
35,74,48
35,75,48
36,60,48
36,61,48
36,73,48
36,75,48
36,465,32
37,39,48
37,54,48
38,38,48
38,39,48
38,55,48
39,415,32
40,46,48
40,47,48
40,353,32
40,449,32
40,455,32
41,39,48
41,47,48
41,48,48
41,54,48
41,454,32
42,144,48
42,454,32
42,455,32
43,150,48
43,151,133
44,65,48
44,351,32
44,441,32
44,442,32
45,389,32
46,435,32
46,436,32
48,21,48
48,430,32
49,22,48
49,44,48
49,45,48
49,340,32
49,343,32
49,422,32
50,341,32
50,415,32
50,422,32
52,18,48
52,411,32
52,412,32
52,414,32
53,219,133
53,402,32
53,413,32
54,219,133
59,336,32
59,355,32
59,356,32
59,357,32
60,357,32
66,105,48
67,51,48
69,48,48
69,235,133
78,64,48
80,57,48
90,240,133
94,206,133
97,196,133
97,223,133
97,262,133
98,196,133
98,199,133
98,221,133
98,223,133
98,224,133
98,245,133
98,257,133
98,262,133
99,198,133
99,199,133
99,200,133
99,221,133
99,222,133
99,223,133
99,224,133
99,244,133
99,255,133
99,256,133
100,199,133
100,200,133
100,222,133
100,224,133
100,254,133
100,256,133
100,257,133
100,258,133
101,203,133
101,223,133
101,224,133
102,201,133
102,204,133
102,207,133
102,210,133
103,206,133
103,207,133
103,225,133
104,215,133
105,212,133
106,197,133
106,198,133
106,199,133
106,209,133
107,198,133
107,206,133
107,208,133
107,217,133
110,163,133
110,210,133
111,163,133
111,257,133
114,210,133
118,168,133
119,169,133
119,211,133
120,210,133
120,231,133
130,173,133
131,170,133
131,174,133
132,168,133
132,173,133
132,191,133
133,154,133
136,158,133
137,189,133
137,191,133
138,156,133
138,157,133
138,190,133
139,161,133
139,163,133
139,164,133
140,161,133
141,161,133
145,160,133
146,161,133
150,164,133
