"y","x","cluster_id"
4,532,58
6,484,58
15,422,58
17,469,58
20,463,58
22,474,58
24,640,68
28,465,58
31,654,68
37,632,68
39,581,68
42,636,68
57,277,58
59,292,58
65,438,58
66,300,58
67,616,68
70,508,58
75,289,58
78,226,86
78,401,58
79,404,58
80,212,86
83,469,58
85,422,58
88,305,58
88,409,58
89,412,58
89,425,58
91,414,58
91,432,58
91,472,58
93,473,58
94,678,68
95,679,68
97,678,68
97,679,68
98,679,68
99,234,86
99,431,58
99,679,68
101,260,58
101,411,58
101,679,68
102,424,58
102,429,58
102,441,58
102,679,68
104,442,58
105,436,58
106,428,58
109,415,58
109,445,58
113,448,58
116,438,58
116,439,58
117,259,86
117,438,58
121,325,58
123,378,58
127,327,58
128,327,58
129,203,86
131,328,58
136,264,86
137,328,58
137,611,68
137,612,68
138,250,86
143,329,58
148,74,86
154,331,58
156,331,58
159,96,86
159,588,68
159,597,68
161,74,86
161,569,68
161,588,68
162,71,86
162,86,86
162,88,86
163,573,68
164,69,86
165,73,86
170,95,86
172,62,86
172,669,68
174,84,86
176,482,58
180,18,86
181,19,86
181,21,86
183,629,68
187,456,58
189,23,86
193,482,58
194,481,58
194,482,58
195,21,86
195,472,58
195,476,58
196,472,58
196,476,58
197,472,58
197,473,58
198,484,58
199,479,58
200,236,86
201,479,58
201,480,58
203,479,58
203,480,58
203,652,68
205,552,68
207,464,58
211,474,58
212,473,58
212,474,58
213,474,58
215,478,58
216,283,213
216,284,213
218,286,213
229,472,58
232,136,86
232,310,213
237,458,58
244,130,86
246,206,213
247,138,86
249,134,86
249,137,86
249,265,213
251,135,86
252,134,86
252,135,86
254,134,86
263,130,86
263,133,86
263,134,86
264,134,86
265,130,86
267,131,86
303,304,213
303,306,213
303,307,213
304,304,213
304,307,213
305,304,213
305,305,213
305,306,213
306,304,213
306,305,213
307,304,213
307,305,213
308,304,213
308,305,213
308,308,213
309,305,213
310,304,213
310,305,213
328,290,213
329,286,213
329,288,213
330,86,343
330,286,213
330,287,213
330,288,213
330,289,213
331,287,213
331,292,213
332,286,213
332,287,213
332,288,213
332,290,213
332,291,213
332,292,213
333,286,213
333,287,213
333,291,213
334,282,213
334,284,213
334,286,213
334,290,213
334,298,213
334,299,213
334,300,213
335,79,343
336,286,213
336,288,213
341,396,213
342,389,213
342,390,213
342,392,213
342,394,213
342,395,213
343,391,213
343,394,213
343,396,213
343,399,213
344,393,213
344,394,213
344,397,213
344,398,213
345,392,213
345,394,213
345,396,213
345,397,213
347,395,213
347,397,213
348,271,213
348,273,213
350,270,213
351,267,213
351,269,213
351,270,213
351,271,213
352,264,213
352,268,213
352,269,213
353,263,213
353,264,213
353,265,213
353,266,213
353,267,213
353,268,213
353,269,213
354,263,213
354,264,213
354,265,213
354,266,213
354,267,213
354,268,213
355,262,213
355,263,213
355,264,213
355,265,213
355,266,213
355,267,213
356,261,213
356,262,213
356,263,213
356,266,213
357,261,213
357,262,213
357,263,213
357,264,213
357,265,213
358,260,213
358,261,213
358,262,213
358,263,213
358,264,213
358,265,213
359,261,213
359,263,213
359,264,213
359,265,213
360,261,213
360,262,213
360,263,213
360,264,213
361,262,213
361,263,213
361,264,213
362,261,213
362,262,213
362,267,213
363,261,213
364,260,213
376,247,213
377,246,213
379,241,213
379,244,213
380,245,213
380,246,213
385,232,213
386,222,213
386,223,213
386,224,213
386,226,213
387,226,213
387,230,213
388,225,213
388,226,213
388,227,213
389,224,213
389,226,213
389,240,213
390,240,213
390,250,213
392,205,213
393,208,213
395,198,213
396,111,343
396,204,213
397,112,343
397,126,343
397,127,343
397,209,213
400,100,343
401,60,343
401,68,343
401,97,343
401,100,343
402,57,343
402,59,343
402,97,343
402,98,343
402,99,343
402,100,343
402,101,343
403,63,343
403,64,343
403,67,343
403,97,343
403,98,343
403,99,343
403,100,343
404,60,343
404,61,343
404,62,343
404,63,343
404,64,343
404,65,343
404,66,343
404,67,343
404,69,343
404,70,343
404,71,343
404,72,343
404,96,343
404,97,343
404,98,343
404,189,213
404,196,213
404,197,213
405,63,343
405,65,343
405,69,343
405,70,343
405,87,343
405,91,343
405,92,343
405,93,343
405,96,343
405,97,343
405,197,213
405,198,213
405,199,213
406,64,343
406,84,343
406,85,343
406,86,343
406,89,343
406,90,343
406,91,343
406,92,343
406,93,343
406,95,343
406,96,343
406,97,343
406,194,213
406,196,213
406,197,213
407,65,343
407,68,343
407,74,343
407,76,343
407,78,343
407,81,343
407,82,343
407,83,343
407,84,343
407,92,343
407,250,213
408,68,343
408,70,343
408,82,343
408,83,343
408,84,343
409,87,343
409,88,343
409,91,343
409,93,343
409,250,213
410,88,343
411,83,343
411,88,343
463,163,343
465,163,343
465,164,343
