"y","x","cluster_id"
62,278,43
87,255,43
94,291,43
94,295,43
95,295,43
98,291,43
101,515,83
103,286,43
104,305,43
104,378,238
105,393,238
105,401,238
105,521,83
106,396,238
106,404,238
106,414,238
107,282,43
107,401,238
107,407,238
107,414,238
109,380,238
109,388,238
110,287,43
110,403,238
112,286,43
112,413,238
113,285,43
114,277,43
114,414,238
116,131,43
117,565,83
117,566,83
118,542,83
118,562,83
122,273,43
123,276,43
123,278,43
123,553,83
124,271,43
124,277,43
124,536,83
125,535,83
126,277,43
126,374,238
126,534,83
126,535,83
126,536,83
126,537,83
126,538,83
127,534,83
127,535,83
127,536,83
128,531,83
128,532,83
128,533,83
128,534,83
128,535,83
130,362,238
130,363,238
131,363,238
132,239,43
132,240,43
133,263,43
134,262,43
135,242,43
137,302,43
138,302,43
138,364,238
138,365,238
139,137,328
139,302,43
139,303,43
139,304,43
139,325,43
139,365,238
140,302,43
140,365,238
140,366,238
141,137,328
141,231,43
141,550,83
142,231,43
142,501,83
142,550,83
143,229,43
143,231,43
148,459,83
148,460,83
149,347,238
149,460,83
149,462,83
149,463,83
150,345,238
150,346,238
150,459,83
150,460,83
150,461,83
150,462,83
150,463,83
150,464,83
151,305,43
151,323,43
151,460,83
151,462,83
151,463,83
151,464,83
151,465,83
152,300,43
152,462,83
152,463,83
152,464,83
152,465,83
152,466,83
153,305,43
153,462,83
153,463,83
153,464,83
153,465,83
153,466,83
154,307,43
154,435,238
154,462,83
154,463,83
154,464,83
154,465,83
154,466,83
155,462,83
155,463,83
155,464,83
155,465,83
155,466,83
156,305,43
156,306,43
156,462,83
156,463,83
156,464,83
156,465,83
156,466,83
157,304,43
157,305,43
157,462,83
157,463,83
157,464,83
157,465,83
158,462,83
158,463,83
158,464,83
158,465,83
159,462,83
159,463,83
159,464,83
160,462,83
160,463,83
160,537,83
160,538,83
160,539,83
162,537,83
163,532,83
169,533,83
170,125,328
173,432,238
174,279,43
174,342,238
174,362,238
175,359,238
175,360,238
175,362,238
175,363,238
175,364,238
176,357,238
176,358,238
176,359,238
176,360,238
176,362,238
176,363,238
176,364,238
177,356,238
177,357,238
177,358,238
177,359,238
177,360,238
177,362,238
177,363,238
177,423,238
177,424,238
178,356,238
178,357,238
178,358,238
178,359,238
178,360,238
178,361,238
178,362,238
178,363,238
178,364,238
178,424,238
179,356,238
179,357,238
179,358,238
179,359,238
179,360,238
179,361,238
179,362,238
179,422,238
180,356,238
180,358,238
180,359,238
180,360,238
180,361,238
180,362,238
181,356,238
181,357,238
181,358,238
181,359,238
181,360,238
181,361,238
181,365,238
182,262,43
182,356,238
182,357,238
182,358,238
182,359,238
182,360,238
182,361,238
183,357,238
183,358,238
183,359,238
183,360,238
183,361,238
183,402,238
184,357,238
184,358,238
184,359,238
184,360,238
184,365,238
185,358,238
185,359,238
185,365,238
185,384,238
186,358,238
186,359,238
186,364,238
187,49,328
187,50,328
187,358,238
187,359,238
187,364,238
188,360,238
189,47,328
189,48,328
190,363,238
191,345,238
192,348,238
192,349,238
193,348,238
195,350,238
197,367,238
197,369,238
197,375,238
197,376,238
198,359,238
198,371,238
198,373,238
198,375,238
198,376,238
199,371,238
199,373,238
200,367,238
200,372,238
200,374,238
202,43,328
202,410,238
202,411,238
203,43,328
203,403,238
203,404,238
203,405,238
203,409,238
203,410,238
203,411,238
204,41,328
204,42,328
204,401,238
204,408,238
204,409,238
204,410,238
204,411,238
205,237,328
205,408,238
205,409,238
205,410,238
205,411,238
205,412,238
206,410,238
206,411,238
207,410,238
209,411,238
212,159,328
212,420,238
216,238,328
216,239,328
217,163,328
217,238,328
217,239,328
218,234,328
218,238,328
219,402,238
221,400,238
222,401,238
223,358,238
224,358,238
225,409,238
227,408,238
227,416,238
229,88,328
229,89,328
230,411,238
230,412,238
230,413,238
230,415,238
230,416,238
232,204,328
234,89,328
234,203,328
235,203,328
240,263,328
240,266,328
244,93,328
248,195,328
249,286,328
250,99,328
251,99,328
253,285,328
254,272,328
255,272,328
255,274,328
255,276,328
255,277,328
256,272,328
258,206,328
258,207,328
259,205,328
259,206,328
260,205,328
262,204,328
262,206,328
263,202,328
263,203,328
263,205,328
264,202,328
264,203,328
266,262,328
266,264,328
272,270,328
274,183,328
283,270,328
284,172,328
