"y","x","cluster_id"
19,106,233
24,245,75
25,244,75
25,246,75
26,244,75
26,255,75
27,243,75
27,245,75
27,249,75
27,250,75
27,252,75
27,257,75
27,258,75
27,259,75
28,244,75
28,249,75
28,250,75
28,253,75
28,258,75
28,259,75
28,260,75
28,262,75
29,251,75
29,254,75
29,258,75
29,262,75
30,244,75
30,247,75
30,256,75
30,258,75
30,259,75
30,260,75
30,261,75
30,263,75
31,223,75
31,262,75
31,263,75
32,240,75
32,244,75
32,249,75
32,251,75
32,253,75
32,263,75
33,244,75
33,246,75
33,248,75
33,256,75
33,263,75
33,266,75
34,221,75
34,223,75
34,249,75
34,250,75
34,251,75
34,263,75
34,265,75
35,220,75
35,221,75
35,222,75
35,250,75
35,262,75
35,267,75
36,264,75
36,267,75
36,268,75
37,264,75
37,267,75
38,250,75
38,253,75
38,263,75
39,254,75
39,263,75
42,256,75
42,267,75
43,259,75
43,264,75
44,273,75
45,239,75
45,240,75
45,275,75
45,276,75
46,263,75
46,275,75
46,276,75
47,258,75
47,264,75
47,276,75
48,257,75
48,265,75
48,272,75
48,273,75
48,275,75
49,242,75
49,245,75
49,260,75
49,261,75
49,264,75
49,274,75
49,275,75
50,263,75
50,264,75
50,275,75
50,276,75
50,283,75
51,246,75
51,259,75
51,261,75
51,265,75
51,272,75
51,276,75
52,148,233
52,245,75
52,246,75
52,272,75
52,283,75
53,147,233
53,148,233
53,149,233
53,150,233
53,273,75
53,275,75
54,147,233
54,148,233
54,150,233
54,151,233
54,152,233
54,153,233
54,158,233
54,259,75
54,269,75
54,271,75
54,273,75
55,137,233
55,138,233
55,139,233
55,149,233
55,150,233
55,151,233
55,153,233
55,155,233
55,156,233
55,157,233
55,158,233
55,159,233
55,160,233
55,259,75
56,137,233
56,138,233
56,143,233
56,153,233
56,156,233
56,159,233
56,160,233
56,162,233
56,246,75
56,259,75
56,262,75
56,263,75
56,279,75
57,132,233
57,133,233
57,134,233
57,135,233
57,136,233
57,138,233
57,144,233
57,148,233
57,155,233
57,156,233
57,157,233
57,161,233
57,162,233
57,247,75
57,249,75
57,259,75
57,262,75
57,271,75
57,272,75
57,279,75
58,132,233
58,135,233
58,136,233
58,137,233
58,139,233
58,140,233
58,142,233
58,144,233
58,145,233
58,147,233
58,148,233
58,149,233
58,156,233
58,157,233
58,158,233
58,159,233
58,160,233
58,161,233
58,162,233
58,247,75
58,248,75
58,264,75
58,272,75
58,273,75
