"y","x","cluster_id"
17,271,136
17,273,136
18,275,136
23,97,940
23,272,136
24,100,518
24,270,136
24,313,136
25,271,136
26,327,136
27,326,136
28,261,136
28,267,136
28,313,136
28,336,136
28,337,136
29,313,136
29,314,136
29,322,136
29,326,136
30,268,136
30,317,136
30,321,136
30,322,136
30,327,136
31,284,136
31,285,136
31,297,136
31,318,136
31,319,136
31,320,136
32,283,136
32,284,136
32,318,136
32,320,136
32,321,136
33,283,136
33,284,136
33,285,136
33,310,136
33,311,136
33,312,136
33,313,136
33,318,136
33,322,136
33,324,136
33,325,136
33,326,136
34,284,136
34,285,136
34,310,136
34,314,136
34,324,136
34,325,136
34,326,136
35,283,136
35,284,136
35,285,136
35,297,136
35,305,136
35,310,136
35,322,136
36,285,136
36,297,136
36,298,136
36,311,136
36,313,136
36,314,136
36,324,136
36,325,136
36,326,136
37,251,726
37,260,136
37,301,136
37,309,136
37,313,136
37,324,136
37,325,136
37,326,136
38,260,136
38,290,136
38,310,136
38,324,136
38,325,136
39,260,136
39,323,136
39,324,136
39,325,136
40,262,136
40,263,136
40,310,136
40,323,136
40,324,136
41,262,136
41,323,136
41,324,136
42,322,136
42,323,136
42,324,136
43,256,726
43,313,136
43,317,136
43,320,136
43,322,136
44,252,726
44,311,136
44,318,136
44,319,136
44,321,136
44,325,136
45,312,136
45,318,136
45,319,136
45,320,136
45,321,136
45,325,136
45,326,136
45,332,136
46,308,136
46,317,136
46,318,136
46,319,136
46,320,136
46,325,136
46,326,136
47,318,136
47,319,136
47,333,136
48,317,136
48,318,136
48,319,136
48,324,136
48,333,136
49,242,726
50,247,726
50,318,136
50,332,136
51,332,136
52,335,136
53,236,726
53,323,136
53,332,136
53,336,136
54,234,726
54,235,726
54,236,726
54,237,726
54,332,136
54,340,136
55,238,726
55,241,726
55,330,136
55,331,136
56,228,726
56,331,136
57,228,726
57,229,726
57,323,136
57,337,136
57,339,136
58,229,726
58,230,726
58,324,136
58,325,136
58,330,136
58,337,136
58,338,136
59,144,518
59,167,518
59,169,518
59,170,518
59,227,726
59,228,726
59,229,726
59,255,726
59,323,136
59,330,136
59,335,136
59,337,136
59,338,136
59,339,136
60,144,518
60,165,518
60,171,518
60,208,726
60,228,726
60,232,726
60,245,726
60,329,136
60,330,136
60,336,136
60,337,136
60,338,136
60,342,136
61,162,518
61,163,518
61,164,518
61,196,726
61,197,726
61,225,726
61,231,726
61,315,136
61,318,136
61,338,136
62,150,518
62,153,518
62,154,518
62,164,518
62,181,518
62,311,136
62,314,136
62,336,136
62,340,136
63,143,518
63,152,518
63,153,518
63,154,518
63,155,518
63,156,518
63,158,518
63,164,518
63,181,518
63,220,726
63,312,136
63,337,136
63,338,136
64,141,518
64,142,518
64,143,518
64,156,518
64,161,518
64,219,726
64,224,726
64,316,136
64,328,136
64,333,136
64,335,136
64,336,136
64,337,136
64,338,136
64,341,136
65,141,518
65,142,518
65,143,518
65,144,518
65,146,518
65,152,518
65,160,518
65,161,518
65,162,518
65,184,518
65,314,136
65,322,136
65,329,136
65,334,136
65,335,136
65,336,136
65,337,136
66,141,518
66,142,518
66,143,518
66,219,726
66,235,726
66,322,136
66,328,136
66,334,136
66,335,136
66,336,136
66,337,136
67,141,518
67,142,518
67,143,518
67,154,518
67,167,518
67,332,136
67,333,136
67,334,136
67,339,136
67,340,136
68,168,518
68,169,518
68,210,726
68,220,726
68,221,726
68,231,726
68,332,136
68,333,136
68,346,817
69,131,518
69,193,518
69,307,136
69,322,136
69,328,136
69,331,136
69,333,136
69,334,136
69,336,136
69,337,136
70,129,518
70,131,518
70,158,518
70,184,518
70,204,726
70,324,136
70,329,136
70,333,136
70,334,136
70,335,136
71,139,518
71,184,518
71,226,726
71,315,136
71,328,136
71,329,136
71,332,136
71,333,136
71,334,136
71,337,817
72,137,518
72,186,518
72,209,726
72,309,136
72,327,136
72,328,136
72,329,136
72,330,136
72,331,136
72,332,136
72,338,817
73,132,518
73,201,726
73,205,726
73,231,726
73,326,136
73,329,136
73,330,136
73,331,136
73,332,817
73,336,817
73,337,817
73,345,817
73,346,817
73,347,817
73,348,817
74,119,518
74,120,518
74,124,518
74,132,518
74,206,726
74,207,726
74,210,726
74,223,726
74,233,726
74,235,726
74,299,136
74,301,136
74,316,136
74,328,136
74,329,817
74,331,817
74,332,817
74,335,817
74,336,817
74,337,817
74,344,817
74,345,817
74,346,817
74,347,817
74,348,817
74,349,817
74,350,817
74,351,817
74,352,817
75,173,518
75,300,136
75,311,136
75,319,136
75,327,817
75,328,817
75,329,817
75,330,817
75,331,817
75,335,817
75,336,817
75,344,817
75,345,817
75,346,817
75,347,817
75,348,817
75,349,817
75,350,817
75,351,817
75,352,817
75,353,817
76,119,940
76,201,726
76,213,726
76,214,726
76,311,136
76,324,817
76,326,817
76,327,817
76,328,817
76,329,817
76,330,817
76,331,817
76,334,817
76,335,817
76,336,817
76,352,817
77,71,940
77,72,940
77,141,518
77,150,518
77,157,518
77,158,518
77,191,518
77,232,726
77,242,726
77,244,726
77,312,136
77,318,136
77,323,817
77,327,817
77,328,817
77,329,817
77,330,817
77,336,817
78,73,940
78,107,940
78,121,518
78,122,518
78,126,518
78,175,518
78,185,518
78,188,518
78,191,518
78,241,726
78,304,136
78,335,817
78,342,817
79,136,518
79,190,518
79,191,518
79,193,518
79,204,726
79,235,726
79,239,726
79,240,726
79,241,726
79,316,817
79,317,817
79,322,817
79,333,817
79,335,817
80,103,940
80,171,518
80,183,518
80,240,726
80,241,726
80,315,817
80,316,817
80,317,817
80,333,817
80,335,817
80,337,817
81,211,726
81,230,726
81,240,726
81,242,726
81,254,726
81,304,136
81,313,817
81,315,817
81,316,817
81,334,817
81,335,817
81,336,817
82,73,940
82,74,940
82,75,940
82,87,940
82,102,940
82,121,940
82,148,518
82,178,518
82,229,726
82,242,726
82,323,817
82,326,817
82,329,817
82,334,817
82,335,817
82,339,817
83,75,940
83,87,940
83,174,518
83,177,518
83,181,518
83,187,518
83,224,726
83,225,726
83,226,726
83,227,726
83,230,726
83,234,726
83,239,726
83,249,726
83,322,817
83,330,817
83,333,817
83,334,817
83,335,817
83,336,817
83,347,817
84,124,518
84,147,518
84,160,518
84,182,518
84,219,726
84,220,726
84,224,726
84,225,726
84,226,726
84,238,726
84,239,726
84,322,817
84,333,817
84,334,817
84,335,817
84,336,817
84,346,817
84,347,817
84,348,817
84,349,817
85,136,518
85,149,518
85,172,518
85,173,518
85,175,518
85,176,518
85,219,726
85,226,726
85,227,726
85,238,726
85,239,726
85,246,726
85,247,726
85,312,817
85,325,817
85,326,817
85,330,817
85,331,817
85,336,817
85,345,817
85,346,817
85,347,817
85,348,817
85,349,817
85,350,817
86,153,518
86,174,518
86,187,518
86,219,726
86,220,726
86,222,726
86,226,726
86,241,726
86,308,817
86,332,817
86,337,817
86,346,817
86,347,817
86,348,817
86,349,817
86,350,817
87,94,940
