"y","x","cluster_id"
58,197,7
60,153,7
60,193,7
60,195,7
60,197,7
61,194,7
62,194,7
66,140,7
66,319,7
67,139,7
67,140,7
67,144,7
68,140,7
68,141,7
69,274,7
69,275,7
70,139,7
70,140,7
70,213,7
70,275,7
70,281,7
71,139,7
71,140,7
71,274,7
71,275,7
72,139,7
72,140,7
72,141,7
74,137,7
75,119,7
75,137,7
76,276,7
78,125,7
79,125,7
79,126,7
80,125,7
80,434,72
98,199,7
112,461,72
120,145,7
128,462,72
141,422,72
142,190,7
143,137,97
147,141,97
152,156,97
153,154,97
153,156,97
154,496,72
158,420,72
164,420,72
177,422,72
179,419,72
186,121,97
188,142,97
188,306,72
189,121,97
189,384,72
190,429,72
191,395,72
193,110,97
193,122,97
193,130,97
194,108,97
194,109,97
194,110,97
194,396,72
195,109,97
197,130,97
198,385,72
199,387,72
199,412,72
201,144,97
201,237,205
201,261,205
203,172,97
206,177,97
224,225,205
228,128,97
228,375,72
228,376,72
228,405,72
229,373,72
229,374,72
229,381,72
230,383,72
230,384,72
232,194,97
232,397,72
232,406,72
233,386,72
233,398,72
236,191,97
238,202,97
238,392,72
238,396,72
240,117,97
240,399,72
241,115,97
241,241,205
243,399,72
244,193,97
246,173,97
252,110,97
252,111,97
252,112,97
252,219,205
253,110,97
253,111,97
254,109,97
254,110,97
254,111,97
254,112,97
254,116,97
254,229,205
254,231,205
255,104,97
255,109,97
255,110,97
255,111,97
255,112,97
255,113,97
255,114,97
255,115,97
255,116,97
255,117,97
255,228,205
255,229,205
255,230,205
255,231,205
256,109,97
256,110,97
256,111,97
256,112,97
256,113,97
256,114,97
256,115,97
256,116,97
256,117,97
256,229,205
256,230,205
257,109,97
257,111,97
257,112,97
257,113,97
257,114,97
257,115,97
257,116,97
257,229,205
257,230,205
259,322,205
260,110,97
264,106,97
265,99,97
265,100,97
265,241,205
266,98,97
268,80,97
277,305,205
279,272,205
282,185,97
292,304,205
298,300,205
305,244,205
305,246,205
305,251,205
305,255,205
306,244,205
306,245,205
306,246,205
306,247,205
307,245,205
307,246,205
307,247,205
307,249,205
308,244,205
308,245,205
308,246,205
308,247,205
308,271,205
308,272,205
308,273,205
308,274,205
308,276,205
309,243,205
309,244,205
309,245,205
309,246,205
309,247,205
309,270,205
309,271,205
309,273,205
310,243,205
310,244,205
310,245,205
310,270,205
310,271,205
310,272,205
310,273,205
310,274,205
311,240,205
311,243,205
311,244,205
311,245,205
311,269,205
311,270,205
311,271,205
311,272,205
311,273,205
311,276,205
312,243,205
312,269,205
312,270,205
312,271,205
312,272,205
313,270,205
318,264,205
325,284,205
328,283,205
334,294,205
342,273,205
342,293,205
342,509,72
343,271,205
343,513,72
346,299,205
347,284,205
347,296,205
347,298,205
349,267,205
350,296,205
351,296,205
351,297,205
352,270,205
353,273,205
353,276,205
355,266,205
359,308,205
359,309,205
372,329,205
374,351,205
375,320,205
375,353,205
401,326,205
