"y","x","cluster_id"
53,407,71
55,404,71
59,371,71
59,390,71
60,390,71
61,445,71
61,450,71
62,306,261
63,357,71
65,293,204
65,429,71
66,218,204
66,219,204
66,246,204
67,155,204
67,157,204
68,269,204
69,134,204
71,267,204
72,128,204
76,141,204
77,467,71
84,478,71
85,136,204
85,478,71
86,477,71
87,476,71
88,372,71
90,166,204
91,472,71
92,470,71
93,471,71
93,483,71
94,471,71
94,472,71
94,479,71
95,371,71
95,473,71
95,613,71
97,475,71
97,476,71
97,617,71
98,470,71
98,471,71
98,474,71
98,475,71
98,480,71
98,481,71
98,618,71
99,472,71
99,475,71
99,476,71
99,481,71
100,460,71
100,472,71
100,473,71
100,474,71
100,475,71
100,476,71
100,477,71
100,480,71
100,481,71
101,476,71
101,478,71
101,480,71
101,481,71
102,438,71
102,457,71
102,458,71
102,459,71
103,480,71
103,491,71
103,492,71
104,463,71
104,465,71
104,479,71
104,481,71
104,482,71
104,491,71
104,492,71
104,493,71
104,494,71
104,495,71
104,496,71
105,480,71
105,481,71
105,482,71
105,493,71
105,494,71
105,495,71
105,496,71
105,497,71
106,489,71
106,490,71
106,494,71
106,495,71
106,496,71
106,497,71
106,498,71
106,499,71
106,500,71
107,140,204
107,468,71
107,470,71
107,471,71
107,472,71
107,473,71
107,474,71
107,493,71
107,494,71
107,495,71
107,496,71
107,497,71
107,498,71
107,499,71
107,500,71
107,501,71
108,470,71
108,472,71
108,473,71
108,492,71
108,493,71
108,494,71
108,497,71
108,498,71
108,499,71
108,500,71
108,501,71
109,495,71
109,496,71
109,497,71
109,498,71
109,499,71
109,500,71
109,501,71
109,502,71
110,141,204
110,463,71
110,464,71
110,466,71
110,495,71
110,496,71
110,497,71
110,498,71
110,499,71
110,500,71
110,501,71
110,502,71
111,142,204
111,497,71
111,498,71
111,499,71
111,500,71
111,501,71
111,502,71
111,503,71
111,506,71
112,451,71
112,452,71
112,499,71
112,500,71
112,501,71
112,502,71
112,503,71
112,505,71
112,506,71
112,507,71
113,459,71
113,460,71
114,458,71
115,456,71
115,457,71
118,272,204
118,443,71
122,347,261
123,437,71
123,439,71
124,437,71
124,438,71
125,437,71
126,327,261
129,430,71
132,371,261
135,303,261
139,152,204
143,294,261
143,347,261
147,346,261
147,410,71
148,345,261
149,168,204
150,299,261
150,608,71
152,123,204
154,412,261
155,346,261
156,131,204
157,413,261
158,115,204
161,68,204
164,155,204
165,142,204
168,235,204
170,176,204
170,180,204
171,126,204
178,398,261
182,242,382
183,347,261
189,189,204
190,333,261
191,336,261
191,338,261
192,166,204
192,180,204
193,166,204
193,175,204
193,320,261
198,201,204
199,290,382
200,176,204
200,177,204
200,243,382
202,171,204
202,177,204
202,179,204
202,183,204
202,186,204
202,197,204
202,200,204
203,170,204
203,184,204
203,193,204
203,196,204
203,197,204
203,199,204
203,202,204
204,162,204
204,169,204
204,195,204
204,196,204
205,163,204
205,182,204
205,195,204
205,243,382
206,182,204
206,183,204
206,293,382
207,186,204
208,390,261
209,203,382
211,187,204
211,202,382
211,203,382
212,177,204
212,178,204
213,205,382
213,209,382
213,213,382
214,205,382
214,355,261
214,390,261
216,382,261
217,189,204
217,378,261
217,380,261
217,381,261
217,383,261
218,208,382
218,379,261
218,380,261
218,381,261
219,212,382
219,382,261
219,384,261
220,214,382
220,216,382
220,252,382
220,383,261
221,211,382
221,255,382
221,383,261
222,383,261
222,384,261
223,251,382
223,252,382
223,384,261
224,247,382
224,252,382
224,253,382
224,254,382
224,255,382
224,257,382
224,258,382
224,263,382
224,382,261
225,247,382
225,248,382
225,252,382
225,253,382
225,254,382
225,255,382
225,256,382
225,257,382
225,258,382
225,259,382
225,260,382
225,381,261
225,382,261
226,244,382
226,247,382
226,253,382
226,256,382
226,257,382
226,258,382
226,259,382
226,270,382
226,379,261
226,381,261
226,382,261
227,228,382
227,230,382
227,231,382
227,241,382
227,242,382
227,247,382
227,248,382
227,251,382
227,252,382
227,253,382
227,254,382
227,255,382
227,256,382
227,257,382
227,258,382
227,259,382
227,378,261
228,229,382
228,230,382
228,231,382
228,243,382
228,244,382
228,245,382
228,246,382
228,248,382
228,253,382
228,254,382
228,256,382
228,257,382
228,379,261
229,233,382
229,242,382
229,243,382
229,244,382
229,245,382
229,247,382
229,248,382
229,249,382
229,253,382
229,255,382
229,257,382
229,259,382
229,276,382
229,374,261
229,375,261
229,379,261
230,233,382
230,242,382
230,244,382
230,245,382
230,247,382
230,249,382
230,250,382
230,257,382
230,258,382
230,276,382
230,292,382
230,375,261
230,376,261
230,379,261
231,220,382
231,236,382
231,241,382
231,244,382
231,246,382
231,247,382
231,255,382
231,376,261
232,234,382
232,235,382
232,236,382
232,255,382
232,256,382
232,257,382
232,373,261
233,226,382
233,232,382
233,233,382
233,234,382
233,242,382
234,225,382
234,227,382
234,233,382
234,255,382
234,326,261
235,222,382
235,253,382
236,224,382
236,225,382
236,237,382
236,340,261
237,227,382
237,340,261
238,228,382
238,230,382
238,340,261
238,341,261
238,342,261
238,343,261
239,339,261
239,340,261
239,341,261
239,342,261
239,343,261
240,342,261
240,345,261
241,341,261
241,342,261
241,343,261
241,344,261
242,340,261
242,341,261
242,342,261
242,356,261
242,357,261
246,358,261
246,360,261
249,219,382
254,209,382
254,217,382
255,208,382
256,214,382
256,215,382
257,208,382
259,362,261
261,207,382
269,360,261
270,153,382
270,154,382
271,153,382
271,154,382
271,383,261
272,155,382
273,154,382
275,158,382
279,163,382
283,169,382
304,296,382
307,305,382
314,294,382
316,307,382
316,308,382
317,307,382
317,308,382
318,308,382
319,308,382
