"y","x","cluster_id"
53,285,200
54,305,200
79,386,202
102,428,202
104,431,202
110,420,202
111,438,202
112,419,202
112,420,202
112,440,202
113,437,202
113,438,202
116,435,202
116,436,202
119,440,202
121,363,202
121,442,202
121,443,202
122,414,202
124,414,202
124,415,202
142,276,200
142,279,200
143,278,200
143,279,200
143,280,200
143,360,202
144,276,200
144,280,200
145,279,200
145,280,200
145,358,202
146,280,200
146,359,202
146,383,202
147,281,200
147,283,200
147,355,202
147,358,202
147,359,202
147,371,202
147,372,202
148,280,200
148,283,200
148,371,202
148,372,202
149,277,200
149,280,200
149,283,200
149,372,202
150,277,200
150,280,200
150,354,202
150,376,202
150,377,202
151,279,200
151,280,200
151,376,202
152,58,920
152,280,200
152,375,202
153,357,202
153,363,202
153,375,202
153,381,202
154,284,200
154,285,200
154,333,202
154,357,202
154,376,202
154,380,202
154,381,202
154,383,202
155,361,202
155,362,202
155,376,202
155,380,202
156,359,202
156,361,202
156,362,202
156,385,202
157,385,202
158,384,202
159,340,202
160,379,202
161,349,202
161,359,202
161,366,202
161,367,202
161,378,202
161,379,202
162,256,200
162,268,200
162,373,202
164,257,200
164,362,202
164,377,202
164,389,202
164,397,202
165,283,200
165,361,202
165,377,202
165,378,202
165,397,202
165,398,202
166,63,920
166,397,202
167,356,202
167,370,202
167,377,202
167,395,202
167,396,202
167,397,202
168,321,200
168,352,202
168,354,202
168,395,202
168,396,202
169,297,200
169,376,202
169,384,202
170,257,200
170,294,200
170,297,200
171,352,202
171,354,202
171,357,202
171,373,202
172,298,200
172,350,202
172,352,202
173,294,200
173,333,202
173,354,202
173,363,202
173,368,202
173,383,202
173,384,202
174,245,200
174,294,200
174,329,202
174,350,202
174,351,202
174,355,202
174,361,202
174,362,202
174,364,202
174,365,202
174,382,202
174,383,202
174,384,202
174,385,202
174,396,202
175,204,494
175,294,200
175,323,202
175,324,202
175,327,202
175,328,202
175,351,202
175,352,202
175,353,202
175,362,202
175,381,202
175,382,202
175,383,202
175,384,202
175,395,202
175,396,202
176,214,494
176,223,494
176,294,200
176,326,202
176,327,202
176,328,202
176,329,202
176,352,202
176,359,202
176,380,202
176,381,202
176,382,202
176,383,202
176,384,202
177,243,200
177,286,200
177,322,200
177,326,202
177,329,202
177,341,202
177,344,202
177,345,202
177,374,202
177,380,202
178,214,494
178,215,494
178,257,200
178,344,202
178,373,202
179,219,494
179,276,200
179,293,200
179,368,202
179,373,202
179,380,202
179,391,202
180,254,200
180,334,202
180,347,202
180,373,202
181,334,202
181,335,202
181,367,202
181,376,202
182,334,202
182,352,202
182,353,202
182,376,202
182,379,202
183,209,494
183,333,202
183,334,202
183,352,202
183,360,202
183,378,202
184,155,803
184,213,494
184,215,494
184,230,494
184,291,200
184,360,202
184,365,202
185,197,494
185,214,494
185,216,494
185,217,494
185,218,494
185,302,200
185,360,202
186,214,494
186,217,494
186,218,494
186,219,494
186,252,200
186,302,200
186,364,202
186,365,202
186,379,202
187,200,494
187,218,494
187,219,494
187,248,200
187,379,202
188,199,494
188,203,494
188,204,494
188,209,494
188,218,494
188,219,494
188,231,494
188,301,200
188,312,200
188,379,202
188,381,202
189,156,803
189,199,494
189,200,494
189,201,494
189,203,494
189,204,494
189,217,494
189,218,494
189,219,494
189,231,494
189,253,200
189,256,200
189,257,200
189,358,202
189,367,202
190,158,803
190,183,494
190,199,494
190,203,494
190,208,494
190,217,494
190,218,494
190,219,494
190,222,494
190,255,200
190,357,202
190,363,202
190,379,202
191,154,803
191,158,803
191,159,803
191,183,494
191,184,494
191,200,494
191,202,494
191,206,494
191,208,494
191,209,494
191,210,494
191,211,494
191,218,494
191,253,200
191,254,200
191,255,200
191,355,202
191,356,202
191,357,202
191,363,202
191,377,202
191,378,202
191,379,202
192,184,494
192,185,494
192,186,494
192,202,494
192,203,494
192,208,494
192,211,494
192,218,494
192,232,494
192,248,200
192,253,200
192,254,200
192,255,200
192,256,200
192,356,202
192,362,202
192,363,202
193,186,494
193,203,494
193,207,494
193,209,494
193,211,494
193,212,494
193,213,494
193,214,494
193,215,494
193,216,494
193,217,494
193,218,494
193,219,494
193,231,494
193,248,200
193,251,200
193,252,200
193,253,200
193,254,200
193,255,200
193,270,200
193,271,200
193,355,202
193,357,202
193,362,202
194,185,494
194,186,494
194,187,494
194,206,494
194,207,494
194,208,494
194,209,494
194,210,494
194,211,494
194,212,494
194,213,494
194,214,494
194,216,494
194,217,494
194,218,494
194,220,494
194,231,494
194,232,494
194,253,200
194,254,200
194,269,200
194,270,200
194,355,202
194,356,202
195,185,494
195,186,494
195,203,494
195,205,494
195,208,494
195,209,494
195,210,494
195,211,494
195,212,494
195,213,494
195,214,494
195,215,494
195,230,494
195,269,200
