"y","x","cluster_id"
82,216,175
100,240,175
103,236,175
107,258,98
111,292,98
115,197,175
115,313,98
116,210,175
118,212,175
118,213,175
120,204,175
123,331,98
128,192,175
128,363,98
130,189,175
130,327,98
131,329,98
131,330,98
132,326,98
132,328,98
132,334,98
132,340,98
133,197,175
133,219,175
133,331,98
133,333,98
133,334,98
133,338,98
134,192,175
134,215,175
134,326,98
134,327,98
134,339,98
134,341,98
135,189,175
135,326,98
135,327,98
136,189,175
136,190,175
136,328,98
137,191,175
137,193,175
139,120,175
139,334,98
141,195,175
141,377,98
142,175,175
142,176,175
142,177,175
142,184,175
142,185,175
142,186,175
142,187,175
142,189,175
142,190,175
142,321,98
143,183,175
143,184,175
143,188,175
143,189,175
143,190,175
143,191,175
143,192,175
143,194,175
143,197,175
143,388,98
144,185,175
144,188,175
144,189,175
144,190,175
144,191,175
144,192,175
144,193,175
144,245,175
144,388,98
145,188,175
145,189,175
145,190,175
145,191,175
145,192,175
145,196,175
145,313,98
148,116,175
148,218,175
149,129,175
149,341,98
150,116,175
150,131,175
150,224,175
150,413,386
151,123,175
151,127,175
151,129,175
151,131,175
152,176,175
152,179,175
153,179,175
153,331,98
153,427,386
154,131,175
155,121,175
155,123,175
155,124,175
155,125,175
155,196,175
156,124,175
156,133,175
158,181,175
159,128,175
159,180,175
161,170,175
163,456,386
163,457,386
164,455,386
164,456,386
164,457,386
164,458,386
164,460,386
165,414,386
165,456,386
165,457,386
165,458,386
165,459,386
166,179,175
166,310,98
166,458,386
168,154,175
169,235,175
170,107,175
170,156,175
170,157,175
170,158,175
170,159,175
170,160,175
170,173,175
170,327,98
170,479,386
171,148,175
171,157,175
171,158,175
171,159,175
171,160,175
171,479,386
171,480,386
172,145,175
172,147,175
172,148,175
172,150,175
172,156,175
172,157,175
172,158,175
172,165,175
172,478,386
172,479,386
172,480,386
173,144,175
173,145,175
173,146,175
173,147,175
173,148,175
173,149,175
173,150,175
173,163,175
173,164,175
173,180,175
173,215,175
173,344,98
173,345,98
173,478,386
173,479,386
173,480,386
174,146,175
174,147,175
174,148,175
174,169,175
174,170,175
174,216,175
174,255,98
174,321,98
174,343,98
174,345,98
174,443,386
174,477,386
174,478,386
174,479,386
174,480,386
175,142,175
175,143,175
175,144,175
175,145,175
175,146,175
175,147,175
175,173,175
175,346,98
175,477,386
175,478,386
175,479,386
175,480,386
176,90,645
176,144,175
176,145,175
176,146,175
177,143,175
177,144,175
177,145,175
177,146,175
177,147,175
177,148,175
178,100,645
178,142,175
178,143,175
178,144,175
178,145,175
178,146,175
178,147,175
178,148,175
178,178,175
178,446,386
178,457,386
179,89,645
179,96,645
179,143,175
179,144,175
179,145,175
179,146,175
179,147,175
179,148,175
179,446,386
179,461,386
179,462,386
180,109,645
180,142,175
180,143,175
180,144,175
180,145,175
180,146,175
180,147,175
180,203,175
180,204,175
180,457,386
180,458,386
180,459,386
181,142,175
181,143,175
181,144,175
181,145,175
181,146,175
181,171,175
181,177,175
181,178,175
181,434,386
181,457,386
181,458,386
182,142,175
182,143,175
182,144,175
182,145,175
182,146,175
182,183,175
183,142,175
183,143,175
183,144,175
183,145,175
183,146,175
183,173,175
183,174,175
184,142,175
184,143,175
184,144,175
184,145,175
184,151,175
184,185,175
185,143,175
185,144,175
185,145,175
186,145,175
186,149,175
187,149,175
187,150,175
188,93,645
188,149,175
188,150,175
188,151,175
188,356,98
188,422,386
188,440,386
189,67,645
189,69,645
189,70,645
189,71,645
189,148,175
189,149,175
189,150,175
189,151,175
189,353,98
189,457,386
190,68,645
190,69,645
191,67,645
191,76,645
191,454,386
192,66,645
192,76,645
192,148,175
192,210,175
192,231,175
192,268,98
193,74,645
193,77,645
193,78,645
193,148,175
193,149,175
193,150,175
193,176,175
193,232,175
194,73,645
194,76,645
194,77,645
194,78,645
194,149,175
194,150,175
194,151,175
194,164,175
194,229,175
194,230,175
194,394,386
194,463,386
194,467,386
194,471,386
194,539,386
195,73,645
195,74,645
195,77,645
195,78,645
195,79,645
195,84,645
195,91,645
195,93,645
195,144,175
195,145,175
195,148,175
195,150,175
195,230,175
196,76,645
196,77,645
196,78,645
196,82,645
196,83,645
196,84,645
196,85,645
196,86,645
196,91,645
196,93,645
196,141,175
196,147,175
196,148,175
196,149,175
196,150,175
196,220,175
196,230,175
197,76,645
197,77,645
197,79,645
197,85,645
197,88,645
197,140,175
197,141,175
197,142,175
197,456,386
197,457,386
198,77,645
198,88,645
198,91,645
198,139,175
198,140,175
198,141,175
198,142,175
198,143,175
198,456,386
199,91,645
199,139,175
199,145,175
199,223,175
199,456,386
199,467,386
199,468,386
200,138,175
200,139,175
200,179,175
200,438,386
201,137,175
201,145,175
201,182,175
202,242,1034
202,444,386
202,456,386
203,134,175
203,136,175
203,137,175
203,180,175
203,182,175
203,211,175
204,129,645
204,135,175
204,136,175
204,143,175
204,166,175
204,460,386
205,137,175
205,160,175
205,175,175
205,181,175
205,244,1034
205,293,98
205,355,98
205,461,386
206,174,175
206,179,175
206,180,175
206,269,98
206,445,386
206,490,386
207,129,645
207,151,175
207,206,175
207,220,175
207,490,386
207,491,386
208,123,645
208,124,645
208,125,645
208,153,175
208,171,175
208,215,175
208,221,175
208,229,175
208,230,1034
208,438,386
209,124,645
209,126,645
209,136,175
209,181,175
210,184,175
210,220,175
210,227,1034
211,60,645
211,132,645
211,153,175
211,345,98
211,346,98
211,369,98
212,80,645
212,127,645
212,453,386
213,59,645
213,65,645
213,344,98
214,65,645
214,113,645
214,114,645
214,115,645
214,116,645
214,117,645
214,142,175
214,168,175
214,218,1034
214,220,1034
215,60,645
215,61,645
215,62,645
215,63,645
215,64,645
215,113,645
215,114,645
215,115,645
215,116,645
215,117,645
215,118,645
215,119,645
215,127,645
215,143,175
215,217,1034
215,220,1034
215,271,1034
216,82,645
216,117,645
216,118,645
216,119,645
216,123,645
216,127,645
216,143,175
216,266,1034
217,82,645
217,83,645
217,108,645
217,109,645
217,118,645
217,119,645
217,123,645
217,131,645
217,462,386
218,97,645
218,108,645
218,109,645
218,110,645
218,111,645
218,112,645
218,118,645
218,119,645
218,120,645
218,179,175
219,97,645
219,108,645
219,109,645
219,110,645
219,111,645
219,112,645
219,113,645
219,114,645
219,115,645
219,116,645
219,117,645
219,118,645
219,119,645
219,120,645
220,107,645
220,108,645
220,109,645
220,110,645
220,111,645
220,112,645
220,113,645
220,114,645
220,115,645
220,116,645
220,117,645
220,118,645
220,119,645
220,199,175
220,468,386
221,111,645
221,112,645
221,113,645
221,114,645
221,115,645
221,116,645
221,117,645
221,118,645
221,290,98
221,477,386
222,113,645
222,114,645
222,115,645
222,116,645
222,117,645
222,118,645
222,214,1034
223,99,645
223,114,645
223,115,645
223,116,645
223,186,175
223,452,386
224,112,645
224,115,645
224,116,645
224,125,645
224,127,645
224,226,1034
225,33,645
225,72,645
225,73,645
225,110,645
225,111,645
225,112,645
225,113,645
225,126,645
225,228,1034
225,234,1034
226,79,645
226,80,645
226,110,645
226,111,645
226,112,645
226,124,645
226,127,645
226,128,645
226,170,175
226,208,1034
226,243,1034
226,433,386
226,480,386
227,79,645
227,80,645
227,82,645
227,111,645
227,112,645
227,122,645
227,123,645
227,189,175
228,73,645
228,74,645
228,80,645
228,105,645
228,110,645
228,111,645
228,128,645
228,144,645
228,188,175
229,73,645
229,74,645
229,141,645
229,170,175
229,187,175
229,188,175
229,228,1034
230,54,645
230,75,645
230,109,645
230,130,645
230,135,645
231,53,645
231,54,645
231,55,645
231,108,645
231,433,386
232,49,645
232,50,645
232,51,645
232,52,645
232,53,645
232,54,645
232,107,645
232,112,645
232,123,645
232,220,1034
233,49,645
233,50,645
233,51,645
233,52,645
233,53,645
233,59,645
233,62,645
233,88,645
233,89,645
233,111,645
233,123,645
233,274,1034
234,107,645
234,111,645
234,112,645
234,232,1034
234,478,386
235,83,645
235,106,645
235,108,645
235,109,645
235,191,1034
236,106,645
236,123,645
236,126,645
236,128,645
236,139,645
236,233,1034
236,240,1034
237,72,645
237,80,645
237,81,645
237,82,645
237,83,645
237,103,645
237,104,645
237,105,645
237,122,645
237,124,645
237,127,645
237,232,1034
237,265,1034
237,274,1034
237,457,386
238,77,645
238,78,645
238,79,645
238,81,645
238,82,645
238,103,645
238,104,645
238,105,645
238,124,645
238,129,645
238,263,1034
238,266,1034
238,340,98
238,460,386
239,74,645
239,78,645
239,79,645
239,80,645
239,81,645
239,82,645
239,85,645
239,102,645
239,103,645
239,106,645
239,108,645
239,111,645
239,181,1034
239,326,98
240,77,645
240,78,645
240,79,645
240,80,645
240,81,645
240,82,645
240,83,645
240,85,645
240,101,645
240,102,645
240,214,1034
240,218,1034
240,267,1034
240,275,1034
241,73,645
241,74,645
241,75,645
241,76,645
241,77,645
241,78,645
241,79,645
241,81,645
241,82,645
241,83,645
241,100,645
241,101,645
241,208,1034
241,209,1034
241,266,1034
241,271,1034
241,461,386
242,73,645
242,74,645
242,75,645
242,76,645
242,78,645
242,80,645
242,81,645
242,82,645
242,430,386
242,467,386
243,72,645
243,73,645
243,74,645
243,75,645
243,76,645
243,77,645
243,78,645
243,79,645
243,80,645
243,81,645
243,82,645
243,83,645
243,84,645
243,86,645
243,207,1034
243,208,1034
243,216,1034
243,220,1034
243,251,1034
243,263,1034
244,72,645
244,73,645
244,74,645
244,75,645
244,76,645
244,77,645
244,78,645
244,79,645
244,80,645
244,81,645
244,83,645
244,89,645
244,103,645
244,117,645
244,179,1034
244,206,1034
244,473,386
244,557,386
245,72,645
245,73,645
245,74,645
245,75,645
245,76,645
245,77,645
245,78,645
245,81,645
245,205,1034
245,206,1034
245,557,386
246,75,645
246,78,645
246,88,645
246,203,1034
246,206,1034
247,76,645
247,78,645
247,80,645
247,81,645
247,203,1034
247,225,1034
247,231,1034
247,232,1034
248,75,645
248,84,645
248,116,645
248,171,1034
248,204,1034
248,205,1034
248,222,1034
248,432,1270
248,557,386
249,75,645
249,77,645
249,79,645
249,81,645
249,82,645
249,83,645
249,84,645
249,227,1034
249,229,1034
249,230,1034
249,264,1034
249,557,386
250,75,645
250,76,645
250,80,645
250,81,645
250,82,645
250,83,645
250,85,645
250,193,1034
250,241,1034
250,263,1034
250,370,1270
250,387,1270
250,388,1270
250,475,386
251,75,645
251,77,645
251,78,645
251,79,645
251,80,645
251,81,645
251,82,645
251,83,645
251,84,645
251,85,645
251,86,645
251,202,1034
251,223,1034
251,263,1034
251,264,1034
251,370,1270
251,557,386
252,78,645
252,79,645
252,80,645
252,81,645
252,82,645
252,83,645
252,84,645
252,85,645
252,86,645
252,87,645
252,88,645
252,226,1034
252,227,1034
252,267,1034
253,81,645
253,82,645
253,83,645
253,84,645
253,85,645
253,223,1034
253,228,1034
253,238,1034
253,389,1270
