"y","x","cluster_id"
37,248,15
38,248,15
43,339,15
45,341,15
47,333,15
48,335,15
67,306,15
68,323,15
76,313,15
120,233,26
120,376,15
123,253,15
128,377,15
129,379,15
130,330,15
136,369,15
137,376,15
138,372,15
138,377,15
139,371,15
139,374,15
140,374,15
143,383,15
145,171,26
147,374,15
148,148,26
148,149,26
149,158,26
150,51,26
150,157,26
150,158,26
150,159,26
151,155,26
151,156,26
151,157,26
151,158,26
151,159,26
152,156,26
152,157,26
152,158,26
153,157,26
166,311,15
180,46,26
184,55,26
184,288,15
184,289,15
185,288,15
185,289,15
189,271,15
189,274,15
190,108,26
190,272,15
191,108,26
191,109,26
191,287,15
192,109,26
192,286,15
193,109,26
194,270,15
198,275,15
199,37,26
201,276,15
224,605,94
237,563,94
245,221,26
246,536,94
247,281,15
254,262,15
256,204,26
256,334,15
257,334,15
268,428,94
268,429,94
268,430,94
268,431,94
268,432,94
269,429,94
269,430,94
270,426,94
270,431,94
271,426,94
271,430,94
271,431,94
272,429,94
281,591,94
299,487,94
299,580,94
300,180,114
307,487,94
307,581,94
308,448,94
309,495,94
314,482,94
314,489,94
315,482,94
317,612,94
322,211,114
323,584,94
325,379,94
326,379,94
327,81,114
328,76,114
328,82,114
329,78,114
329,79,114
329,80,114
329,81,114
329,82,114
330,82,114
331,80,114
331,81,114
331,82,114
332,81,114
332,82,114
336,436,94
344,591,94
348,459,94
356,163,114
357,163,114
357,164,114
359,563,94
360,562,94
360,563,94
360,564,94
361,563,94
361,564,94
371,497,94
387,541,94
395,487,94
400,541,94
402,539,94
403,541,94
405,86,114
406,86,114
407,537,94
408,538,94
409,498,94
410,498,94
411,84,114
412,498,94
412,499,94
412,502,94
414,501,94
415,507,94
417,529,94
