"y","x","cluster_id"
21,121,59
32,555,36
33,556,36
41,154,59
41,155,59
51,425,36
52,425,36
53,432,36
63,30,59
80,575,36
90,176,59
91,444,36
123,499,36
128,31,59
128,490,36
133,483,36
135,96,59
135,520,36
137,97,59
137,516,36
141,115,59
142,448,36
142,466,36
143,468,36
144,86,59
144,464,36
145,54,59
145,442,36
146,441,36
147,118,59
148,117,59
151,45,59
151,49,59
151,465,36
151,466,36
151,475,36
152,43,59
152,44,59
152,464,36
153,45,59
153,46,59
155,50,59
155,467,36
156,66,59
156,67,59
156,68,59
156,464,36
157,65,59
157,449,36
157,464,36
157,490,36
158,45,59
158,458,36
158,460,36
158,478,36
158,496,36
159,48,59
159,54,59
161,79,59
161,452,36
162,69,59
163,484,36
164,66,59
164,494,36
166,69,59
166,78,59
166,517,36
167,67,59
167,68,59
168,67,59
168,68,59
168,69,59
169,63,59
169,81,59
172,103,59
175,517,36
176,124,59
177,57,59
177,121,59
177,125,59
179,55,59
182,445,36
185,57,59
185,120,59
187,453,36
189,506,36
190,473,36
191,503,36
196,509,36
198,509,36
198,510,36
199,76,59
203,50,59
203,61,59
204,53,59
206,113,59
208,61,59
208,113,59
209,112,59
210,208,139
214,62,59
220,442,36
222,577,36
224,464,36
235,59,59
259,180,139
272,48,139
276,529,207
276,530,207
277,530,207
277,531,207
283,543,207
284,543,207
285,541,207
285,542,207
286,134,139
286,541,207
286,542,207
286,543,207
287,48,139
287,135,139
287,136,139
287,543,207
292,148,139
292,149,139
293,147,139
293,148,139
293,149,139
294,146,139
294,147,139
294,148,139
295,146,139
295,147,139
296,147,139
299,161,139
300,161,139
300,162,139
300,163,139
303,150,139
312,565,207
313,564,207
313,565,207
314,563,207
314,564,207
314,565,207
315,563,207
320,171,139
321,172,139
322,170,139
322,171,139
323,570,207
324,569,207
324,571,207
325,569,207
325,570,207
325,571,207
325,572,207
326,425,207
326,426,207
326,568,207
326,569,207
326,570,207
326,571,207
327,569,207
327,570,207
327,571,207
327,572,207
328,423,207
328,424,207
328,569,207
328,570,207
328,571,207
328,572,207
329,419,207
329,569,207
329,570,207
329,571,207
330,421,207
330,570,207
331,178,139
331,420,207
332,25,139
332,177,139
332,178,139
332,179,139
332,180,139
333,176,139
333,177,139
333,178,139
333,180,139
334,176,139
334,177,139
334,178,139
334,179,139
335,176,139
335,177,139
335,178,139
335,179,139
336,176,139
336,177,139
336,178,139
336,179,139
337,421,207
341,31,139
349,28,139
351,418,207
351,510,207
356,418,207
356,502,207
356,514,207
357,418,207
358,418,207
360,515,207
361,117,139
364,486,207
366,121,139
367,484,207
367,488,207
368,27,139
368,92,139
369,26,139
369,27,139
370,26,139
371,26,139
372,26,139
382,117,139
385,567,207
388,562,207
390,96,139
390,176,139
392,176,139
395,167,139
397,178,139
