"y","x","cluster_id"
41,258,29
59,280,29
63,279,29
73,278,29
92,277,29
93,108,14
101,158,14
103,159,14
105,101,14
106,101,14
112,99,14
118,149,14
119,304,29
124,128,14
141,126,14
141,127,14
141,128,14
141,129,14
141,130,14
142,129,14
142,130,14
142,131,14
147,129,14
152,131,14
154,173,14
163,289,29
165,303,29
166,289,29
167,289,29
167,300,29
167,301,29
167,303,29
167,304,29
167,306,29
168,297,29
168,303,29
168,304,29
168,309,29
169,298,29
169,300,29
170,301,29
171,299,29
171,300,29
172,296,29
174,144,14
182,27,55
182,28,55
183,27,55
183,28,55
184,24,55
184,26,55
184,27,55
185,25,55
185,26,55
185,28,55
186,25,55
192,278,29
194,156,76
195,187,76
196,172,76
207,55,55
207,216,76
209,253,29
210,70,55
211,301,29
217,301,29
218,108,76
219,108,76
220,108,76
220,109,76
220,135,76
221,122,76
222,260,29
223,259,29
223,261,29
226,135,76
226,304,29
232,210,76
233,305,29
233,308,29
236,307,29
238,84,76
238,89,76
240,142,76
240,164,76
241,162,76
241,163,76
241,164,76
242,114,76
242,163,76
242,164,76
243,114,76
244,93,76
252,161,76
261,161,76
265,103,76
266,106,76
