"y","x","cluster_id"
29,95,110
33,106,110
34,107,110
38,121,110
43,118,110
45,88,673
45,146,110
47,152,110
47,157,110
47,159,110
48,87,673
48,158,110
48,161,110
49,157,110
51,130,110
51,164,110
51,165,110
52,87,673
52,166,110
52,167,110
52,169,110
52,170,110
53,164,110
53,168,110
53,171,110
53,172,110
54,88,673
54,169,110
54,170,110
54,220,110
55,173,110
55,175,110
55,176,110
55,177,110
55,180,110
55,219,110
56,176,110
56,177,110
56,180,110
56,182,110
57,170,110
57,171,110
57,180,110
57,181,110
57,182,110
57,185,110
58,135,110
58,173,110
58,185,110
58,187,110
58,220,110
58,221,110
59,130,110
59,131,110
59,177,110
59,185,110
59,191,110
60,94,673
60,131,110
60,177,110
60,188,110
60,191,110
60,192,110
60,199,110
60,200,110
61,201,110
62,182,110
62,183,110
62,193,110
62,194,110
62,198,110
62,202,110
63,195,110
63,196,110
63,198,110
64,86,673
64,201,110
64,202,110
64,203,110
64,205,110
65,197,110
65,206,110
65,216,110
65,232,110
65,233,110
66,210,110
66,216,110
66,226,110
66,238,110
67,173,110
67,206,110
67,240,110
67,242,110
68,183,110
68,216,110
68,217,110
69,206,110
70,245,263
70,247,263
70,249,263
71,118,673
71,173,110
71,250,263
71,254,263
72,85,673
72,118,673
72,253,263
73,178,110
73,182,110
73,185,110
73,189,110
73,190,110
73,207,110
73,254,263
74,285,263
74,286,263
74,288,263
75,178,110
75,257,263
75,284,263
75,286,263
75,287,263
75,288,263
75,289,263
75,296,263
76,184,110
76,273,263
76,274,263
76,280,263
76,281,263
76,282,263
76,283,263
76,284,263
76,285,263
76,289,263
76,295,263
76,296,263
76,297,263
76,298,263
77,124,673
77,178,110
77,261,263
77,268,263
77,269,263
77,271,263
77,285,263
77,298,263
78,123,673
78,291,263
78,292,263
78,293,263
78,298,263
78,300,263
78,304,263
79,141,110
79,293,263
79,294,263
79,300,263
79,304,263
79,305,263
80,304,263
80,306,263
81,297,263
81,301,263
81,303,263
81,305,263
81,306,263
81,308,263
81,312,263
82,297,263
82,304,263
82,305,263
82,307,263
82,309,263
82,310,263
82,314,263
83,268,263
83,276,263
83,300,263
83,304,263
83,307,263
83,310,263
83,313,263
83,314,263
84,207,110
84,302,263
84,303,263
84,305,263
84,309,263
84,312,263
84,316,263
85,269,263
85,303,263
85,304,263
85,307,263
85,308,263
85,313,263
86,94,673
86,187,110
86,190,110
86,305,263
86,306,263
86,307,263
86,309,263
86,313,263
86,317,263
87,174,110
87,310,263
87,313,263
87,314,263
87,316,263
87,317,263
88,114,673
88,178,110
88,193,110
88,198,110
88,327,263
89,328,263
90,176,110
91,331,263
93,128,673
93,202,110
93,289,263
93,290,263
94,196,110
94,268,263
94,289,263
94,335,263
95,289,263
96,290,263
96,291,263
96,301,263
96,339,590
96,352,590
96,357,590
96,388,590
97,191,110
97,263,263
97,294,263
97,343,590
97,344,590
97,345,590
97,347,590
97,349,590
97,350,590
97,357,590
97,360,590
97,361,590
97,364,590
97,365,590
97,370,590
97,373,590
98,181,110
98,287,263
98,291,263
98,342,590
98,356,590
98,361,590
99,286,263
99,342,590
100,210,110
100,214,110
100,297,263
100,307,263
101,261,263
101,262,263
101,285,263
101,294,263
101,306,263
101,307,263
101,340,590
101,368,590
101,370,590
101,372,590
101,377,590
101,378,590
101,379,590
101,381,590
102,261,263
102,283,263
102,288,263
102,289,263
102,291,263
102,292,263
102,300,263
102,342,590
102,359,590
102,361,590
102,368,590
102,372,590
102,379,590
102,381,590
102,391,590
102,392,590
103,261,263
103,281,263
103,282,263
103,291,263
103,292,263
103,307,263
103,312,263
103,318,263
103,333,263
103,391,590
103,392,590
104,212,110
104,283,263
104,284,263
104,291,263
104,292,263
104,304,263
104,305,263
104,307,263
104,309,263
104,319,263
104,339,590
104,346,590
104,379,590
105,106,673
105,124,673
105,263,263
105,264,263
105,279,263
105,293,263
105,295,263
105,378,590
105,379,590
106,197,110
106,201,110
106,255,750
106,260,750
106,263,263
106,265,263
106,268,263
106,269,263
106,276,263
106,283,263
106,285,263
106,294,263
106,320,263
106,323,263
106,378,590
107,203,110
107,205,110
107,254,750
107,255,750
107,260,750
107,263,263
107,282,263
107,283,263
107,350,590
107,353,590
108,109,673
108,257,750
108,258,750
108,275,263
108,279,263
108,281,263
108,285,263
108,292,263
108,332,263
108,356,590
109,151,673
109,253,750
109,258,750
109,263,750
109,266,263
109,284,263
109,298,263
109,299,263
109,312,263
109,333,263
109,349,590
110,166,110
110,184,110
110,197,110
110,207,110
110,246,750
110,257,750
110,259,750
110,263,750
110,282,263
110,288,263
110,298,263
110,377,590
110,392,590
111,76,673
111,252,750
111,260,750
111,262,750
111,346,590
111,393,590
111,394,590
112,72,673
112,197,110
112,262,750
112,286,263
112,292,263
112,298,263
112,301,263
112,302,263
112,329,263
112,374,590
112,380,590
113,192,110
113,255,750
113,260,750
113,269,263
113,290,263
113,292,263
113,307,263
113,308,263
113,315,263
113,316,263
113,333,590
114,188,110
114,191,110
114,249,750
114,250,750
114,254,750
114,320,263
114,327,263
114,330,263
114,385,590
115,123,673
115,125,673
115,156,673
115,174,110
115,248,750
115,253,750
115,261,750
115,262,750
115,267,750
115,313,263
115,318,263
115,319,263
115,348,590
115,386,590
115,390,590
116,112,673
116,184,110
116,195,110
116,239,750
116,251,750
116,255,750
116,256,750
116,273,263
116,290,263
116,295,263
116,323,263
116,339,590
116,349,590
116,378,590
116,387,590
116,388,590
117,251,750
117,252,750
117,253,750
117,256,750
117,302,263
117,313,263
117,338,590
117,366,590
117,372,590
117,382,590
118,154,673
118,155,673
118,188,110
118,191,110
118,252,750
118,255,750
118,256,750
118,260,750
118,314,263
118,315,263
118,334,590
118,364,590
118,368,590
118,376,590
118,393,590
119,182,110
119,189,110
119,191,110
119,196,110
119,229,750
119,235,750
119,246,750
119,254,750
119,256,750
119,258,750
119,291,263
119,305,263
119,308,263
119,324,263
119,325,263
119,335,590
119,343,590
119,363,590
119,364,590
119,365,590
119,376,590
120,178,110
120,190,110
120,255,750
120,256,750
120,270,750
120,271,750
120,307,263
120,316,263
120,346,590
120,363,590
120,364,590
120,365,590
120,374,590
120,381,590
121,71,673
121,159,673
121,181,110
121,300,263
121,312,263
121,322,263
121,360,590
121,361,590
121,362,590
121,363,590
121,364,590
121,384,590
121,392,590
122,255,750
122,285,263
122,295,263
122,361,590
122,362,590
122,363,590
122,364,590
122,385,590
122,393,590
122,394,590
123,74,673
123,147,673
123,235,750
123,275,750
123,284,263
123,296,263
123,298,263
123,300,263
123,359,590
123,360,590
123,369,590
123,375,590
123,380,590
124,233,750
124,253,750
124,318,263
124,328,590
124,329,590
124,330,590
124,361,590
124,365,590
124,366,590
124,393,590
125,252,750
125,261,750
125,310,263
125,331,590
125,341,590
125,346,590
125,364,590
125,365,590
125,368,590
125,370,590
126,201,110
126,208,750
126,271,750
126,319,263
126,324,263
126,364,590
126,375,590
126,378,590
126,379,590
126,387,590
127,231,750
127,281,750
127,307,263
127,332,590
127,360,590
127,376,590
128,71,673
128,355,590
128,365,590
128,367,590
128,374,590
128,396,590
129,155,673
129,197,110
129,256,750
129,267,750
129,302,263
129,304,263
129,331,590
129,333,590
129,334,590
129,336,590
129,380,590
129,395,590
129,397,590
129,402,590
130,153,673
130,227,750
130,232,750
130,267,750
130,370,590
130,388,590
130,396,590
130,397,590
130,401,590
131,145,673
131,159,673
131,254,750
131,255,750
131,268,750
131,277,750
131,306,263
131,317,263
131,366,590
131,380,590
131,400,590
131,401,590
132,77,673
132,254,750
132,264,750
132,268,750
132,275,750
132,279,750
132,300,263
132,364,590
132,370,590
132,371,590
132,381,590
132,382,590
132,393,590
132,399,590
133,70,673
133,231,750
133,232,750
133,261,750
133,288,750
133,319,263
133,323,263
133,363,590
133,364,590
133,365,590
133,371,590
133,373,590
133,399,590
134,72,673
134,75,673
134,76,673
134,92,673
134,232,750
134,235,750
134,257,750
134,272,750
134,276,750
134,277,750
134,305,263
134,364,590
134,365,590
134,401,590
134,403,590
135,74,673
135,76,673
135,113,673
135,235,750
135,268,750
135,304,263
135,316,263
135,330,590
135,332,590
135,333,590
135,361,590
135,365,590
135,367,590
135,368,590
135,370,590
135,371,590
135,378,590
135,397,590
135,399,590
135,403,590
136,142,673
136,257,750
136,285,750
136,331,590
136,333,590
136,367,590
136,370,590
136,401,590
137,64,673
137,125,673
137,230,750
137,301,263
137,370,590
137,371,590
137,372,590
138,90,673
138,151,673
138,152,673
138,158,673
138,234,750
138,297,263
138,319,263
138,323,590
138,349,590
138,361,590
138,394,590
139,104,673
139,105,673
139,136,673
139,232,750
139,270,750
139,272,750
139,299,263
139,311,263
139,341,590
139,367,590
140,103,673
140,104,673
140,137,673
140,282,750
140,303,263
140,363,590
141,103,673
141,154,673
141,301,263
141,368,590
141,393,590
142,101,673
142,129,673
142,265,750
142,293,750
142,298,750
142,299,750
143,99,673
143,104,673
143,110,673
143,231,750
143,232,750
143,241,750
143,257,750
143,258,750
143,269,750
143,270,750
143,271,750
143,296,750
143,310,263
143,339,590
143,360,590
143,402,590
144,92,673
144,93,673
144,231,750
144,270,750
144,313,263
144,366,590
145,113,673
145,156,673
145,269,750
145,272,750
145,291,750
145,312,263
145,329,590
145,394,590
146,91,673
146,106,673
146,110,673
146,127,673
146,295,750
146,302,750
146,394,590
146,397,590
147,281,750
147,302,750
147,304,750
147,323,590
147,357,590
147,359,590
147,360,590
147,364,590
148,101,673
148,163,673
148,194,750
148,291,750
148,308,263
148,326,590
148,356,590
148,357,590
148,360,590
148,361,590
148,370,590
149,86,673
149,87,673
149,104,673
149,118,673
149,124,673
149,152,673
149,154,673
149,325,590
149,388,590
149,402,590
150,114,673
150,137,673
150,361,590
151,99,673
151,119,673
151,151,673
151,229,750
151,267,750
151,289,750
151,375,590
152,273,750
152,294,750
153,228,750
153,229,750
154,203,750
154,226,750
154,227,750
154,228,750
154,229,750
154,242,750
154,319,590
154,346,590
155,122,673
