"y","x","cluster_id"
34,59,561
37,46,561
38,61,561
39,39,561
39,48,561
39,49,561
39,57,561
39,58,561
39,59,561
40,57,561
40,58,561
41,38,561
42,36,561
42,37,561
42,62,561
43,29,561
43,30,561
43,31,561
43,44,561
43,49,561
43,70,561
44,28,561
44,34,561
44,45,561
44,46,561
44,56,561
45,43,561
45,46,561
45,55,561
46,42,561
46,68,561
46,71,561
47,70,561
47,96,561
47,99,561
47,100,561
48,40,561
48,69,561
48,70,561
48,72,561
48,84,561
48,85,561
48,100,561
48,101,561
49,31,561
49,34,561
49,49,561
49,54,561
49,70,561
49,71,561
49,72,561
49,73,561
49,74,561
49,84,561
49,85,561
49,101,561
49,113,561
49,115,561
50,69,561
50,70,561
50,71,561
50,72,561
50,73,561
50,96,561
50,97,561
50,99,561
50,102,561
50,114,561
50,583,871
51,26,561
51,60,561
51,69,561
51,70,561
51,71,561
51,72,561
51,73,561
51,74,561
51,97,561
51,98,561
52,71,561
52,72,561
52,73,561
52,74,561
52,100,561
52,107,561
53,29,561
53,30,561
53,41,561
53,67,561
53,71,561
53,72,561
53,73,561
53,74,561
53,75,561
53,101,561
53,165,1687
53,190,1687
53,191,1687
54,28,561
54,29,561
54,38,561
54,67,561
54,68,561
54,69,561
54,70,561
54,71,561
54,72,561
54,74,561
54,75,561
54,76,561
54,77,561
54,112,561
54,190,1687
54,579,871
54,588,871
55,28,561
55,67,561
55,68,561
55,69,561
55,70,561
55,71,561
55,72,561
55,73,561
55,74,561
55,75,561
55,76,561
55,77,561
55,78,561
55,88,561
55,89,561
55,99,561
55,112,561
55,166,1687
56,24,561
56,38,561
56,41,561
56,42,561
56,68,561
56,69,561
56,71,561
56,72,561
56,73,561
56,74,561
56,75,561
56,76,561
56,77,561
56,78,561
57,23,561
57,24,561
57,28,561
57,40,561
57,41,561
57,42,561
57,70,561
57,71,561
57,72,561
57,73,561
57,74,561
57,75,561
57,76,561
57,77,561
57,78,561
57,79,561
57,213,1687
58,22,561
58,23,561
58,26,561
58,27,561
58,28,561
58,39,561
58,40,561
58,67,561
58,73,561
58,74,561
58,75,561
58,76,561
58,77,561
58,78,561
58,79,561
58,90,561
59,26,561
59,27,561
59,28,561
59,38,561
59,40,561
59,41,561
59,53,561
59,61,561
59,62,561
59,64,561
59,67,561
59,73,561
59,74,561
59,75,561
59,76,561
59,77,561
59,78,561
59,79,561
59,607,871
60,22,561
60,28,561
60,61,561
60,64,561
60,73,561
60,74,561
60,77,561
60,78,561
60,80,561
60,120,561
60,142,1687
60,606,871
61,21,561
61,22,561
61,27,561
61,28,561
61,29,561
61,43,561
61,65,561
61,77,561
61,81,561
61,141,1687
61,605,871
62,21,561
62,25,561
62,37,561
62,40,561
62,43,561
62,606,871
62,607,871
62,608,871
62,621,871
63,24,561
63,25,561
63,29,561
63,30,561
63,31,561
63,39,561
63,41,561
63,42,561
63,96,561
63,135,1687
63,139,1687
63,606,871
63,607,871
63,608,871
63,609,871
63,633,871
64,23,561
64,36,561
64,38,561
64,39,561
64,40,561
64,42,561
64,66,561
64,67,561
64,68,561
64,91,561
64,158,1687
64,213,1687
64,579,871
64,603,871
64,604,871
64,605,871
64,606,871
64,607,871
64,609,871
64,636,871
65,23,561
65,24,561
65,37,561
65,38,561
65,39,561
65,67,561
65,68,561
65,69,561
65,122,1687
65,565,871
65,576,871
65,582,871
65,603,871
65,606,871
65,608,871
