"y","x","cluster_id"
10,263,14
10,264,14
39,304,14
40,304,14
41,303,14
41,304,14
43,303,14
43,304,14
45,236,14
55,167,14
67,125,36
67,126,36
67,130,36
68,254,14
79,146,36
80,121,36
80,122,36
81,121,36
81,122,36
82,121,36
82,122,36
88,236,14
91,239,14
94,72,36
103,79,36
105,82,36
105,83,36
105,84,36
105,85,36
106,50,36
106,83,36
106,84,36
108,194,14
110,181,14
125,77,36
125,78,36
125,156,36
127,77,36
139,154,36
141,157,36
144,206,69
156,208,69
156,245,69
157,52,36
158,61,36
158,97,36
158,161,36
162,262,69
165,175,69
172,28,36
173,255,69
184,133,36
184,248,69
195,253,69
197,55,36
198,54,36
198,55,36
198,56,36
203,240,69
206,243,69
210,202,69
211,200,69
216,236,69
220,234,69
223,178,69
224,164,69
224,253,69
229,228,69
230,231,69
232,157,69
232,158,69
234,269,69
238,261,69
238,266,69
238,267,69
241,259,69
243,246,69
243,266,69
246,257,69
254,228,69
254,231,69
256,251,69
256,252,69
257,239,69
257,248,69
257,252,69
257,253,69
258,252,69
259,226,69
259,252,69
260,252,69
261,248,69
261,251,69
261,252,69
265,158,69
266,245,69
270,250,69
273,238,69
283,241,69
289,85,210
291,87,210
291,229,69
296,252,69
300,252,210
301,252,210
303,222,210
306,239,210
307,105,210
309,231,210
314,203,210
315,214,210
317,195,210
320,202,210
321,193,210
326,127,210
327,178,210
334,162,210
336,160,210
339,170,210
341,263,210
342,216,210
344,210,210
345,192,210
345,199,210
346,164,210
346,189,210
346,202,210
346,205,210
347,189,210
347,198,210
347,217,210
347,218,210
348,155,210
348,164,210
348,166,210
348,214,210
348,216,210
348,217,210
348,218,210
349,170,210
349,196,210
349,213,210
349,214,210
349,219,210
350,170,210
350,195,210
350,196,210
350,213,210
350,214,210
351,213,210
351,215,210
351,218,210
351,220,210
351,222,210
352,162,210
352,195,210
352,203,210
352,204,210
352,212,210
352,217,210
352,218,210
353,162,210
353,163,210
353,205,210
353,207,210
353,208,210
353,209,210
353,212,210
353,214,210
353,217,210
353,218,210
353,220,210
353,221,210
354,200,210
354,201,210
354,202,210
354,207,210
354,211,210
354,212,210
354,213,210
354,216,210
354,217,210
354,219,210
355,174,210
355,198,210
355,208,210
355,211,210
355,212,210
355,214,210
355,215,210
355,216,210
355,219,210
355,220,210
356,197,210
356,202,210
356,205,210
356,208,210
356,211,210
356,214,210
356,215,210
357,175,210
357,202,210
357,211,210
357,212,210
357,215,210
357,216,210
358,191,210
358,195,210
358,196,210
358,211,210
358,213,210
358,216,210
358,218,210
359,192,210
359,197,210
359,203,210
359,217,210
360,190,210
360,214,210
360,215,210
360,226,210
361,200,210
361,208,210
361,213,210
361,219,210
362,193,210
362,198,210
362,199,210
362,201,210
362,210,210
362,213,210
362,216,210
363,190,210
363,192,210
363,195,210
363,207,210
364,189,210
364,190,210
364,191,210
364,194,210
364,197,210
364,198,210
364,212,210
365,192,210
365,194,210
365,198,210
365,199,210
365,208,210
365,210,210
366,198,210
366,199,210
367,200,210
369,201,210
380,242,210
384,267,210
386,266,210
387,265,210
387,266,210
388,255,210
388,256,210
388,257,210
388,258,210
407,300,210
408,300,210
409,254,210
409,300,210
411,252,210
411,299,210
411,300,210
412,299,210
412,300,210
413,299,210
414,250,210
417,250,210
417,251,210
418,251,210
