"y","x","cluster_id"
11,125,29
15,131,29
15,146,29
16,141,29
16,143,29
20,123,29
21,122,29
21,144,29
22,143,29
25,140,29
26,131,29
26,132,29
26,135,29
27,134,29
27,146,29
28,148,29
32,144,29
40,130,29
40,131,29
42,113,29
42,114,29
42,118,29
42,119,29
43,115,29
43,120,29
44,118,29
45,119,29
45,121,29
46,119,29
58,69,29
58,71,29
59,67,29
59,68,29
59,69,29
59,70,29
60,67,29
60,68,29
60,69,29
61,65,29
75,119,29
76,118,29
80,113,29
96,270,98
97,182,29
97,269,98
97,270,98
97,271,98
99,192,29
99,269,98
99,270,98
99,271,98
101,169,29
101,170,29
103,110,29
104,109,29
104,173,29
105,108,29
106,98,29
106,535,104
108,454,104
109,572,104
116,115,29
116,116,29
127,258,98
131,254,98
131,255,98
132,254,98
132,255,98
133,253,98
133,254,98
133,255,98
134,252,98
134,253,98
134,254,98
136,59,123
141,80,123
141,81,123
142,49,123
142,94,123
142,256,98
142,257,98
143,48,123
143,50,123
144,47,123
145,47,123
145,316,98
145,318,98
149,246,98
149,247,98
149,316,98
149,317,98
149,318,98
150,246,98
150,315,98
150,316,98
153,318,98
154,313,98
159,265,98
160,102,123
160,103,123
160,438,104
161,103,123
161,437,104
167,469,104
168,468,104
171,37,123
171,315,98
172,430,104
172,431,104
173,176,123
180,57,123
182,122,123
183,122,123
185,331,98
186,153,123
189,124,123
191,270,98
192,159,123
192,349,98
192,350,98
196,104,123
198,344,98
199,102,123
200,62,123
200,63,123
202,346,98
206,72,123
206,80,123
206,348,98
209,71,123
209,72,123
209,76,123
210,70,123
210,80,123
214,98,123
214,101,123
219,284,98
222,75,123
222,154,123
222,281,98
223,153,123
223,185,123
224,76,123
225,152,123
225,280,98
227,271,98
230,63,123
231,146,123
232,146,123
233,146,123
233,147,123
234,39,123
234,40,123
235,39,123
236,39,123
242,219,98
243,146,123
244,37,123
251,90,123
256,332,209
261,234,98
264,137,123
282,342,209
282,343,209
283,342,209
283,343,209
283,344,209
284,342,209
284,343,209
301,127,240
303,339,209
303,409,209
307,276,209
312,298,209
312,299,209
315,258,209
315,347,209
318,128,240
319,348,209
321,197,240
321,198,240
325,320,209
326,321,209
326,322,209
328,321,209
329,321,209
334,318,209
336,319,209
340,311,209
341,313,209
345,148,240
345,149,240
345,203,240
346,147,240
346,202,240
346,313,209
346,314,209
348,110,240
348,111,240
348,112,240
348,312,209
348,315,209
348,316,209
349,109,240
349,314,209
349,315,209
351,195,240
352,196,240
354,331,209
355,328,209
355,329,209
356,103,240
356,189,240
356,190,240
356,192,240
356,328,209
356,329,209
356,330,209
357,103,240
357,111,240
357,189,240
357,193,240
357,194,240
357,328,209
358,111,240
358,189,240
358,191,240
358,325,209
358,326,209
359,189,240
359,192,240
359,194,240
359,325,209
359,326,209
360,182,240
360,191,240
360,192,240
360,193,240
360,324,209
362,180,240
362,183,240
362,196,240
362,197,240
366,185,240
366,186,240
367,186,240
367,187,240
368,186,240
368,491,209
368,492,209
369,186,240
370,183,240
376,213,240
383,187,240
383,212,240
384,216,240
387,189,240
387,197,240
388,189,240
391,205,240
394,201,240
416,344,209
417,343,209
417,344,209
417,345,209
418,344,209
418,345,209
428,444,209
428,470,209
429,444,209
